,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간포함_MLP_5_5_시간(총),쉰시간포함_KNN_5_5_시간(총),쉰시간포함_MLP_5_5_시간(0제외),쉰시간포함_KNN_5_5_시간(0제외),쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지,쉰시간제외_MLP_5_5_시간(총),쉰시간제외_KNN_5_5_시간(총),쉰시간제외_MLP_5_5_시간(0제외),쉰시간제외_KNN_5_5_시간(0제외)
0,97.7239990234375,123.25161000355827,287.3253479003906,209.59883820070976,662.1956176757812,992.9457630568064,97.06684875488281,137.94574827616546,367.342041015625,218.7585679880105,1001.1420288085938,1243.8948793114175
1,81.94682312011719,105.49299616242594,216.73265075683594,276.2729569470399,55.93874740600586,1004.8187778026829,81.39299774169922,118.38433673504207,216.3263702392578,227.37240231034846,94.66561889648438,880.6526049516787
2,39.252811431884766,66.74637074626541,80.43598937988281,30.583387053251492,102.10161590576172,648.03949857034,44.451316833496094,164.38094259882917,41.88725662231445,42.54096301445458,104.26162719726562,840.4184715931874
3,630.1197509765625,744.5833343425397,351.9283752441406,417.89653992215483,96.71194458007812,61.6508286418628,1057.983642578125,862.96712902144,309.5649719238281,467.7027725225777,94.98753356933594,104.08179617593547
4,586.6874389648438,1038.7741636512094,83.45518493652344,96.47248311611989,95.59571075439453,546.6565606366306,99.13484191894531,1108.591736465243,86.49667358398438,102.15644355688237,134.3554229736328,872.3954175060104
5,1023.5271606445312,1412.1658578798815,94.33263397216797,128.34205972877632,66.01900482177734,656.0055513181414,871.5386352539062,1834.0260876509788,52.60871505737305,158.3672920672949,99.51979064941406,441.87078859324106
6,771.6702270507812,880.8334053297156,267.4925231933594,756.216938627733,102.531494140625,142.22552274382417,1009.3749389648438,934.1015786072954,171.58529663085938,750.324480371343,111.03168487548828,152.674002141883
7,80.67794036865234,47.32424019252662,96.86981201171875,44.482082748606736,7058.09619140625,2759.119762631585,59.71843338012695,52.8069584520522,65.31745147705078,53.408332231076486,7668.205078125,2805.762144013536
8,1125.6898193359375,1579.8598685696245,647.2237548828125,646.830858660104,682.0090942382812,1251.3169665308283,1020.9134521484375,2223.259089812333,384.5779724121094,795.1507216137668,303.5002746582031,1325.0662094092766
9,69.55827331542969,156.11984067659787,74.13101196289062,53.534855767620606,97.94944763183594,630.1802414605133,35.22764205932617,138.4657767566095,66.5306167602539,47.1284771064812,98.80514526367188,1122.6170040957857
average,450.6854244232178,615.5151687554345,219.99272842407225,266.0231000772117,901.9148868560791,869.2959473393215,437.6802749633789,757.4929384375988,176.22373657226564,286.2910452782236,971.047420501709,978.9433317791952
