,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간포함_MLP_5_5_시간(총),쉰시간포함_KNN_5_5_시간(총),쉰시간포함_MLP_5_5_시간(0제외),쉰시간포함_KNN_5_5_시간(0제외),쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지,쉰시간제외_MLP_5_5_시간(총),쉰시간제외_KNN_5_5_시간(총),쉰시간제외_MLP_5_5_시간(0제외),쉰시간제외_KNN_5_5_시간(0제외)
0,38.72361755371094,35.47633619005931,42.36852264404297,46.98036358847627,60.89527893066406,52.00242227697651,56.894737243652344,48.99951467924662,35.705039978027344,60.47736267548458,167.2702178955078,65.63223062703223
1,22.935415267944336,21.012491758505327,27.01025390625,35.37924221555506,26.3408145904541,33.82095499125967,14.844503402709961,30.880551471248967,27.564205169677734,46.37499006774379,25.726577758789062,56.26054491750687
2,36.57501983642578,36.696481123601686,35.65401840209961,38.41315181259158,35.01590347290039,37.655818783544156,45.559600830078125,62.1994357657178,57.15925598144531,65.84490874059247,52.90012741088867,66.23724925196878
3,40.23518753051758,41.75782905800244,64.89778137207031,43.13624693955595,66.6925277709961,51.58501613502842,49.92570495605469,43.98778433758957,46.211299896240234,47.131090899458805,68.23096466064453,48.81891729079258
4,40.26354217529297,31.928073748897194,46.80060958862305,37.07244879200444,49.77986526489258,52.05994755525576,40.582664489746094,44.623027603745605,53.58844757080078,50.132822531438,45.484642028808594,70.76374792794809
5,35.41297912597656,36.560272201891344,66.74723815917969,57.58163939546728,50.108463287353516,49.562544237323735,33.7288932800293,41.56389585131657,48.158992767333984,63.62296614820999,40.98731231689453,51.97511933017333
6,36.99399185180664,24.044785101802766,36.02615737915039,37.93409237325027,32.420711517333984,37.92244697749626,45.83431625366211,27.648940155752445,42.04947280883789,42.9233707766899,37.048439025878906,42.8207330226271
7,27.71148681640625,22.61386902101324,44.785255432128906,27.0188957059802,66.9963150024414,49.43775664545188,32.612857818603516,25.523009383267347,36.681793212890625,35.98444447270111,49.00745391845703,54.17822252580389
8,45.37189865112305,33.45933037565631,54.71891403198242,42.07414149608102,66.15599822998047,59.34802501226043,46.14103698730469,33.83723256045131,55.055023193359375,42.345550016296734,62.097476959228516,59.32743516885339
9,32.470970153808594,23.029510190574033,65.87753295898438,37.421471308892926,38.868934631347656,31.556350192766402,55.218017578125,32.14636717777859,51.58222579956055,55.25425546271507,35.92190170288086,44.694294941599075
average,35.66941089630127,30.65789787700037,48.48862838745117,40.3011693627855,49.327481269836426,45.495128280736324,42.13423328399658,39.14097589861148,45.375575637817384,51.00917617913304,58.467511367797854,56.070849500430526
