,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,23.482620239257812,32.20453077617329,34.86258316040039,32.41515963859864
1,23.461332321166992,31.00932018286104,24.493623733520508,32.06190491974782
2,26.63955307006836,30.475868369293778,28.463361740112305,30.12237541186402
3,38.84053421020508,51.590103634869585,29.249820709228516,39.99372363996025
4,24.64375877380371,30.051195251278823,34.0521354675293,27.443209456976447
5,24.750146865844727,37.30700126673193,22.723371505737305,39.456062755914864
6,29.528579711914062,30.32963978239464,21.484020233154297,36.279969835409666
7,24.81226348876953,26.40008908672162,24.591337203979492,29.099084491346964
8,26.49489402770996,21.890744692620366,24.42243194580078,20.65173968467475
9,24.74789047241211,42.17130450449177,28.377214431762695,41.368712515546996
average,26.740157318115234,33.342979754743695,27.271990013122558,32.88919423500404
