,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간포함_MLP_5_5_시간(총),쉰시간포함_KNN_5_5_시간(총),쉰시간포함_MLP_5_5_시간(0제외),쉰시간포함_KNN_5_5_시간(0제외),쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지,쉰시간제외_MLP_5_5_시간(총),쉰시간제외_KNN_5_5_시간(총),쉰시간제외_MLP_5_5_시간(0제외),쉰시간제외_KNN_5_5_시간(0제외)
0,35.709720410798724,38.55723947042583,57.35838779650236,66.6882567011109,87.08664382131477,161.65816540258103,37.47381692183645,39.34217768680202,99.95259094238281,69.70279434481294,95.65934191252056,159.5118901445872
1,55.69150643599661,62.4553275625761,68.05121813322368,107.75433045100911,71.96625639262952,103.82244475383331,57.15634857980829,63.27733011562945,59.87251904136256,127.54570760291439,82.11169272974918,111.69666149224699
2,141.05973534835013,246.22074691402295,99.93108849776418,154.63124087266323,93.79085701390316,168.3726208204657,139.72967649761,246.1064670000114,66.31229079397102,159.74090182117558,98.68702737908615,178.4830641212616
3,68.14153821844803,238.5205037227667,61.71812017340409,80.44070597801462,72.05376715409129,95.6358717300164,126.83628664518658,240.08016619122242,56.91467706780685,88.82827127731957,80.72157729299445,89.83143578559692
4,62.37268749036287,68.37440012002158,69.02374709279914,106.47339990721878,96.41196401495682,107.8717776469481,57.00659440693102,75.07510189259958,86.83102537456311,121.76417747394875,96.84731573807566,104.69407083750511
5,44.89200130261873,76.4776400858119,59.32736306441458,106.83202152884795,70.94189473202354,91.98620435110611,43.93004066065738,80.25931187392352,62.26652888247841,123.70641514609109,76.83369526110198,98.00357612740271
6,44.88698126140394,98.6682319577178,68.8009914598967,80.18930867975689,271.8005949321546,466.0209296163408,46.954014226009974,121.52306708276043,59.04362788953279,81.81675951723356,182.04660355417352,490.7108658409148
7,38.35413581446598,47.06431262693791,64.26960955168072,72.0849232511727,88.67039650364926,159.7570347558244,42.63775795384457,47.28672059745767,54.00562105680767,73.73776470961988,125.69035580283717,145.76947578283068
8,104.4322307988217,323.96432543434963,62.44652758146587,106.02771783701111,83.98907832095497,159.4598590878567,150.0833216215435,327.35172083312324,70.24990724262439,99.28546026004786,90.04893493652344,156.7489624527887
9,50.316083004600124,47.150131194681634,66.6965167396947,88.41633317345824,94.40189642655223,145.0194416115875,51.1444629869963,48.85828275096838,67.64801266318874,90.3916547381408,101.12304125334087,235.21974586019786
average,64.58566200858668,124.7452859089312,67.7623570090846,96.95382383802635,103.11133493122301,165.960434977656,75.29523205004242,128.9160346024498,68.30968009547183,103.65199068913043,102.9769585860403,177.06697484453326
