,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간포함_MLP_5_5_시간(총),쉰시간포함_KNN_5_5_시간(총),쉰시간포함_MLP_5_5_시간(0제외),쉰시간포함_KNN_5_5_시간(0제외),쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지,쉰시간제외_MLP_5_5_시간(총),쉰시간제외_KNN_5_5_시간(총),쉰시간제외_MLP_5_5_시간(0제외),쉰시간제외_KNN_5_5_시간(0제외)
0,142.8017578125,181.6752500662447,120.86053466796875,117.9672414329397,224.10914611816406,897.3500826382409,111.58275604248047,194.24804196620926,94.0384521484375,126.26882931501953,368.7536315917969,856.2409330646406
1,106.65816497802734,141.5182513367736,117.09882354736328,89.80507143394257,535.51806640625,821.1950497477131,57.3477668762207,189.25013197658674,173.9925994873047,128.00900256414508,386.212646484375,818.8243723328789
2,174.07424926757812,263.05912853292386,80.96430969238281,151.39112843725493,54.43406677246094,44.55722226320486,143.58140563964844,258.45734182005987,78.41677856445312,150.79163866000945,42.96742248535156,39.75357782513589
3,191.86070251464844,209.47716055930593,82.75495147705078,124.06227291753109,54.82478713989258,903.7182840107025,132.8990936279297,241.8283371619555,40.25282287597656,151.52394275375227,243.92764282226562,851.0306397794807
4,1624.3170166015625,792.5915337031083,349.90509033203125,673.4078705917424,584.9175415039062,602.3942534155668,150.60792541503906,989.4260305388489,47.20284652709961,803.1029733771213,563.9345703125,596.8304213287677
5,107.34910583496094,282.5715894039357,121.1897964477539,165.2192854066979,53.974117279052734,41.88374115429784,156.6308135986328,196.0917942847051,207.58853149414062,180.25674245485385,42.13721466064453,27.698118933210004
6,49.63335037231445,25.952264973303272,95.66910552978516,34.70111011883962,133.2404327392578,692.0725640451832,61.92320251464844,23.368963816337708,57.454978942871094,37.84204555026264,97.64833068847656,658.7890307742027
7,170.49610900878906,234.4125246649188,79.94085693359375,128.04151698941695,499.4752502441406,582.9395626574529,81.87142944335938,301.02634788787526,80.73100280761719,184.70722664331487,72.57207489013672,573.4098439503781
8,106.14436340332031,270.4827350327543,76.77738189697266,141.28633218929824,44.53314208984375,31.924600775553134,92.2042236328125,195.9845296230488,74.2253646850586,156.67570371977806,52.62208557128906,25.97016192445768
9,65.15443420410156,127.9959385870455,122.64604187011719,153.42864974274656,49.97613525390625,23.629175536269013,101.48216247558594,145.2305467464726,245.56935119628906,175.39572250366072,54.586849212646484,16.754623489356273
average,273.8489253997803,252.9736376860314,124.78068923950195,177.931047926041,223.5002685546875,464.1664536244184,109.01307792663575,273.49120658220994,109.9472728729248,209.45738275419177,192.53624687194824,446.53017234025083
