,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,55.86158438289867,69.80596378459654,60.13228427662569,84.08440889587115
1,54.605124080882355,99.97976291699095,42.063462762271655,106.2397847816884
2,55.132116429946,82.85940107506688,46.0357203764074,107.93830522102488
3,42.7288387522978,63.6071344308015,39.477317810058594,70.25983426075634
4,53.53963403140797,86.8491647409747,65.45742954927333,87.38060238442502
5,52.99290780460133,89.82296614738016,34.87151875215418,109.75774100536991
6,63.784170262953815,108.18327756970896,60.834164787741265,121.87977164635986
7,53.614357219022864,88.4370065120118,48.55423938526827,106.27034585755875
8,40.71252104815315,71.33158520670297,47.20458400950712,84.57300271433796
9,68.15469046200023,106.8849650552561,41.62237324434168,127.79003741669224
average,54.11259444741641,86.77612274394905,48.625309495364924,100.61738341840844
