,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간포함_DTREE_5_5_에너지,쉰시간포함_MLP_5_5_시간(총),쉰시간포함_KNN_5_5_시간(총),쉰시간포함_DTREE_5_5_시간(총),쉰시간포함_MLP_5_5_시간(0제외),쉰시간포함_KNN_5_5_시간(0제외),쉰시간포함_DTREE_5_5_시간(0제외),쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지,쉰시간제외_DTREE_5_5_에너지,쉰시간제외_MLP_5_5_시간(총),쉰시간제외_KNN_5_5_시간(총),쉰시간제외_DTREE_5_5_시간(총),쉰시간제외_MLP_5_5_시간(0제외),쉰시간제외_KNN_5_5_시간(0제외),쉰시간제외_DTREE_5_5_시간(0제외)
0,68.1202163696289,70.41511821561073,149.0393421420042,68.21765899658203,66.86053434624266,238.71886951536064,97.96395874023438,103.04397602949817,218.48905614788362,73.2244644165039,82.56437140152913,158.93397243509392,76.60176849365234,93.81973960789098,221.93043895020287,88.2444076538086,95.97585285106679,241.08813362003127
1,305.1336975097656,287.873314876225,344.17262539831046,97.86371612548828,210.31741564650517,202.05797445082152,54.05872344970703,51.64743246015874,215.36284509716376,264.4446716308594,260.08832714099765,360.4460799149829,103.87360382080078,221.53946569553202,299.36089098640036,50.450233459472656,56.634482020987,333.40457337974334
2,57.90263748168945,72.29276533489623,184.8560344554649,48.77180480957031,85.27910090016994,188.77612140704778,61.933021545410156,75.84225293291732,284.89331254522716,68.35911560058594,104.87665722692464,189.72352284056657,66.27455139160156,148.24702408218255,184.96855745615116,68.73960876464844,62.44344297852608,218.22350917166906
3,36.00809860229492,40.252845678096236,96.98093220952417,45.06147766113281,44.497723105488355,117.34677450477831,63.08228302001953,51.282221817511996,244.5714264947635,50.27566909790039,46.59994418204198,100.77092799874434,52.254920959472656,53.72618175945464,159.2069234446276,45.27187728881836,48.902092319857054,335.7287251540536
4,39.795509338378906,42.3074777205539,114.61037230102242,45.993648529052734,44.276005776767086,136.08511258323307,58.15447998046875,53.023090283002915,313.2101323458961,50.23809051513672,46.43548891113164,126.65317123790058,51.85060119628906,67.5273190872356,144.51890184891062,63.409423828125,78.690848645751,209.99058912221727
5,48.31056594848633,33.25517990783686,158.84462058160398,42.73388671875,51.548559826000265,181.88348924906964,120.00346374511719,111.86503000800847,483.98008980151656,37.31901931762695,33.66325450667069,129.12837902564786,45.334163665771484,51.580870611997135,142.4733689040952,107.75080108642578,111.11677931893173,607.5922529028849
6,107.21588897705078,200.42441400519456,347.365834050577,66.1115493774414,177.42678894559447,262.6068363908558,81.71762084960938,92.00514056255665,272.4322076079567,135.73094177246094,168.09785248379237,381.8501469153847,81.83533477783203,194.27561263077254,322.1578358796753,76.1138687133789,94.38691420817712,221.51000712611847
7,102.67672729492188,107.19869960400973,286.79401969997855,48.63743591308594,128.09444332743593,256.1047714705803,63.50515365600586,128.802628246013,443.2396467089641,110.98652648925781,114.53780489497419,305.4527458104373,73.76286315917969,146.86743847638823,135.0784483096869,71.90641021728516,79.17672861506215,272.8518692723663
8,258.8102722167969,132.27631123087812,499.2898831674763,98.78752899169922,191.29922662629448,390.4491233068287,116.31147766113281,93.18774653126516,362.5342631914736,218.62200927734375,147.12220568642002,297.24139813998215,72.46382904052734,192.9763293881739,287.49116438667517,91.08328247070312,80.76334445823211,379.9984117378296
9,320.49383544921875,376.9926352038079,751.3422227259225,142.06044006347656,264.5660786376422,446.4034608798128,106.24079895019531,66.05930234617033,276.0346486166921,367.9977722167969,381.53855512499774,631.603933645926,143.8602752685547,274.00680735853666,430.11574340148184,189.7737579345703,75.85211967165687,270.3517348460959
average,134.44674491882324,136.32887617771092,293.3295886731885,70.42391471862793,126.41658771381405,242.04325337583887,82.29709815979004,82.67588212171026,311.47476285575374,137.71982803344727,138.552446155948,268.1804277964667,76.81119117736816,144.45667886981641,232.7302273567907,85.27436714172363,78.3942605088248,309.07398063330095
