,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,heat,0,1,208.79999999999998,,,increasing 0,1078.8,5.166666666666667,2962.2000000011176,4,1257.1,0,0,26,"['200105-19180-249', '200105-19180-250', '200105-19180-252', '200105-19180-253', '200105-19180-254', '200105-19180-255', '200105-19180-256', '200105-19180-251']",2020-01-01 08:17:00,178.3,2020-01-01 08:17:00,178.3,,,2020-01-01 13:27:00,1257.1,,0,,
1,open,,0,,,,,,,7.200000001117587,4,,,,,,2020-01-02 09:38:00,1276.1,,,,,2020-01-02 09:43:00,1096.7,,,,
2,reheat,,0,,,,,,,35.59999999962747,4,,,,0,,2020-01-02 09:43:00,1096.7,,,,,2020-01-02 09:51:00,,,,,
3,hold,,0,,,,,,,7.199999999254942,4,,,,,,2020-01-02 09:51:00,1287.2,,,,,2020-01-02 09:53:00,1285.3,,,1285.5,
4,open,,0,,,,,,,12.5,4,,,,,,2020-01-02 09:53:00,1285.3,,,,,2020-01-02 09:59:00,995.7,,,,
5,reheat,,0,,,,,,,46.20000000111759,4,,,,4,,2020-01-02 09:59:00,995.7,,,,,2020-01-02 10:10:00,,,,,
6,open,,0,,,,,,,10.699999999254942,4,,,,,,2020-01-02 10:12:00,1290.1,,,,,2020-01-02 10:16:00,1067.4,,,,
7,reheat,,1,,,,,,,44.40000000037253,4,,,,1,,2020-01-02 10:16:00,1067.4,,,,,2020-01-02 10:38:00,,,,,
8,hold,,1,,,,,,,90.69999999925494,4,,,,,,2020-01-02 10:38:00,1252.9749999999995,,,,,2020-01-02 10:53:00,1284.5,,,1271.1109375,
9,open,,0,,,,,,,3.600000001490116,4,,,,,,2020-01-02 10:53:00,1284.5,,,,,2020-01-02 10:57:00,1074.9,,,,
10,reheat,,0,,,,,,,51.5,4,,,,0,,2020-01-02 10:57:00,1074.9,,,,,2020-01-02 11:09:00,,,,,
11,open,,0,,,,,,,0.0,4,,,,,,2020-01-02 11:10:00,1289.0,,,,,2020-01-02 11:12:00,1020.7,,,,
12,reheat,,0,,,,,,,85.40000000037253,4,,,,0,,2020-01-02 11:12:00,1020.7,,,,,2020-01-02 11:34:00,,,,,
13,hold,,0,,,,,,,241.80000000074506,4,,,,,,2020-01-02 11:34:00,1268.9,,,,,2020-01-02 13:02:00,1275.2,,,1271.0921348314607,
14,open,,0,,,,,,,0.0,4,,,,,,2020-01-02 13:02:00,1275.2,,,,,2020-01-02 13:04:00,1047.7,,,,
15,reheat,,0,,,,,,,44.09999999962747,4,,,,0,,2020-01-02 13:04:00,1047.7,,,,,2020-01-02 13:15:00,,,,,
