,가열로 번호,cycle,시작시간,종료시간,가스사용량,Type,소재 list,작업일자,주/야간,평일/주말,in,out,drop_flag,gradient,part_types,temp diff,time diff,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,종료온도,최종 가열시작 온도,평균온도,겹침수량,직전 사이클 소재 수량,겹침여부
0,1,1.0,2020-01-03 12:34:00,2020-01-03 12:36:00,5.400000000372528,open,"['191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '가열로다이', '가열로다이']",2020-01-03,야간,,,,0.0,,,,,,,,,1261.5,,,,1220.5,,,0,0.0,안겹침
1,1,1.0,2020-01-03 17:56:00,2020-01-03 18:02:00,10.700000000186263,open,"['191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '가열로다이', '가열로다이']",2020-01-03,야간,,,,0.0,,,,,,,,,1259.5,,,,1180.2,,,138,138.0,겹침
2,1,1.0,2020-01-03 18:26:00,2020-01-03 18:29:00,1.7999999998137357,open,"['191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '가열로다이', '가열로다이']",2020-01-03,야간,,,,0.0,,,,,,,,,1280.9,,,,1133.7,,,138,138.0,겹침
3,1,1.0,2020-01-04 01:08:00,2020-01-04 01:12:00,5.5,open,"['191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '가열로다이', '가열로다이']",2020-01-03,야간,,,,0.0,,,,,,,,,1277.5,,,,1209.9,,,138,138.0,겹침
4,1,1.0,2020-01-04 01:21:00,2020-01-04 01:27:00,9.199999999254944,open,"['191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '가열로다이', '가열로다이']",2020-01-03,야간,,,,0.0,,,,,,,,,1280.7,,,,1137.7,,,138,138.0,겹침
5,1,1.0,2020-01-04 01:32:00,2020-01-04 01:41:00,16.5,open,"['191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '가열로다이', '가열로다이']",2020-01-03,야간,,,,0.0,,,,,,,,,1279.4,,,,1165.9,,,138,138.0,겹침
6,1,1.0,2020-01-04 01:46:00,2020-01-04 01:55:00,16.399999999441203,open,"['191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '가열로다이', '가열로다이']",2020-01-03,야간,,,,0.0,,,,,,,,,1280.4,,,,1173.7,,,138,138.0,겹침
7,1,1.0,2020-01-04 02:00:00,2020-01-04 02:10:00,18.200000000186265,open,"['191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '가열로다이', '가열로다이']",2020-01-03,야간,,,,0.0,,,,,,,,,1281.1,,,,1193.8,,,138,138.0,겹침
8,1,1.0,2020-01-04 02:20:00,2020-01-04 02:25:00,9.100000000558794,open,"['191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '가열로다이', '가열로다이']",2020-01-03,야간,,,,0.0,,,,,,,,,1279.5,,,,1214.0,,,138,138.0,겹침
9,1,1.0,2020-01-04 06:43:00,2020-01-04 06:52:00,14.5,open,"['191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '191224-19226-010', '가열로다이', '가열로다이']",2020-01-03,야간,,,,0.0,,,,,,,,,1258.1,,,,1148.5,,,138,138.0,겹침
10,1,2.0,2020-01-06 09:13:00,2020-01-06 09:29:00,0.0,open,"['191122-19234-050', '191122-19234-050', '191122-19234-050', '191217-19234-016', '191217-19234-016', '가열로다이', '가열로다이']",2020-01-04,야간,,,,0.0,,,,,,,,,459.7,,,,235.2,,,108,138.0,겹침
11,1,2.0,2020-01-06 14:53:00,2020-01-06 15:01:00,10.700000000186263,open,"['191122-19234-050', '191122-19234-050', '191122-19234-050', '191217-19234-016', '191217-19234-016', '가열로다이', '가열로다이']",2020-01-04,야간,,,,0.0,,,,,,,,,717.9,,,,650.3,,,118,118.0,겹침
12,1,2.0,2020-01-06 18:06:00,2020-01-06 18:17:00,1.7999999998137357,open,"['191122-19234-050', '191122-19234-050', '191122-19234-050', '191217-19234-016', '191217-19234-016', '가열로다이', '가열로다이']",2020-01-04,야간,,,,0.0,,,,,,,,,660.3,,,,346.8,,,118,118.0,겹침
13,1,3.0,2020-01-10 08:28:00,2020-01-10 08:31:00,3.700000000186265,open,"['200103-19065-002', '191024-19060-013', '191024-19060-013', '191024-19060-013', '191024-19060-013', '191024-19060-013']",2020-01-10,주간,,,,0.0,,,,,,,,,1242.4,,,,1130.3,,,120,118.0,겹침
14,1,3.0,2020-01-10 09:14:00,2020-01-10 09:18:00,7.199999999254942,open,"['200103-19065-002', '191024-19060-013', '191024-19060-013', '191024-19060-013', '191024-19060-013', '191024-19060-013']",2020-01-10,주간,,,,0.0,,,,,,,,,1273.1,,,,1125.7,,,120,120.0,겹침
15,1,3.0,2020-01-10 09:40:00,2020-01-10 09:48:00,18.0,open,"['200103-19065-002', '191024-19060-013', '191024-19060-013', '191024-19060-013', '191024-19060-013', '191024-19060-013']",2020-01-10,주간,,,,0.0,,,,,,,,,1273.3,,,,1194.0,,,120,120.0,겹침
16,1,3.0,2020-01-10 10:10:00,2020-01-10 10:14:00,7.2000000001862645,open,"['200103-19065-002', '191024-19060-013', '191024-19060-013', '191024-19060-013', '191024-19060-013', '191024-19060-013']",2020-01-10,주간,,,,0.0,,,,,,,,,1281.0,,,,1123.2,,,120,120.0,겹침
17,1,3.0,2020-01-10 10:28:00,2020-01-10 10:37:00,19.700000000186265,open,"['200103-19065-002', '191024-19060-013', '191024-19060-013', '191024-19060-013', '191024-19060-013', '191024-19060-013']",2020-01-10,주간,,,,0.0,,,,,,,,,1275.9,,,,1163.7,,,120,120.0,겹침
