,가열로번호,cycle,에너지,시작시간,종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,18,120,69.4,2020-06-11 16:43:00,2020-06-11 17:15:00,1920,0.0361458333,1247.9,1247.6,3,91780,31500,ALLOY,1,0,0,2,60280,30140,1,31500,31500,이상없음,0
1,18,155,188.8,2020-07-22 14:27:00,2020-07-22 15:54:00,5220,0.0361685824,1249.2,1248.7,5,183109,110879,CARBON,0,1,0,0,0,0,5,183109,110879,이상없음,0
2,18,118,684.4,2020-06-10 10:09:00,2020-06-10 15:23:00,18840,0.0363269639,1247.2,1250.9,3,79550,31500,CARBON,0,1,0,0,0,0,3,79550,31500,이상없음,0
3,18,114,656.8,2020-06-05 22:51:00,2020-06-06 03:49:00,17880,0.0367337808,1256.0,1251.1,5,106320,25950,CARBON,0,1,0,0,0,0,5,106320,25950,이상없음,0
4,18,107,1037.6,2020-05-29 03:36:00,2020-05-29 11:26:00,28200,0.0367943262,1178.4,1178.7,2,76880,56280,ALLOY,1,0,0,1,56280,56280,1,20600,20600,이상없음,0
5,18,120,849.1,2020-06-12 09:51:00,2020-06-12 16:15:00,23040,0.0368532986,1249.2,1248.6,3,91780,31500,ALLOY,1,0,0,2,60280,30140,1,31500,31500,이상없음,0
6,18,148,754.0,2020-07-14 16:52:00,2020-07-14 22:30:00,20280,0.0371794872,1246.6,1251.0,2,78225,58500,CARBON,0,1,0,0,0,0,2,78225,58500,이상없음,0
7,18,152,245.8,2020-07-17 13:56:00,2020-07-17 15:46:00,6600,0.0372424242,1249.4,1235.1,3,116560,56280,ALLOY,1,0,0,3,116560,56280,0,0,0,이상없음,0
8,18,124,339.7,2020-06-16 23:30:00,2020-06-17 02:02:00,9120,0.037247807,1247.2,1251.0,5,80100,31500,CARBON,0,1,0,0,0,0,5,80100,31500,이상없음,0
9,18,124,326.7,2020-06-16 20:46:00,2020-06-16 23:12:00,8760,0.0372945205,1249.5,1251.8,5,80100,31500,CARBON,0,1,0,0,0,0,5,80100,31500,이상없음,0
10,18,106,281.9,2020-05-28 09:48:00,2020-05-28 11:53:00,7500,0.0375866667,1248.6,1248.3,4,158270,66600,SUS,0,0,1,3,148800,66600,1,9470,9470,이상없음,0
11,18,142,720.2,2020-07-09 08:54:00,2020-07-09 14:12:00,19080,0.037746331200000004,1249.7,1249.5,4,138950,59300,CARBON,0,1,0,2,66450,38600,2,72500,59300,이상없음,0
12,18,88,391.6,2020-05-08 10:31:00,2020-05-08 13:23:00,10320,0.0379457364,1247.8,1250.7,5,66555,18000,CARBON,0,1,0,0,0,0,5,66555,18000,이상없음,0
13,18,133,815.1,2020-06-29 09:23:00,2020-06-29 15:17:00,21240,0.0383757062,1248.0,1249.0,5,124769,56280,ALLOY,1,0,0,4,114969,56280,1,9800,9800,이상없음,0
14,18,130,267.5,2020-06-25 09:52:00,2020-06-25 11:48:00,6960,0.038433907999999996,1248.5,1248.7,2,110200,55100,CARBON,0,1,0,0,0,0,2,110200,55100,이상없음,0
15,18,93,283.0,2020-05-13 20:43:00,2020-05-13 22:45:00,7320,0.0386612022,1249.0,1250.5,3,125300,55100,CARBON,0,1,0,2,70200,35100,1,55100,55100,이상없음,0
16,18,146,596.3,2020-07-13 18:21:00,2020-07-13 22:38:00,15420,0.038670557700000004,1249.1,1252.4,2,86420,56280,ALLOY,1,0,0,2,86420,56280,0,0,0,이상없음,0
17,18,157,511.9,2020-07-23 23:31:00,2020-07-24 03:11:00,13200,0.038780302999999995,1250.0,1258.0,5,198040,70600,ALLOY,1,0,0,2,68240,38100,3,129800,70600,이상없음,0
18,18,126,112.4,2020-06-18 19:17:00,2020-06-18 20:05:00,2880,0.039027777799999996,1246.5,1250.1,3,152300,66600,CARBON,0,1,0,2,105200,66600,1,47100,47100,이상없음,0
19,18,132,229.8,2020-06-26 20:44:00,2020-06-26 22:22:00,5880,0.0390816327,1247.3,1251.6,3,51610,26500,CARBON,0,1,0,0,0,0,3,51610,26500,이상없음,0
20,18,85,242.1,2020-04-30 18:36:00,2020-04-30 20:19:00,6180,0.0391747573,1248.1,1252.9,6,76720,16300,CARBON,0,1,0,0,0,0,6,76720,16300,이상없음,0
21,18,108,839.5,2020-05-29 23:32:00,2020-05-30 05:29:00,21420,0.0391923436,1252.9,1248.2,2,86420,56280,ALLOY,1,0,0,2,86420,56280,0,0,0,이상없음,0
22,18,72,136.9,2020-04-17 07:11:00,2020-04-17 08:09:00,3480,0.0393390805,1245.3,1250.2,5,134250,26850,CARBON,0,1,0,0,0,0,5,134250,26850,이상없음,0
23,18,88,120.4,2020-05-08 13:44:00,2020-05-08 14:35:00,3060,0.039346405200000004,1248.6,1248.1,5,66555,18000,CARBON,0,1,0,0,0,0,5,66555,18000,이상없음,0
24,18,72,108.6,2020-04-17 10:23:00,2020-04-17 11:09:00,2760,0.0393478261,1248.8,1249.3,5,134250,26850,CARBON,0,1,0,0,0,0,5,134250,26850,이상없음,0
25,18,124,242.4,2020-06-17 03:14:00,2020-06-17 04:56:00,6120,0.0396078431,1248.1,1248.5,5,80100,31500,CARBON,0,1,0,0,0,0,5,80100,31500,이상없음,0
26,18,84,154.6,2020-04-29 19:13:00,2020-04-29 20:18:00,3900,0.0396410256,1247.2,1251.0,5,111200,61600,CARBON,0,1,0,1,61600,61600,4,49600,12400,이상없음,0
27,18,145,576.7,2020-07-13 11:27:00,2020-07-13 15:29:00,14520,0.0397176309,1249.4,1248.7,4,146270,58500,SUS,0,0,1,3,87770,56280,1,58500,58500,이상없음,0
28,18,135,546.4,2020-07-01 09:49:00,2020-07-01 13:38:00,13740,0.0397671033,1251.4,1248.7,2,147650,91370,ALLOY,1,0,0,1,56280,56280,1,91370,91370,이상없음,0
29,18,141,480.3,2020-07-08 23:04:00,2020-07-09 02:25:00,12060,0.0398258706,1250.1,1249.2,5,149550,59300,ALLOY,1,0,0,3,77050,27850,2,72500,59300,이상없음,0
30,18,130,76.5,2020-06-25 08:39:00,2020-06-25 09:11:00,1920,0.03984375,1248.5,1248.6,2,110200,55100,CARBON,0,1,0,0,0,0,2,110200,55100,이상없음,0
31,18,114,781.8,2020-06-05 16:31:00,2020-06-05 21:58:00,19620,0.039847094799999996,1256.2,1249.1,5,106320,25950,CARBON,0,1,0,0,0,0,5,106320,25950,이상없음,0
32,18,94,260.6,2020-05-15 03:04:00,2020-05-15 04:53:00,6540,0.039847094799999996,1248.0,1248.4,7,146645,24100,CARBON,0,1,0,0,0,0,7,146645,24100,이상없음,0
33,18,136,768.1,2020-07-01 23:07:00,2020-07-02 04:28:00,19260,0.0398805815,1249.3,1248.7,4,143375,91370,CARBON,0,1,0,0,0,0,4,143375,91370,이상없음,0
