,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,이전 종료온도,쉰시간,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,18,1,171.2,2020-01-02 19:17:00,2020-01-02 19:34:00,1020,709.0,1237.7,1255.1,1080,5,128200,35100,CARBON,0,1,0,0,0,0,1,35100,35100,4,93100,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,128200,35100,0,누락없음,960,1/2/2020,야간,목,안겹침,이상없음,7,0,CS,평일,0
1,18,2,1380.3,2020-01-03 04:17:00,2020-01-03 06:07:00,6600,574.9,1250.8,1237.7,1440,8,106575,14150,CARBON,0,1,0,2,22025,11045,6,84550,14150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22025,11045,6,84550,14150,1,누락없음,6240,1/3/2020,야간,금,안겹침,이상없음,5,0,AC,평일,0
2,18,3,4079.0,2020-01-04 05:11:00,2020-01-04 10:54:00,20580,363.2,1255.8,1250.8,3900,10,170780,19615,CARBON,0,1,0,0,0,0,10,170780,19615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,170780,19615,0,누락없음,20280,1/4/2020,야간,토,안겹침,이상없음,8,0,C,주말,0
3,18,5,2033.6,2020-01-07 01:36:00,2020-01-07 04:10:00,9240,525.6,1254.6,1249.6,2040,7,128150,25000,CARBON,0,1,0,0,0,0,6,110150,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,128150,25000,0,강종누락,9120,1/7/2020,야간,화,안겹침,민감누락,10,0,C,평일,0
4,18,6,797.4,2020-01-08 05:59:00,2020-01-08 07:03:00,3840,688.4,1194.3,1254.6,1140,5,139315,50445,CARBON,0,1,0,0,0,0,5,139315,50445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,93780,50445,3,45535,17235,0,누락없음,3720,1/8/2020,야간,수,안겹침,이상없음,7,0,C,평일,0
5,18,7,431.9,2020-01-09 03:07:00,2020-01-09 03:45:00,2280,814.2,1259.7,1194.3,780,5,125850,50445,CARBON,0,1,0,1,17000,17000,2,93780,50445,2,15070,7630,0,0,0,0,0,0,0,0,0,0,0,0,3,110780,50445,2,15070,7630,0,누락없음,2220,1/9/2020,야간,목,겹침,이상없음,5,2,ACS,평일,0
6,18,8,145.4,2020-01-10 06:00:00,2020-01-10 06:17:00,1020,764.0,1255.9,1259.7,420,4,107760,30480,ALLOY,1,0,0,2,60960,30480,2,46800,23400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46800,23400,2,60960,30480,0,누락없음,960,1/10/2020,야간,금,안겹침,이상없음,5,0,AC,평일,0
7,18,10,319.8,2020-01-14 01:43:00,2020-01-14 02:10:00,1620,639.3,1203.7,1254.7,11820,4,85200,21300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,85200,21300,0,강종누락,1560,1/14/2020,주간,화,안겹침,이상없음,6,0,,평일,1
8,18,11,505.1,2020-01-14 14:29:00,2020-01-14 15:07:00,2280,714.9,1254.8,1203.7,660,4,82090,36000,CARBON,0,1,0,2,22090,11045,2,60000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46090,24000,1,36000,36000,0,누락없음,2280,1/15/2020,주간,화,안겹침,이상없음,4,0,AC,평일,0
9,18,13,323.5,2020-01-17 08:46:00,2020-01-17 09:34:00,2880,1004.9,1259.9,1257.2,36960,6,139970,36100,SUS,0,0,1,2,70200,36100,0,0,0,1,12020,12020,0,0,0,0,0,0,0,0,0,0,0,0,3,104300,36100,3,35670,12020,0,강종누락,2280,1/17/2020,야간,금,안겹침,이상없음,4,0,AS,평일,0
10,18,15,462.2,2020-01-21 04:44:00,2020-01-21 05:30:00,2760,848.2,1262.6,1263.0,720,5,127335,60100,ALLOY,1,0,0,4,67235,34100,1,60100,60100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,93235,60100,1,34100,34100,1,누락없음,2100,1/21/2020,야간,화,안겹침,민감누락,6,0,AC,평일,0
11,18,16,4030.4,2020-01-22 06:06:00,2020-01-22 11:45:00,20340,396.8,1225.1,1262.6,4020,6,169320,34850,ALLOY,1,0,0,2,57170,29420,4,112150,34850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57170,29420,4,112150,34850,3,누락없음,18240,1/22/2020,야간,수,안겹침,이상없음,5,0,AC,평일,0
