,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,gradient,temp_diff,time_diff,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,20,76,296.8,4/13/2020 18:36,4/13/2020 19:17,2460,0.120650407,1014.1,1250.5,4,112550,31500,345.9512195,236.4,0.683333333,ALLOY,1,0,0,720,2,51700,27900,2,60850,31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51700,27900,2,60850,31500,1,누락없음,2220,4/13/2020,야간,월,겹침,이상없음,6,4,AC,평일,0
1,20,17,305.7,1/21/2020 16:38,1/21/2020 17:20,2520,0.121309524,855.6,1256.9,2,160209,101109,573.2857143,401.3,0.7,ALLOY,1,0,0,420,2,160209,101109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,160209,101109,1,누락없음,2220,1/22/2020,주간,화,겹침,이상없음,3,2,A,평일,0
2,20,119,177.3,6/9/2020 21:26,6/9/2020 21:50,1440,0.123125,929.5,1257.2,4,209950,70100,819.25,327.7,0.4,CARBON,0,1,0,720,0,0,0,4,209950,70100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,209950,70100,0,누락없음,1380,6/10/2020,야간,화,안겹침,이상없음,2,0,C,평일,0
3,20,13,289,1/16/2020 2:45,1/16/2020 3:24,2340,0.123504274,869.1,1253.2,3,160959,101109,590.9230769,384.1,0.65,ALLOY,1,0,0,300,2,125209,101109,1,35750,35750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24100,24100,2,136859,101109,1,누락없음,1980,1/16/2020,주간,목,겹침,이상없음,4,3,AC,평일,0
4,20,148,111.4,7/16/2020 11:24,7/16/2020 11:39,900,0.123777778,888.4,1253.9,3,109740,39800,1462,365.5,0.25,ALLOY,1,0,0,480,1,30140,30140,2,79600,39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30140,30140,2,79600,39800,0,누락없음,840,7/16/2020,야간,목,겹침,이상없음,4,2,AC,평일,0
5,20,162,89.2,8/12/2020 15:46,8/12/2020 15:58,720,0.123888889,1147.2,1252.1,4,107790,42600,524.5,104.9,0.2,CARBON,0,1,0,780,0,0,0,4,107790,42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,107790,42600,0,누락없음,720,8/12/2020,야간,수,겹침,이상없음,3,2,C,평일,0
6,20,172,171.3,8/21/2020 13:47,8/21/2020 14:10,1380,0.124130435,896,1251.7,2,89200,44600,927.9130435,355.7,0.383333333,CARBON,0,1,0,840,0,0,0,2,89200,44600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,89200,44600,0,누락없음,1320,8/21/2020,야간,금,겹침,이상없음,4,2,C,평일,0
7,20,136,104.7,7/3/2020 5:03,7/3/2020 5:17,840,0.124642857,918.1,1255.2,3,91900,41000,1444.714286,337.1,0.233333333,CARBON,0,1,0,300,0,0,0,3,91900,41000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,91900,41000,0,누락없음,780,7/3/2020,야간,금,안겹침,이상없음,3,0,C,평일,0
8,20,145,104.7,7/14/2020 4:10,7/14/2020 4:24,840,0.124642857,1016.7,1253.6,3,117490,86000,1015.285714,236.9,0.233333333,SUS,0,0,1,480,0,0,0,1,86000,86000,2,31490,15990,0,0,0,0,0,0,0,0,0,0,0,0,2,31490,15990,1,86000,86000,0,누락없음,780,7/14/2020,주간,화,겹침,이상없음,2,1,CS,평일,0
9,20,180,337.6,8/31/2020 21:55,8/31/2020 22:40,2700,0.125037037,830.3,1255,4,138900,36600,566.2666667,424.7,0.75,CARBON,0,1,0,360,0,0,0,4,138900,36600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36600,36600,3,102300,34100,1,누락없음,2340,9/1/2020,주간,월,겹침,이상없음,4,4,C,평일,0
