,Unnamed: 0,0,1,2
0,0,190529-94594-001,2019-07-01 09:12:00,"['태상 미음', None]"
1,1,190529-94594-003,2019-07-01 09:12:00,"['태상 미음', None]"
2,2,190612-00198-001,2019-07-01 10:12:00,"['태상 미음', '태상 미음']"
3,3,190612-00198-002,2019-07-01 10:12:00,"['태상 미음', '태상 미음']"
4,4,190612-00198-003,2019-07-01 10:12:00,"['태상 미음', '태상 미음']"
5,5,190208-15111-004,2019-07-01 11:25:00,"['태웅 단조', None]"
6,6,190305-15111-002,2019-07-01 18:25:00,"['태웅 단조', '태웅 단조']"
7,7,190219-15088-001,2019-07-01 18:36:00,"['태웅 단조', '태상 미음']"
8,8,190530-12161-001,2019-07-01 18:36:00,"['태웅 단조', '태상 미음']"
9,9,190208-12005-019,2019-07-02 02:24:00,"['태웅 단조', None]"
10,10,190220-15111-001,2019-07-02 07:24:00,"['태웅 단조', '태웅 단조']"
11,11,190424-15111-006,2019-07-02 08:20:00,"['태웅 단조', '태웅 단조']"
12,12,190220-15111-001,2019-07-02 08:36:00,"['태웅 단조', '태웅 단조']"
13,13,190601-99010-001,2019-07-02 13:50:00,"['태웅 단조 2EA', '태웅 단조 3EA']"
14,14,190609-KO483-001,2019-07-02 14:50:00,"['태웅 단조 2EA', '태웅 단조 2EA']"
15,15,190609-KO483-002,2019-07-02 14:50:00,"['태웅 단조 2EA', '태웅 단조 2EA']"
16,16,181010-12339-008,2019-07-02 15:10:00,"['태웅 단조', None]"
17,17,181010-12339-011,2019-07-02 15:10:00,"['태웅 단조', None]"
18,18,190214-14730-021,2019-07-02 16:30:00,"['태상 미음', None]"
19,19,180903-12339-012,2019-07-02 19:10:00,"['태웅 단조', '태웅 단조']"
20,20,180903-12339-022,2019-07-02 19:10:00,"['태웅 단조', '태웅 단조']"
21,21,181102-14730-005,2019-07-02 19:30:00,"['태상 미음', '태상 미음']"
22,22,181102-14730-006,2019-07-02 19:30:00,"['태상 미음', '태상 미음']"
23,23,181102-14730-007,2019-07-02 19:30:00,"['태상 미음', '태상 미음']"
24,24,181010-12339-009,2019-07-02 22:10:00,"['태웅 단조', None]"
25,25,190516-14173-014,2019-07-03 15:30:00,"['태웅 단조', None]"
26,26,190516-14173-015,2019-07-03 18:30:00,"['태웅 단조', '태웅 단조']"
27,27,190516-14173-016,2019-07-03 18:30:00,"['태웅 단조', '태웅 단조']"
28,28,190329-15111-001,2019-07-03 22:30:00,"['태웅 단조', '태웅 단조']"
29,29,190506-17035-002,2019-07-03 23:50:00,"['태웅 단조', '태웅 단조']"
30,30,181028-17035-004,2019-07-03 23:50:00,"['태웅 단조', None]"
31,31,190516-12405-002,2019-07-04 16:30:00,"['태웅 단조', '태웅 단조']"
32,32,180903-12339-047,2019-07-04 16:30:00,"['태웅 단조', '태웅 단조']"
33,33,190618-11091-001,2019-07-04 16:30:00,"['태웅 단조', '태웅 단조']"
34,34,190612-19172-001,2019-07-04 18:50:00,"['태웅 단조', '태웅 단조']"
35,35,190214-14730-020,2019-07-04 19:10:00,"['태상 미음', None]"
36,36,181102-14730-008,2019-07-04 22:10:00,"['태상 미음', '태상 미음']"
37,37,181102-14730-009,2019-07-04 22:10:00,"['태상 미음', '태상 미음']"
38,38,181102-14730-010,2019-07-04 22:10:00,"['태상 미음', '태상 미음']"
39,39,190218-15088-001,2019-07-04 22:50:00,"['태웅 단조', '태상 미음']"
40,40,190218-15088-003,2019-07-04 22:50:00,"['태웅 단조', '태상 미음']"
41,41,190616-99010-001,2019-07-05 00:30:00,"['태웅 단조', None]"
42,42,181112-19581-008,2019-07-05 07:10:00,"['태웅 단조', '태웅 단조']"
43,43,190613-19154-1 외,2019-07-08 17:20:00,"['태웅 단조', '태상 미음']"
44,44,190213-14730-026,2019-07-08 20:00:00,"['태상 미음', '태상 미음']"
45,45,190213-14730-068,2019-07-08 20:00:00,"['태상 미음', '태상 미음']"
46,46,190213-14730-024,2019-07-08 20:00:00,"['태상 미음', None]"
47,47,190213-14730-066,2019-07-08 20:00:00,"['태상 미음', None]"
48,48,190624-15226-001,2019-07-08 22:30:00,"['태웅 단조', '태웅 단조']"
49,49,190614-12321-001,2019-07-09 01:40:00,"['태웅 단조', '태웅 단조']"
50,50,190513-15135-002,2019-07-09 02:40:00,"['태웅 단조', '태웅 단조']"
51,51,180530-12005-025,2019-07-10 04:50:00,"['태웅 단조', None]"
52,52,190305-15111-003,2019-07-10 06:10:00,"['태웅 단조', None]"
53,53,190305-15111-003,2019-07-10 07:30:00,"['태웅 단조', None]"
54,54,190226-15088-002,2019-07-10 07:50:00,"['태웅 단조', '태웅 단조']"
55,55,190305-15111-001,2019-07-10 08:10:00,"['태웅 단조', '태웅 단조']"
56,56,190305-15111-001,2019-07-10 09:30:00,"['태웅 단조', '태웅 단조']"
57,57,190523-19004-001,2019-07-10 18:10:00,"['태웅 단조', '태웅 단조 1EA']"
58,58,190523-19004-003,2019-07-10 18:10:00,"['태웅 단조', '태웅 단조 1EA']"
59,59,181001-14017-012,2019-07-10 22:30:00,"['태웅 단조', '태웅 단조']"
60,60,190625-15226-005,2019-07-11 00:30:00,"['태웅 단조', '태웅 단조']"
61,61,190604-15133-001,2019-07-11 04:10:00,"['태웅 단조', '태웅 단조']"
62,62,190523-19004-002,2019-07-11 04:10:00,"['태웅 단조', '태웅 단조']"
63,63,190523-19004-004,2019-07-11 04:10:00,"['태웅 단조', '태웅 단조']"
