,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),eps,시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,gradient,temp_diff,time_diff,강종,강종_ALLOY,강종_CARBON,강종_SUS,쉰시간,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
115,1,4,1393.5,2020-01-19 23:19:00,2020-01-20 07:37:00,29880,0.0466365462,661.4,1256.1,6,41220,6870,71.65060241,594.7,8.3,CARBON,0,1,0,127080,0,0,0,6,41220,6870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41220,6870,0,누락없음,-22680,1/20/2020,야간,일,겹침,이상없음,6,6,C,주말,0
1421,1,85,3181.1,2020-07-19 17:17:00,2020-07-20 11:49:00,66720,0.0476783573,361.3,1256.7,7,44940,6420,48.31294964,895.4,18.53333333,ALLOY,1,0,0,121260,7,44940,6420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44940,6420,1,누락없음,-30120,7/20/2020,야간,일,겹침,이상없음,7,7,A,주말,0
1276,1,76,1782.3,2020-06-28 07:45:00,2020-06-28 17:57:00,36720,0.0485375817,707,1205,4,28320,8520,48.82352941,498,10.2,ALLOY,1,0,0,9060,1,8520,8520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28320,8520,0,0,0,0,강종누락,31140,6/29/2020,주간,일,겹침,이상없음,4,4,A,주말,0
1466,1,90,1895.2,2020-07-26 08:40:00,2020-07-26 19:30:00,39000,0.0485948718,568.5,1252.8,4,33960,8490,63.16615385,684.3,10.83333333,CARBON,0,1,0,106860,0,0,0,4,33960,8490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33960,8490,0,누락없음,37620,7/27/2020,주간,일,안겹침,이상없음,8,0,C,주말,0
493,1,21,2194.8,2020-03-08 17:46:00,2020-03-09 06:10:00,44640,0.0491666667,516.2,1252.4,7,57050,8250,59.37096774,736.2,12.4,CARBON,0,1,0,129600,0,0,0,5,41250,8250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15800,7900,5,41250,8250,0,강종누락,41880,3/9/2020,야간,일,안겹침,이상없음,1,0,C,주말,0
1099,1,61,2518.7,2020-05-31 07:08:00,2020-05-31 21:15:00,50820,0.0495611964,468.4,1240.3,5,69060,15660,54.68004723,771.9,14.11666667,CARBON,0,1,0,86760,0,0,0,5,69060,15660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,69060,15660,1,누락없음,48240,6/1/2020,주간,일,겹침,이상없음,5,1,C,주말,0
114,1,4,834.7,2020-01-18 07:29:00,2020-01-18 12:01:00,16320,0.0511458333,65.3,651.2,6,41220,6870,129.2426471,585.9,4.533333333,CARBON,0,1,0,649860,0,0,0,6,41220,6870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41220,6870,0,누락없음,-36240,1/20/2020,야간,토,안겹침,이상없음,6,0,C,주말,0
1791,1,116,1714.9,2020-09-20 22:01:00,2020-09-21 07:11:00,33000,0.0519666667,509.5,1255.1,4,28320,7710,81.33818182,745.6,9.166666667,CARBON,0,1,0,182640,1,5190,5190,3,23130,7710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5190,5190,3,23130,7710,0,누락없음,31740,9/21/2020,야간,일,안겹침,이상없음,8,0,AC,주말,0
540,1,23,2225.9,2020-03-15 14:52:00,2020-03-16 02:35:00,42180,0.0527714557,486.4,1261.5,9,50130,5570,66.15362731,775.1,11.71666667,CARBON,0,1,0,161580,0,0,0,9,50130,5570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,50130,5570,2,누락없음,39780,3/16/2020,야간,일,안겹침,이상없음,6,0,C,주말,0
372,1,15,2627.5,2020-02-23 13:11:00,2020-02-24 02:50:00,49140,0.0534696785,365.3,1164.3,10,77900,8030,58.53479853,799,13.65,CARBON,0,1,0,100380,0,0,0,10,77900,8030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,77900,8030,4,누락없음,-30780,2/24/2020,야간,일,겹침,이상없음,10,10,C,주말,0
640,1,31,1658.5,2020-03-27 02:44:00,2020-03-27 11:20:00,30960,0.0535691214,639.3,1147.2,10,80700,8070,59.05813953,507.9,8.6,CARBON,0,1,0,7800,0,0,0,10,80700,8070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,80700,8070,4,누락없음,29820,3/27/2020,야간,금,안겹침,이상없음,4,0,C,평일,0
1366,1,83,2226.3,2020-07-12 05:37:00,2020-07-12 17:00:00,40980,0.0543265007,537.3,1254.7,4,49640,12410,63.02196193,717.4,11.38333333,ALLOY,1,0,0,102540,4,49640,12410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49640,12410,0,0,0,0,누락없음,38160,7/13/2020,주간,일,안겹침,이상없음,4,0,A,주말,0
1663,1,105,2294.5,2020-08-30 16:45:00,2020-08-31 04:26:00,42060,0.0545530195,519.2,1253.7,8,62400,8870,62.86733238,734.5,11.68333333,CARBON,0,1,0,141240,0,0,0,8,62400,8870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,62400,8870,0,누락없음,39900,8/31/2020,야간,일,안겹침,이상없음,10,0,C,주말,0
1754,1,112,2902.1,2020-09-13 09:35:00,2020-09-14 00:15:00,52800,0.0549640152,361.5,1255.2,8,64280,8870,60.93409091,893.7,14.66666667,CARBON,0,1,0,166020,4,28800,7230,4,35480,8870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28800,7230,4,35480,8870,0,누락없음,-27360,9/14/2020,야간,일,겹침,이상없음,8,8,AC,주말,0
432,1,17,2197.8,2020-03-01 19:12:00,2020-03-02 06:12:00,39600,0.0555,366.8,1166,7,60550,8650,72.65454545,799.2,11,CARBON,0,1,0,124020,0,0,0,7,60550,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,60550,8650,8,누락없음,-43560,3/2/2020,야간,일,겹침,이상없음,7,7,C,주말,0
1615,1,100,2862.8,2020-08-23 18:29:00,2020-08-24 08:37:00,50880,0.0562657233,362.4,1256.5,9,73350,8490,63.26179245,894.1,14.13333333,CARBON,0,1,0,22740,0,0,0,9,73350,8490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,73350,8490,0,누락없음,-80880,8/24/2020,야간,일,겹침,이상없음,9,9,C,주말,0
1127,1,62,1796.8,2020-06-03 13:03:00,2020-06-03 21:47:00,31440,0.0571501272,315.3,1260,5,37780,12000,108.1717557,944.7,8.733333333,CARBON,0,1,0,125100,0,0,0,5,37780,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21130,12000,3,16650,5550,1,누락없음,31020,6/4/2020,주간,수,안겹침,이상없음,5,0,C,평일,0
1263,1,75,1109.3,2020-06-25 20:01:00,2020-06-26 01:19:00,19080,0.058139413,535.2,1254.8,1,11300,11300,135.7735849,719.6,5.3,ALLOY,1,0,0,61800,1,11300,11300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11300,11300,0,0,0,1,누락없음,18540,6/26/2020,주간,목,안겹침,이상없음,8,0,A,평일,0
719,1,35,83.8,2020-04-06 13:37:00,2020-04-06 14:01:00,1440,0.0581944444,1116.2,1192.5,4,41200,10300,190.75,76.3,0.4,SUS,0,0,1,5640,0,0,0,0,0,0,4,41200,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41200,10300,19,누락없음,-2820,4/6/2020,주간,월,겹침,초민감,4,4,S,주말,0
1141,1,64,2669.6,2020-06-07 21:55:00,2020-06-08 10:23:00,44880,0.059483066,412.2,1260.4,7,91660,15760,68.03743316,848.2,12.46666667,CARBON,0,1,0,184260,0,0,0,7,91660,15760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,91660,15760,0,누락없음,43020,6/8/2020,야간,일,안겹침,이상없음,7,0,C,주말,0
164,1,6,1004.6,2020-01-28 10:19:00,2020-01-28 14:59:00,16800,0.059797619,355,796.4,8,57690,9020,94.58571429,441.4,4.666666667,CARBON,0,1,0,6420,0,0,0,7,52300,9020,1,5390,5390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,57690,9020,0,누락없음,13800,1/29/2020,주간,화,겹침,이상없음,8,8,CS,평일,0
255,1,12,1799.5,2020-02-09 09:25:00,2020-02-09 17:35:00,29400,0.061207483,659.7,1250.9,9,70030,8030,72.39183673,591.2,8.166666667,CARBON,0,1,0,28080,0,0,0,9,70030,8030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,70030,8030,0,누락없음,-9300,2/10/2020,주간,일,겹침,이상없음,9,9,C,주말,0
585,1,26,764.8,2020-03-20 07:09:00,2020-03-20 10:33:00,12240,0.0624836601,574.4,1259.1,3,29060,10530,201.3823529,684.7,3.4,ALLOY,1,0,0,1560,2,21060,10530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8000,8000,2,21060,10530,8,강종누락,10620,3/20/2020,야간,금,안겹침,이상없음,8,0,A,평일,0
1708,1,108,2107.2,2020-09-06 11:21:00,2020-09-06 20:40:00,33540,0.0628264758,526.8,1255.6,5,46910,12830,78.2254025,728.8,9.316666667,SUS,0,0,1,147540,0,0,0,3,33530,12830,2,13380,6690,0,0,0,0,0,0,0,0,0,0,0,0,2,13380,6690,3,33530,12830,0,누락없음,32220,9/7/2020,주간,일,안겹침,이상없음,7,0,CS,주말,0
912,1,49,231.8,2020-04-28 20:04:00,2020-04-28 21:05:00,3660,0.0633333333,810.4,1289.6,9,55650,8960,471.3442623,479.2,1.016666667,ALLOY,1,0,0,20700,2,17920,8960,7,37730,5390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17920,8960,7,37730,5390,0,누락없음,3600,4/29/2020,야간,화,안겹침,이상없음,9,0,AC,평일,0
633,1,30,558.1,2020-03-26 03:44:00,2020-03-26 06:10:00,8760,0.0637100457,383,1191.5,4,26700,8500,332.260274,808.5,2.433333333,CARBON,0,1,0,14820,0,0,0,4,26700,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26700,8500,4,누락없음,8400,3/26/2020,야간,목,안겹침,이상없음,4,0,C,평일,0
237,1,11,1136.9,2020-02-06 01:28:00,2020-02-06 06:22:00,17640,0.0644501134,460,1174.7,6,57040,9970,145.8571429,714.7,4.9,CARBON,0,1,0,36300,0,0,0,6,57040,9970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,57040,9970,3,누락없음,12780,2/6/2020,야간,목,안겹침,이상없음,6,0,C,평일,0
1136,1,63,845.9,2020-06-04 19:58:00,2020-06-04 23:34:00,12960,0.0652700617,660.2,1267.1,7,48770,8030,168.5833333,606.9,3.6,CARBON,0,1,0,1140,0,0,0,7,48770,8030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48770,8030,0,누락없음,12840,6/5/2020,주간,목,겹침,이상없음,5,3,C,평일,0
1066,1,58,675.1,2020-05-27 07:13:00,2020-05-27 10:05:00,10320,0.0654166667,488.8,1256.4,7,52210,15760,267.7674419,767.6,2.866666667,CARBON,0,1,0,3780,0,0,0,2,24710,15760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,52210,15760,0,강종누락,9960,5/27/2020,야간,수,안겹침,이상없음,8,0,C,평일,0
1195,1,70,1590.8,2020-06-16 07:27:00,2020-06-16 14:10:00,24180,0.065789909,513.5,1259,6,52120,10000,110.9925558,745.5,6.716666667,CARBON,0,1,0,3300,0,0,0,4,32120,8030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20000,10000,4,32120,8030,0,강종누락,24120,6/16/2020,야간,화,안겹침,이상없음,5,0,C,평일,0
