,가열로번호,cycle,에너지,가열시작시간,가열종료시간,시간(총),시작온도,종료온도,이전 종료온도,쉰시간,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,문열림횟수,drop,시간(0제외),작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,18,1,171.2,2020-01-02 19:17:00,2020-01-02 19:34:00,1020,709,1237.7,1255.1,1080,5,128200,35100,CARBON,0,1,0,0,0,0,1,35100,35100,4,93100,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,128200,35100,0,누락없음,960,1/2/2020,야간,목,안겹침,이상없음,7,0,CS,평일,0
1,1,1,1396.3,2020-01-03 08:06:00,2020-01-03 12:31:00,15900,481.6,1256.1,1252.6,4320,8,45820,5970,CARBON,0,1,0,0,0,0,6,35820,5970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10000,5000,6,35820,5970,2,강종누락,15120,1/3/2020,야간,금,안겹침,이상없음,0,0,C,평일,0
2,3,1,935,2020-01-03 04:08:00,2020-01-03 05:43:00,5700,747.4,1255.6,1233.6,1500,7,58730,10100,CARBON,0,1,0,2,18330,9730,5,40400,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48630,9730,1,10100,10100,0,누락없음,5640,1/3/2020,야간,금,안겹침,이상없음,8,0,AC,평일,0
3,6,1,4996.7,2020-01-03 02:43:00,2020-01-03 10:29:00,27960,500.4,1206.9,1146,2940,5,98075,19615,CARBON,0,1,0,0,0,0,5,98075,19615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,98075,19615,0,누락없음,27600,1/3/2020,야간,금,안겹침,이상없음,5,0,C,평일,0
4,17,1,969,2020-01-02 16:57:00,2020-01-02 18:06:00,4140,424.6,1261.3,1258,9060,5,48920,10980,ALLOY,1,0,0,5,48920,10980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,48920,10980,0,0,0,0,누락없음,4080,1/3/2020,주간,목,안겹침,이상없음,6,0,A,평일,0
5,18,2,1380.3,2020-01-03 04:17:00,2020-01-03 06:07:00,6600,574.9,1250.8,1237.7,1440,8,106575,14150,CARBON,0,1,0,2,22025,11045,6,84550,14150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22025,11045,6,84550,14150,1,누락없음,6240,1/3/2020,야간,금,안겹침,이상없음,5,0,AC,평일,0
6,19,1,1862.8,2020-01-02 20:50:00,2020-01-03 01:32:00,16920,700.8,1248.8,1223,10320,3,63700,25950,CARBON,0,1,0,0,0,0,2,51900,25950,1,11800,11800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,63700,25950,0,누락없음,16740,1/3/2020,주간,목,안겹침,이상없음,2,0,CS,평일,0
7,19,2,189.1,2020-01-03 20:22:00,2020-01-03 20:50:00,1680,1104.8,1245.8,1248.8,300,5,92200,25950,SUS,0,0,1,2,28500,14250,2,51900,25950,1,11800,11800,0,0,0,0,0,0,0,0,0,0,0,0,2,28500,14250,3,63700,25950,1,누락없음,1440,1/3/2020,야간,금,겹침,이상없음,3,3,ACS,평일,0
8,20,1,299.8,2020-01-02 19:05:00,2020-01-02 19:29:00,1440,757.9,1249.7,1255.3,600,6,79800,14250,ALLOY,1,0,0,2,28500,14250,4,51300,12950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28500,14250,4,51300,12950,0,누락없음,1380,1/3/2020,주간,목,안겹침,이상없음,8,0,AC,평일,0
9,4,1,888,2020-01-02 17:18:00,2020-01-02 18:44:00,5160,544.8,1254.6,1257.1,14580,5,32300,10100,CARBON,0,1,0,0,0,0,5,32300,10100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,32300,10100,0,누락없음,5100,1/3/2020,주간,목,안겹침,이상없음,8,0,C,평일,0
