,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,啊胶荤侩樊,啊凯肺 锅龋,啊凯肯丰 柯档,啊凯吝 付瘤阜 巩摧腮 矫埃,啊凯吝 巩凯覆 冉荐,滑矫埃,家犁 list,矫累矫埃,矫累柯档,角力 矫累矫埃,盔贰矫累痢柯档,捞傈 辆丰矫埃,累诀老磊,辆丰矫埃,辆丰柯档,林/具埃,弥辆 啊凯矫累 柯档,乞闭柯档,乞老/林富
0,hold,0.0,0.0,,,,,,,708.6999999992549,1,,,,,[''],2020-03-02 07:35:00,1254.1,,,,,2020-03-02 10:44:00,1254.5,,,1252.9715789473685,
1,hold,1.0,0.0,,,,,,,1841.0,1,,,,,[''],2020-03-04 07:32:00,1258.9,,,,2020-03-04,2020-03-04 20:11:00,1265.0,具埃,,1257.5400657894736,
2,hold,2.0,0.0,,,,,,,94.7000000001863,1,,,,,[''],2020-03-06 02:39:00,1282.1,,,,2020-03-05,2020-03-06 03:41:00,1277.8,具埃,,1273.2714285714285,
3,hold,4.0,0.0,,,,,,,373.5,1,,,,,[''],2020-03-09 08:55:00,1259.2,,,,2020-03-09,2020-03-09 11:27:00,1264.0,具埃,,1252.9588235294118,
4,hold,5.0,0.0,,,,,,,2020.7000000001865,1,,,,,[''],2020-03-10 09:08:00,1253.6,,,,2020-03-10,2020-03-11 02:53:00,1262.5,具埃,,1255.6554409005628,
5,hold,6.0,0.0,,,,,,,702.6000000005588,1,,,,,[''],2020-03-16 10:39:00,1257.9,,,,2020-03-16,2020-03-16 17:53:00,1259.4,具埃,,1255.8763218390804,
6,hold,7.0,0.0,,,,,,,166.80000000074506,1,,,,,[''],2020-03-17 14:37:00,1263.4,,,,2020-03-17,2020-03-17 16:06:00,1284.4,具埃,,1274.9533333333334,
7,hold,8.0,0.0,,,,,,,552.7999999998137,1,,,,,[''],2020-03-19 21:53:00,1265.6,,,,2020-03-19,2020-03-20 03:47:00,1259.5,具埃,,1254.0712676056335,
8,hold,9.0,0.0,,,,,,,963.5,1,,,,,[''],2020-03-20 11:34:00,1245.3,,,,2020-03-20,2020-03-20 20:21:00,1260.6,具埃,,1254.0820075757574,
9,hold,10.0,0.0,,,,,,,700.6000000005588,1,,,,,[''],2020-03-23 06:37:00,1140.6,,,,2020-03-23,2020-03-23 09:50:00,1265.6,具埃,,1236.792268041237,
10,hold,11.0,0.0,,,,,,,218.10000000055882,1,,,,,[''],2020-03-24 07:32:00,1253.5,,,,2020-03-24,2020-03-24 08:30:00,1264.7,具埃,,1246.7881355932204,
11,hold,12.0,0.0,,,,,,,141.5,1,,,,,[''],2020-03-25 09:49:00,1256.3,,,,2020-03-25,2020-03-25 10:31:00,1267.4,具埃,,1249.6302325581396,
12,hold,13.0,0.0,,,,,,,825.5999999996277,1,,,,,[''],2020-03-26 08:03:00,1262.1,,,,2020-03-26,2020-03-26 15:23:00,1263.7,具埃,,1258.7862811791385,
13,hold,15.0,0.0,,,,,,,1615.1000000005588,1,,,,,[''],2020-03-30 05:42:00,1196.2,,,,2020-03-30,2020-03-30 21:05:00,1264.0,具埃,,1236.5505411255413,
14,hold,16.0,0.0,,,,,,,1078.7999999998137,1,,,,,[''],2020-03-31 14:27:00,1263.9,,,,2020-03-31,2020-04-01 01:09:00,1278.0,具埃,,1262.8415241057542,
15,hold,17.0,0.0,,,,,,,577.6000000005588,1,,,,,[''],2020-04-01 17:17:00,1224.2,,,,2020-04-01,2020-04-01 21:46:00,1265.0,具埃,,1241.2466666666667,
16,hold,18.0,0.0,,,,,,,811.5999999996277,1,,,,,[''],2020-04-06 15:51:00,1244.2,,,,2020-04-06,2020-04-06 21:23:00,1246.8,林埃,,1235.6612612612612,
17,hold,19.0,0.0,,,,,,,308.90000000037253,1,,,,,[''],2020-04-15 03:01:00,1281.7,,,,2020-04-14,2020-04-15 06:11:00,1284.2,具埃,,1275.0392670157069,
18,hold,20.0,0.0,,,,,,,123.5,1,,,,,[''],2020-04-15 23:24:00,1280.4,,,,2020-04-15,2020-04-16 00:51:00,1283.8,具埃,,1280.4613636363636,
