,°¡¿­·Î ¹øÈ£,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,in,out,cycle,ÆòÀÏ/ÁÖ¸»,drop_flag,gradient,part_types,temp diff,time diff,°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
0,1,2020-03-02 06:20:00,2020-03-02 06:28:00,43.0,reheat,[''],,,,,0.0,,0.0,,,,,,,,0.0,1128.7,,,,,,,0,0.0,¾È°ãÄ§
1,1,2020-03-02 06:30:00,2020-03-02 07:35:00,362.1000000005588,reheat,[''],,,,,0.0,,0.0,,,,,,,,0.0,1138.1,,,,,,,4,4.0,°ãÄ§
2,1,2020-03-02 10:52:00,2020-03-02 10:59:00,28.29999999981373,reheat,[''],,,,,0.0,,0.0,,,,,,,,0.0,969.1,,,,,,,4,4.0,°ãÄ§
3,1,2020-03-03 04:52:00,2020-03-03 05:01:00,25.0,reheat,[''],,,,,0.0,,0.0,,,,,,,,0.0,1082.9,,,,,,,4,4.0,°ãÄ§
4,1,2020-03-03 06:17:00,2020-03-03 06:24:00,17.900000000372533,reheat,[''],,,,,0.0,,0.0,,,,,,,,0.0,1099.0,,,,,,,4,4.0,°ãÄ§
5,1,2020-03-03 06:35:00,2020-03-03 06:44:00,17.899999999441203,reheat,[''],,,,,0.0,,0.0,,,,,,,,2.0,1149.1,,,,,,,4,4.0,°ãÄ§
6,1,2020-03-03 06:54:00,2020-03-03 07:02:00,16.200000000186265,reheat,[''],,,,,0.0,,0.0,,,,,,,,1.0,1202.3,,,,,,,4,4.0,°ãÄ§
7,1,2020-03-03 07:13:00,2020-03-03 07:16:00,8.899999999441206,reheat,[''],,,,,0.0,,0.0,,,,,,,,1.0,1112.4,,,,,,,4,4.0,°ãÄ§
8,1,2020-03-03 07:19:00,2020-03-03 07:27:00,23.199999999254945,reheat,[''],,,,,0.0,,0.0,,,,,,,,1.0,1026.4,,,,,,,4,4.0,°ãÄ§
9,1,2020-03-03 07:40:00,2020-03-03 07:42:00,7.2000000001862645,reheat,[''],,,,,0.0,,0.0,,,,,,,,0.0,1103.1,,,,,,,4,4.0,°ãÄ§
10,1,2020-03-03 07:44:00,2020-03-03 07:50:00,19.700000000186265,reheat,[''],,,,,0.0,,0.0,,,,,,,,0.0,1003.2,,,,,,,4,4.0,°ãÄ§
11,1,2020-03-03 07:55:00,2020-03-03 08:10:00,26.800000000745055,reheat,[''],,,,,0.0,,0.0,,,,,,,,3.0,1214.5,,,,,,,4,4.0,°ãÄ§
12,1,2020-03-03 08:34:00,2020-03-03 08:38:00,10.800000000745056,reheat,[''],,,,,0.0,,0.0,,,,,,,,1.0,1174.5,,,,,,,4,4.0,°ãÄ§
13,1,2020-03-04 06:45:00,2020-03-04 07:32:00,258.29999999981374,reheat,[''],2020-03-04,¾ß°£,,,1.0,,0.0,,,,,,,,0.0,1131.1,,,,,,,4,4.0,°ãÄ§
14,1,2020-03-04 20:19:00,2020-03-04 20:25:00,12.5,reheat,[''],2020-03-04,¾ß°£,,,1.0,,0.0,,,,,,,,2.0,1146.7,,,,,,,4,4.0,°ãÄ§
15,1,2020-03-05 04:43:00,2020-03-05 04:50:00,16.40000000037253,reheat,[''],2020-03-04,¾ß°£,,,1.0,,0.0,,,,,,,,0.0,1126.1,,,,,,,4,4.0,°ãÄ§
16,1,2020-03-05 05:10:00,2020-03-05 05:17:00,16.399999999441203,reheat,[''],2020-03-04,¾ß°£,,,1.0,,0.0,,,,,,,,1.0,1119.7,,,,,,,4,4.0,°ãÄ§
17,1,2020-03-05 05:36:00,2020-03-05 05:44:00,18.200000000186265,reheat,[''],2020-03-04,¾ß°£,,,1.0,,0.0,,,,,,,,0.0,1115.1,,,,,,,4,4.0,°ãÄ§
18,1,2020-03-06 02:31:00,2020-03-06 02:39:00,21.799999999813732,reheat,[''],2020-03-05,¾ß°£,,,2.0,,0.0,,,,,,,,3.0,1050.7,,,,,,,4,4.0,°ãÄ§
19,1,2020-03-06 03:42:00,2020-03-06 03:47:00,12.700000000186265,reheat,[''],2020-03-05,¾ß°£,,,2.0,,0.0,,,,,,,,1.0,1174.3,,,,,,,4,4.0,°ãÄ§
20,1,2020-03-06 03:56:00,2020-03-06 03:59:00,5.5,reheat,[''],2020-03-05,¾ß°£,,,2.0,,0.0,,,,,,,,1.0,1122.0,,,,,,,4,4.0,°ãÄ§
21,1,2020-03-06 04:08:00,2020-03-06 04:13:00,12.700000000186265,reheat,[''],2020-03-05,¾ß°£,,,2.0,,0.0,,,,,,,,0.0,1131.2,,,,,,,4,4.0,°ãÄ§
22,1,2020-03-06 04:24:00,2020-03-06 04:30:00,14.5,reheat,[''],2020-03-05,¾ß°£,,,2.0,,0.0,,,,,,,,2.0,1160.4,,,,,,,4,4.0,°ãÄ§
23,1,2020-03-06 04:46:00,2020-03-06 04:53:00,16.40000000037253,reheat,[''],2020-03-05,¾ß°£,,,2.0,,0.0,,,,,,,,2.0,1182.3,,,,,,,4,4.0,°ãÄ§
24,1,2020-03-06 06:17:00,2020-03-06 06:24:00,14.599999999627473,reheat,[''],2020-03-05,¾ß°£,,,2.0,,0.0,,,,,,,,1.0,1103.1,,,,,,,4,4.0,°ãÄ§
25,1,2020-03-07 01:53:00,2020-03-07 01:57:00,10.800000000745056,reheat,[''],2020-03-06,¾ß°£,,,3.0,,0.0,,,,,,,,0.0,1156.7,,,,,,,4,4.0,°ãÄ§
26,1,2020-03-07 02:05:00,2020-03-07 02:16:00,23.5,reheat,[''],2020-03-06,¾ß°£,,,3.0,,0.0,,,,,,,,4.0,1087.3,,,,,,,4,4.0,°ãÄ§
27,1,2020-03-09 08:22:00,2020-03-09 08:30:00,33.5,reheat,[''],2020-03-09,¾ß°£,,,4.0,,0.0,,,,,,,,2.0,840.9,,,,,,,4,4.0,°ãÄ§
28,1,2020-03-09 08:47:00,2020-03-09 08:55:00,28.200000000186268,reheat,[''],2020-03-09,¾ß°£,,,4.0,,0.0,,,,,,,,2.0,966.1,,,,,,,4,4.0,°ãÄ§
29,1,2020-03-09 11:30:00,2020-03-09 11:37:00,21.099999999627467,reheat,[''],2020-03-09,¾ß°£,,,4.0,,0.0,,,,,,,,2.0,1139.3,,,,,,,4,4.0,°ãÄ§
30,1,2020-03-09 11:49:00,2020-03-09 12:02:00,45.599999999627464,reheat,[''],2020-03-09,¾ß°£,,,4.0,,0.0,,,,,,,,3.0,1071.6,,,,,,,4,4.0,°ãÄ§
31,1,2020-03-09 18:02:00,2020-03-09 18:08:00,17.5,reheat,[''],2020-03-09,¾ß°£,,,4.0,,0.0,,,,,,,,2.0,1126.4,,,,,,,4,4.0,°ãÄ§
32,1,2020-03-09 22:12:00,2020-03-09 22:18:00,12.300000000745056,reheat,[''],2020-03-09,¾ß°£,,,4.0,,0.0,,,,,,,,1.0,1127.5,,,,,,,4,4.0,°ãÄ§
33,1,2020-03-09 22:28:00,2020-03-09 22:35:00,19.299999999813735,reheat,[''],2020-03-09,¾ß°£,,,4.0,,0.0,,,,,,,,1.0,1041.5,,,,,,,4,4.0,°ãÄ§
34,1,2020-03-10 04:19:00,2020-03-10 04:26:00,14.0,reheat,[''],2020-03-09,¾ß°£,,,4.0,,0.0,,,,,,,,0.0,1082.3,,,,,,,4,4.0,°ãÄ§
35,1,2020-03-10 04:41:00,2020-03-10 04:50:00,17.5,reheat,[''],2020-03-09,¾ß°£,,,4.0,,0.0,,,,,,,,1.0,1119.7,,,,,,,4,4.0,°ãÄ§
36,1,2020-03-10 05:20:00,2020-03-10 05:29:00,17.5,reheat,[''],2020-03-09,¾ß°£,,,4.0,,0.0,,,,,,,,1.0,1123.3,,,,,,,4,4.0,°ãÄ§
37,1,2020-03-10 05:47:00,2020-03-10 05:53:00,14.0,reheat,[''],2020-03-09,¾ß°£,,,4.0,,0.0,,,,,,,,0.0,1114.1,,,,,,,4,4.0,°ãÄ§
38,1,2020-03-10 08:14:00,2020-03-10 08:29:00,69.70000000018626,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,0.0,1119.3,,,,,,,4,4.0,°ãÄ§
39,1,2020-03-10 08:36:00,2020-03-10 09:08:00,153.20000000018626,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,1.0,1158.7,,,,,,,4,4.0,°ãÄ§
40,1,2020-03-11 02:59:00,2020-03-11 03:05:00,12.5,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,0.0,1134.4,,,,,,,4,4.0,°ãÄ§
41,1,2020-03-11 03:16:00,2020-03-11 03:22:00,8.899999999441206,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,3.0,1144.8,,,,,,,4,4.0,°ãÄ§
42,1,2020-03-11 03:33:00,2020-03-11 03:42:00,21.299999999813735,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,2.0,1029.4,,,,,,,4,4.0,°ãÄ§
43,1,2020-03-11 03:51:00,2020-03-11 03:58:00,21.299999999813735,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,0.0,1070.4,,,,,,,4,4.0,°ãÄ§
44,1,2020-03-11 04:26:00,2020-03-11 04:33:00,28.300000000745055,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,0.0,873.7,,,,,,,4,4.0,°ãÄ§
45,1,2020-03-11 04:36:00,2020-03-11 04:44:00,16.0,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,2.0,1233.3,,,,,,,4,4.0,°ãÄ§
46,1,2020-03-11 05:03:00,2020-03-11 05:10:00,26.700000000186268,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,0.0,1087.4,,,,,,,4,4.0,°ãÄ§
47,1,2020-03-11 05:21:00,2020-03-11 05:27:00,16.0,reheat,[''],2020-03-10,¾ß°£,,,5.0,,0.0,,,,,,,,1.0,1203.3,,,,,,,4,4.0,°ãÄ§
48,1,2020-03-16 10:32:00,2020-03-16 10:39:00,21.5,reheat,[''],2020-03-16,¾ß°£,,,6.0,,0.0,,,,,,,,1.0,1115.0,,,,,,,4,4.0,°ãÄ§
49,1,2020-03-16 18:02:00,2020-03-16 18:11:00,19.599999999627467,reheat,[''],2020-03-16,¾ß°£,,,6.0,,0.0,,,,,,,,3.0,1131.1,,,,,,,4,4.0,°ãÄ§
