,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가스사용량(마지막 구간),가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
0,hold,0.0,0.0,,[],[],,,,189.5999999996274,,5,,,,,[''],2019-07-01 11:52:00,1266.1,,,,,2019-07-01 13:00:00,1258.4,,,1252.1159420289853,
1,hold,1.0,0.0,,[],[],,,,587.1999999992547,,5,,,,,[''],2019-07-02 03:35:00,1252.1,,,,2019-07-02,2019-07-02 06:44:00,1269.7,주간,,1268.085789473684,
2,hold,2.0,0.0,,[],[],,,,167.2000000011176,,5,,,,,[''],2019-07-03 10:38:00,1288.0,,,,2019-07-03,2019-07-03 11:13:00,1272.4,주간,,1206.1111111111113,
3,hold,3.0,0.0,,[],[],,,,1779.10000000149,,5,,,,,[''],2019-07-03 20:40:00,1252.2,,,,2019-07-04,2019-07-04 07:52:00,1258.3,주간,,1253.3164933135215,
4,hold,4.0,0.0,,[],[],,,,938.4000000003723,,5,,,,,[''],2019-07-05 05:00:00,1252.5,,,,2019-07-05,2019-07-05 09:08:00,1270.9,주간,,1266.0590361445782,
5,hold,12.0,0.0,,[],[],,,,2085.4000000003725,,5,,,,,[''],2019-08-07 11:58:00,1256.6,,,,2019-08-07,2019-08-07 23:33:00,1320.5,야간,,1257.5974137931034,
6,hold,14.0,0.0,,[],[],,,,943.5999999996277,,5,,,,,[''],2019-08-13 05:17:00,1232.4,,,,2019-08-13,2019-08-13 10:16:00,1250.7,주간,,1238.1513333333335,
7,hold,15.0,0.0,,[],[],,,,134.80000000074506,,5,,,,,[''],2019-08-14 10:06:00,1266.3,,,,2019-08-14,2019-08-14 10:43:00,1251.4,주간,,1230.7421052631578,
8,hold,16.0,0.0,,[],[],,,,365.09999999962747,,5,,,,,[''],2019-08-14 23:59:00,1249.8,,,,2019-08-15,2019-08-15 02:01:00,1250.4,주간,,1250.6585365853662,
9,hold,17.0,0.0,,[],[],,,,389.09999999962747,,5,,,,,[''],2019-08-15 23:41:00,1269.8,,,,2019-08-16,2019-08-16 02:00:00,1271.0,주간,,1270.688571428571,
10,hold,18.0,0.0,,[],[],,,,765.4000000003723,,5,,,,,[''],2019-08-19 14:01:00,1252.3,,,,2019-08-19,2019-08-19 20:20:00,1249.7,야간,,1250.776052631579,
11,hold,19.0,0.0,,[],[],,,,1968.4000000003725,,5,,,,,[''],2019-08-20 09:50:00,1158.8,,,,2019-08-21,2019-08-20 20:24:00,1250.1,야간,,1242.8417322834646,
12,hold,20.0,0.0,,[],[],,,,1541.0999999996275,,5,,,,,[''],2019-08-23 12:51:00,1251.1,,,,2019-08-23,2019-08-23 20:44:00,1271.6,야간,,1252.7345991561185,
13,hold,21.0,0.0,,[],[],,,,387.09999999962747,,5,,,,,[''],2019-08-26 07:48:00,1267.7,,,,2019-08-26,2019-08-26 10:30:00,1251.7,주간,,1250.4963190184046,
