,°¡¿­·Î ¹øÈ£,½ÃÀÛ½Ã°£,Á¾·á½Ã°£,°¡½º»ç¿ë·®,Type,¼ÒÀç list,ÀÛ¾÷ÀÏÀÚ,ÁÖ/¾ß°£,in,out,cycle,ÆòÀÏ/ÁÖ¸»,drop_flag,gradient,part_types,temp diff,time diff,°¡½º»ç¿ë·®(¸¶Áö¸· ±¸°£),°¡¿­¿Ï·á ¿Âµµ,°¡¿­Áß ¸¶Áö¸· ¹®´ÝÈù ½Ã°£,°¡¿­Áß ¹®¿­¸² È½¼ö,»¬½Ã°£,½ÃÀÛ¿Âµµ,½ÇÁ¦ ½ÃÀÛ½Ã°£,¿ø·¡½ÃÀÛÁ¡¿Âµµ,ÀÌÀü Á¾·á½Ã°£,Á¾·á¿Âµµ,ÃÖÁ¾ °¡¿­½ÃÀÛ ¿Âµµ,Æò±Õ¿Âµµ,°ãÄ§¼ö·®,Á÷Àü »çÀÌÅ¬ ¼ÒÀç ¼ö·®,°ãÄ§¿©ºÎ
0,5,2019-07-01 08:34:00,2019-07-01 08:45:00,67.80000000074506,reheat,[''],,,[],[],0.0,,0.0,,,,,,,,,1.0,1055.9,,,,,,,0,0.0,¾È°ãÄ§
1,5,2019-07-01 09:17:00,2019-07-01 09:27:00,0.0,reheat,[''],,,[],[],0.0,,0.0,,,,,,,,,10.0,1108.6,,,,,,,4,4.0,°ãÄ§
2,5,2019-07-01 09:35:00,2019-07-01 09:47:00,0.0,reheat,[''],,,[],[],0.0,,0.0,,,,,,,,,12.0,1076.4,,,,,,,4,4.0,°ãÄ§
3,5,2019-07-01 09:55:00,2019-07-01 10:06:00,0.0,reheat,[''],,,[],[],0.0,,0.0,,,,,,,,,11.0,1093.6,,,,,,,4,4.0,°ãÄ§
4,5,2019-07-01 10:11:00,2019-07-01 10:22:00,0.0,reheat,[''],,,[],[],0.0,,0.0,,,,,,,,,11.0,1041.2,,,,,,,4,4.0,°ãÄ§
5,5,2019-07-01 11:35:00,2019-07-01 11:52:00,0.0,reheat,[''],,,[],[],0.0,,0.0,,,,,,,,,16.0,848.1,,,,,,,4,4.0,°ãÄ§
6,5,2019-07-01 13:02:00,2019-07-01 13:21:00,100.09999999962747,reheat,[''],,,[],[],0.0,,0.0,,,,,,,,,1.0,1030.5,,,,,,,4,4.0,°ãÄ§
7,5,2019-07-01 13:31:00,2019-07-01 13:47:00,99.59999999962747,reheat,[''],,,[],[],0.0,,0.0,,,,,,,,,2.0,936.4,,,,,,,4,4.0,°ãÄ§
8,5,2019-07-01 13:56:00,2019-07-01 14:06:00,54.0,reheat,[''],,,[],[],0.0,,0.0,,,,,,,,,1.0,1126.9,,,,,,,4,4.0,°ãÄ§
9,5,2019-07-02 02:56:00,2019-07-02 03:01:00,16.59999999962747,reheat,[''],2019-07-02,ÁÖ°£,[],[],1.0,,0.0,,,,,,,,,1.0,902.7,,,,,,,4,4.0,°ãÄ§
