,에너지,가열시작시간,가열종료시간,시간(총),시간(0제외),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,212.3,2020-03-02 14:24:00,2020-03-02 14:55:00,1860.0,1800.0,663.8,1251.6,3,140500.0,67500,CARBON,0,1,0,0,0.0,0,3,140500.0,67500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,140500.0,67500,900.0,0,누락없음,17,2020-03-02,야간,월,안겹침,이상없음,1,0,C,주말,0
1,1289.9,2020-03-03 04:44:00,2020-03-03 06:53:00,7740.0,7620.0,384.8,1255.3,7,103950.0,14850,ALLOY,1,0,0,7,103950.0,14850,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,103950.0,14850,22140.0,0,누락없음,2,2020-03-03,야간,화,안겹침,이상없음,4,0,A,평일,0
2,105.8,2020-03-03 05:56:00,2020-03-03 06:10:00,840.0,780.0,903.5,1244.2,2,73000.0,36500,CARBON,0,1,0,0,0.0,0,2,73000.0,36500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,73000.0,36500,300.0,0,누락없음,17,2020-03-03,주간,화,겹침,이상없음,3,2,C,평일,0
3,1022.8,2020-03-03 15:35:00,2020-03-03 17:13:00,5880.0,5820.0,738.6,1254.9,9,113820.0,14850,ALLOY,1,0,0,6,89100.0,14850,3,24720.0,8240,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,113820.0,14850,1680.0,0,누락없음,4,2020-03-04,주간,화,안겹침,이상없음,8,0,AC,평일,0
4,1037.7,2020-03-03 18:55:00,2020-03-03 20:56:00,7260.0,7080.0,520.2,1255.3,6,82640.0,15700,CARBON,0,1,0,0,0.0,0,6,82640.0,15700,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,82640.0,15700,2100.0,0,누락없음,17,2020-03-04,주간,화,안겹침,이상없음,2,0,C,평일,0
5,490.1,2020-03-04 05:28:00,2020-03-04 06:20:00,3120.0,3060.0,851.6,1252.3,7,94360.0,13480,ALLOY,1,0,0,7,94360.0,13480,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,94360.0,13480,1080.0,0,누락없음,3,2020-03-04,야간,수,안겹침,이상없음,3,0,A,평일,0
6,75.7,2020-03-04 14:16:00,2020-03-04 14:37:00,1260.0,1200.0,1084.2,1271.8,5,83500.0,20350,CARBON,0,1,0,0,0.0,0,5,83500.0,20350,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,83500.0,20350,360.0,0,누락없음,4,2020-03-05,주간,수,안겹침,이상없음,9,0,C,평일,0
7,540.4,2020-03-05 18:12:00,2020-03-05 19:08:00,3360.0,3300.0,560.8,1259.9,4,113680.0,36200,ALLOY,1,0,0,1,30480.0,30480,3,83200.0,36200,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,113680.0,36200,900.0,0,누락없음,17,2020-03-06,주간,목,겹침,이상없음,5,1,AC,평일,0
8,792.3,2020-03-06 02:10:00,2020-03-06 03:22:00,4320.0,4200.0,621.9,1250.5,6,76240.0,12810,CARBON,0,1,0,0,0.0,0,4,51240.0,12810,2,25000.0,12500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,76240.0,12810,840.0,0,누락없음,6,2020-03-06,야간,금,안겹침,이상없음,6,0,CS,평일,0
9,548.5,2020-03-05 16:31:00,2020-03-05 17:19:00,2880.0,2040.0,1182.8,1253.4,8,84240.0,10530,ALLOY,1,0,0,8,84240.0,10530,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,84240.0,10530,9060.0,0,누락없음,4,2020-03-06,주간,목,안겹침,이상없음,5,0,A,평일,0
10,684.9,2020-03-06 04:01:00,2020-03-06 05:06:00,3900.0,3780.0,653.4,1261.7,8,88800.0,11100,ALLOY,1,0,0,8,88800.0,11100,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,88800.0,11100,2100.0,0,누락없음,2,2020-03-06,야간,금,안겹침,이상없음,8,0,A,평일,0
11,185.1,2020-03-07 08:21:00,2020-03-07 09:49:00,5280.0,2700.0,617.7,758.9,1,67500.0,67500,CARBON,0,1,0,0,0.0,0,1,67500.0,67500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,67500.0,67500,211680.0,0,누락없음,13,2020-03-09,주간,토,안겹침,이상없음,7,0,C,주말,0
12,1443.3,2020-03-09 07:57:00,2020-03-09 10:25:00,8880.0,-2220.0,654.9,1257.2,6,57324.0,9554,ALLOY,1,0,0,6,57324.0,9554,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,57324.0,9554,6180.0,0,누락없음,4,2020-03-09,야간,월,겹침,이상없음,6,6,A,주말,0
13,106.1,2020-03-07 10:34:00,2020-03-07 11:25:00,3060.0,1800.0,608.4,648.0,3,193323.0,173703,CARBON,0,1,0,0,0.0,0,3,193323.0,173703,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,193323.0,173703,18000.0,0,누락없음,17,2020-03-10,주간,토,안겹침,이상없음,4,0,C,주말,0
