,에너지,시간(총),시간(0제외),시작온도,종료온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생,강종,강종_ALLOY,강종_CARBON,강종_SUS
0,212.3,1860.0,1800.0,663.8,1251.6,0,0.0,0,3,140500.0,67500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,140500.0,67500,0,0.0,0,0,0.0,0,3,140500.0,67500,900.0,0,누락없음,17,2020-03-02,야간,2020-03-02 14:24:00,월,안겹침,이상없음,1,0,C,주말,0,CARBON,0,1,0
1,105.8,840.0,780.0,903.5,1244.2,0,0.0,0,2,73000.0,36500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,73000.0,36500,0,0.0,0,0,0.0,0,2,73000.0,36500,300.0,0,누락없음,17,2020-03-03,주간,2020-03-03 05:56:00,화,겹침,이상없음,3,2,C,평일,0,CARBON,0,1,0
2,1037.7,7260.0,7080.0,520.2,1255.3,0,0.0,0,6,82640.0,15700,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,82640.0,15700,0,0.0,0,0,0.0,0,6,82640.0,15700,2100.0,0,누락없음,17,2020-03-04,주간,2020-03-03 18:55:00,화,안겹침,이상없음,2,0,C,평일,0,CARBON,0,1,0
3,2815.1,13500.0,13320.0,271.0,1249.4,0,0.0,0,7,116355.0,32200,1,11395.0,11395,0,0.0,0,0,0.0,0,0,0.0,0,8,127750.0,32200,0,0.0,0,0,0.0,0,8,127750.0,32200,16140.0,0,누락없음,18,2020-03-05,주간,2020-03-04 19:50:00,수,안겹침,이상없음,6,0,CS,평일,0,CARBON,0,1,0
4,540.4,3360.0,3300.0,560.8,1259.9,1,30480.0,30480,3,83200.0,36200,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,113680.0,36200,0,0.0,0,0,0.0,0,4,113680.0,36200,900.0,0,누락없음,17,2020-03-06,주간,2020-03-05 18:12:00,목,겹침,이상없음,5,1,AC,평일,0,ALLOY,1,0,0
5,2816.6,14520.0,14340.0,30.9,1249.6,0,0.0,0,1,32200.0,32200,2,18400.0,9200,0,0.0,0,0,0.0,0,0,0.0,0,3,50600.0,32200,0,0.0,0,0,0.0,0,3,50600.0,32200,217560.0,0,누락없음,18,2020-03-09,야간,2020-03-09 11:07:00,월,안겹침,이상없음,3,0,CS,주말,0,SUS,0,0,1
6,1798.6,14520.0,13260.0,650.6,1254.6,0,0.0,0,3,193323.0,173703,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,193323.0,173703,0,0.0,0,0,0.0,0,3,193323.0,173703,54420.0,0,누락없음,17,2020-03-10,주간,2020-03-07 20:41:00,토,겹침,이상없음,3,3,C,주말,0,CARBON,0,1,0
7,106.1,3060.0,1800.0,608.4,648.0,0,0.0,0,3,193323.0,173703,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,193323.0,173703,0,0.0,0,0,0.0,0,3,193323.0,173703,18000.0,0,누락없음,17,2020-03-10,주간,2020-03-07 10:34:00,토,안겹침,이상없음,4,0,C,주말,0,CARBON,0,1,0
8,480.6,2520.0,2340.0,628.0,1247.8,0,0.0,0,3,144500.0,67500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,144500.0,67500,0,0.0,0,0,0.0,0,3,144500.0,67500,18600.0,0,누락없음,19,2020-03-11,야간,2020-03-11 08:47:00,수,안겹침,이상없음,1,0,C,평일,0,CARBON,0,1,0
9,199.0,1440.0,1320.0,862.1,1256.6,0,0.0,0,3,125200.0,43600,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,125200.0,43600,0,0.0,0,0,0.0,0,3,125200.0,43600,480.0,0,누락없음,19,2020-03-13,주간,2020-03-12 18:41:00,목,겹침,이상없음,3,1,C,평일,0,CARBON,0,1,0
10,188.7,1140.0,1080.0,652.8,1247.2,0,0.0,0,3,93700.0,39500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,93700.0,39500,0,0.0,0,0,0.0,0,3,93700.0,39500,960.0,0,누락없음,18,2020-03-19,야간,2020-03-19 18:33:00,목,겹침,이상없음,5,3,C,평일,0,CARBON,0,1,0
11,404.1,2100.0,2040.0,614.2,1266.3,0,0.0,0,3,77500.0,25950,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,77500.0,25950,0,0.0,0,0,0.0,0,3,77500.0,25950,900.0,0,누락없음,20,2020-03-19,야간,2020-03-19 06:09:00,목,안겹침,이상없음,4,0,C,평일,0,CARBON,0,1,0
12,294.2,1680.0,1620.0,903.6,1266.5,0,0.0,0,5,150500.0,36500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,150500.0,36500,0,0.0,0,0,0.0,0,5,150500.0,36500,1140.0,0,누락없음,19,2020-03-20,주간,2020-03-19 16:54:00,목,안겹침,이상없음,3,0,C,평일,0,CARBON,0,1,0
13,675.4,3120.0,3000.0,719.7,1249.9,0,0.0,0,5,116220.0,60500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,142070.0,60500,0,0.0,0,0,0.0,0,6,142070.0,60500,1740.0,0,강종누락,18,2020-03-24,주간,2020-03-23 18:50:00,월,안겹침,이상없음,3,0,C,주말,0,CARBON,0,1,0
14,236.3,1620.0,1500.0,761.1,1234.2,0,0.0,0,3,144000.0,60500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,144000.0,60500,0,0.0,0,0,0.0,0,3,144000.0,60500,1680.0,0,누락없음,19,2020-03-24,야간,2020-03-24 09:33:00,화,겹침,이상없음,3,1,C,평일,0,CARBON,0,1,0
15,208.6,1200.0,1200.0,676.0,1239.7,0,0.0,0,2,104500.0,60500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,104500.0,60500,0,0.0,0,0,0.0,0,2,104500.0,60500,660.0,0,누락없음,20,2020-03-25,주간,2020-03-25 07:00:00,수,안겹침,이상없음,1,0,C,평일,0,CARBON,0,1,0
16,1847.0,9360.0,9240.0,561.8,1255.8,0,0.0,0,3,98200.0,34200,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,98200.0,34200,0,0.0,0,0,0.0,0,3,98200.0,34200,1260.0,0,누락없음,17,2020-03-25,주간,2020-03-24 10:11:00,화,안겹침,이상없음,1,0,C,평일,0,CARBON,0,1,0
17,98.1,840.0,780.0,962.9,1252.8,0,0.0,0,4,174200.0,55100,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,174200.0,55100,0,0.0,0,0,0.0,0,4,174200.0,55100,360.0,0,누락없음,18,2020-03-25,야간,2020-03-25 13:21:00,수,안겹침,이상없음,6,0,C,평일,0,CARBON,0,1,0
18,100.0,840.0,720.0,868.1,1257.7,1,38100.0,38100,1,44000.0,44000,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,82100.0,44000,0,0.0,0,0,0.0,0,2,82100.0,44000,360.0,0,누락없음,17,2020-03-26,주간,2020-03-25 15:09:00,수,안겹침,이상없음,3,0,AC,평일,0,ALLOY,1,0,0
19,117.4,900.0,840.0,863.4,1238.4,0,0.0,0,4,92490.0,27500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,92490.0,27500,0,0.0,0,0,0.0,0,4,92490.0,27500,360.0,0,누락없음,20,2020-03-31,주간,2020-03-30 16:42:00,월,겹침,이상없음,4,1,C,주말,0,CARBON,0,1,0
20,2222.2,9840.0,9540.0,496.5,1251.1,4,52800.0,13200,4,98730.0,33000,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,151530.0,33000,0,0.0,0,0,0.0,0,8,151530.0,33000,1320.0,0,누락없음,20,2020-04-01,주간,2020-03-31 18:37:00,화,겹침,이상없음,4,1,AC,평일,0,CARBON,0,1,0
21,104.2,840.0,780.0,1046.0,1253.1,0,0.0,0,3,73000.0,38000,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,73000.0,38000,0,0.0,0,0,0.0,0,3,73000.0,38000,120.0,0,누락없음,19,2020-04-07,주간,2020-04-06 23:11:00,월,겹침,이상없음,4,1,C,주말,0,CARBON,0,1,0
22,893.2,4140.0,3960.0,699.8,1250.3,2,26400.0,13200,6,84975.0,22850,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,111375.0,22850,0,0.0,0,0,0.0,0,8,111375.0,22850,1620.0,0,누락없음,19,2020-04-08,주간,2020-04-07 18:37:00,화,안겹침,이상없음,3,0,AC,평일,0,ALLOY,1,0,0
23,141.1,1020.0,960.0,665.1,1260.0,0,0.0,0,3,111040.0,57100,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,111040.0,57100,0,0.0,0,0,0.0,0,3,111040.0,57100,540.0,0,누락없음,17,2020-04-09,야간,2020-04-09 18:15:00,목,겹침,이상없음,6,2,C,평일,0,CARBON,0,1,0
24,421.6,1860.0,1800.0,917.8,1249.1,0,0.0,0,3,178579.0,110879,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,178579.0,110879,0,0.0,0,0,0.0,0,3,178579.0,110879,840.0,0,누락없음,20,2020-04-10,주간,2020-04-09 18:22:00,목,안겹침,이상없음,3,0,C,평일,0,CARBON,0,1,0
