,에너지,시간(총),시간(0제외),시작온도,종료온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,176.6,6180.0,-4920.0,653.1,654.9,6,57324.0,9554,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,57324.0,9554,0,0.0,0,0,0.0,0,6,57324.0,9554,222120.0,0,누락없음,4,2020-03-09,야간,2020-03-09 06:14:00,월,겹침,이상없음,4.0,4.0,A,평일,0
1,648.2,9720.0,7140.0,1007.6,1015.1,0,0.0,0,1,67500.0,67500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,67500.0,67500,0,0.0,0,0,0.0,0,1,67500.0,67500,307020.0,0,누락없음,13,2020-03-09,주간,2020-03-08 10:50:00,일,,이상없음,,,C,주말,0
2,2056.0,70920.0,68340.0,758.9,762.1,0,0.0,0,1,67500.0,67500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,67500.0,67500,0,0.0,0,0,0.0,0,1,67500.0,67500,216960.0,0,누락없음,13,2020-03-09,주간,2020-03-07 09:49:00,토,,이상없음,,,C,주말,0
3,1121.2,33360.0,32100.0,648.0,650.6,0,0.0,0,3,193323.0,173703,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,193323.0,173703,0,0.0,0,0,0.0,0,3,193323.0,173703,21060.0,0,누락없음,17,2020-03-10,주간,2020-03-07 11:25:00,토,,이상없음,,,C,주말,0
4,794.7,11160.0,10440.0,798.7,801.3,0,0.0,0,2,51900.0,25950,3,27390.0,9130,0,0.0,0,0,0.0,0,0,0.0,0,5,79290.0,25950,0,0.0,0,0,0.0,0,5,79290.0,25950,137640.0,0,누락없음,6,2020-03-30,주간,2020-03-29 16:30:00,일,겹침,이상없음,6.0,6.0,CS,주말,0
5,63.3,5940.0,-2760.0,659.9,659.9,0,0.0,0,9,50580.0,5620,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,50580.0,5620,0,0.0,0,0,0.0,0,9,50580.0,5620,7920.0,0,누락없음,1,2020-04-27,주간,2020-04-26 08:08:00,일,겹침,이상없음,4.0,4.0,C,주말,0
6,680.3,20760.0,-49560.0,601.5,594.0,0,0.0,0,4,60150.0,15550,4,45890.0,15150,0,0.0,0,0,0.0,0,0,0.0,0,8,106040.0,15550,0,0.0,0,2,20600.0,10300,6,85440.0,15550,116880.0,0,누락없음,18,2020-05-25,주간,2020-05-24 05:42:00,일,겹침,이상없음,5.0,5.0,CS,주말,0
7,759.8,11760.0,-25740.0,644.5,644.4,1,50000.0,50000,2,16200.0,8100,2,26900.0,15200,0,0.0,0,0,0.0,0,0,0.0,0,5,93100.0,50000,0,0.0,0,1,50000.0,50000,4,43100.0,15200,142260.0,0,누락없음,19,2020-06-01,야간,2020-05-31 09:30:00,일,겹침,이상없음,10.0,10.0,ACS,주말,0
8,721.7,13860.0,13200.0,649.0,662.9,0,0.0,0,2,70900.0,37800,3,78820.0,43500,0,0.0,0,0,0.0,0,0,0.0,0,5,149720.0,43500,0,0.0,0,0,0.0,0,5,149720.0,43500,111600.0,0,누락없음,20,2020-06-01,주간,2020-05-31 06:06:00,일,겹침,이상없음,5.0,5.0,CS,주말,0
9,659.9,20820.0,15300.0,650.3,647.0,0,0.0,0,0,0.0,0,3,69970.0,26000,0,0.0,0,0,0.0,0,0,0.0,0,4,84270.0,26000,0,0.0,0,3,66300.0,26000,1,17970.0,17970,122820.0,0,강종누락,18,2020-06-15,주간,2020-06-14 04:04:00,일,,이상없음,,,S,주말,0
10,903.5,20880.0,19320.0,662.1,671.3,5,110580.0,56280,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,8,173780.0,56280,0,0.0,0,8,173780.0,56280,0,0.0,0,125040.0,0,강종누락,17,2020-06-22,주간,2020-06-20 23:41:00,토,겹침,이상없음,2.0,2.0,A,주말,0
11,216.6,9060.0,3480.0,711.6,707.0,1,8520.0,8520,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,28320.0,8520,0,0.0,0,4,28320.0,8520,0,0.0,0,126900.0,0,강종누락,1,2020-06-29,주간,2020-06-28 05:14:00,일,겹침,이상없음,9.0,9.0,A,주말,0
12,551.8,13560.0,11820.0,648.5,647.5,1,56280.0,56280,1,58500.0,58500,2,31490.0,15990,0,0.0,0,0,0.0,0,0,0.0,0,4,146270.0,58500,0,0.0,0,3,87770.0,56280,1,58500.0,58500,158100.0,0,누락없음,18,2020-07-13,주간,2020-07-12 04:16:00,일,,이상없음,,,ACS,주말,0
