,에너지,시간(총),시간(0제외),시작온도,종료온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,178.7,2280.0,2160.0,936.0,1278.9,0,0.0,0,3,34290.0,11430,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,34290.0,11430,0,0.0,0,0,0.0,0,3,34290.0,11430,5160.0,0,누락없음,1,2019-08-03,야간,2019-08-03 23:12:00,토,안겹침,이상없음,0.0,0.0,C,평일,0
1,792.5,9840.0,9720.0,502.6,1258.1,2,27048.0,13524,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,27048.0,13524,0,0.0,0,2,27048.0,13524,0,0.0,0,61260.0,0,누락없음,1,2019-08-07,주간,2019-08-06 15:45:00,화,안겹침,이상없음,3.0,0.0,A,평일,0
2,159.9,2040.0,1980.0,834.9,1260.8,2,27048.0,13524,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,41648.0,14600,0,0.0,0,3,41648.0,14600,0,0.0,0,480.0,0,강종누락,1,2019-08-08,주간,2019-08-07 19:01:00,수,안겹침,이상없음,2.0,0.0,A,평일,0
3,191.0,2460.0,2280.0,794.1,1261.5,0,0.0,0,3,19410.0,6470,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,19410.0,6470,0,0.0,0,0,0.0,0,3,19410.0,6470,540.0,0,누락없음,1,2019-08-15,주간,2019-08-14 18:54:00,수,안겹침,이상없음,8.0,0.0,C,평일,0
4,329.8,4200.0,3960.0,637.3,1242.8,0,0.0,0,4,49240.0,12310,1,6180.0,6180,0,0.0,0,0,0.0,0,0,0.0,0,5,55420.0,12310,0,0.0,0,1,6180.0,6180,4,49240.0,12310,23880.0,0,누락없음,1,2019-08-16,주간,2019-08-16 18:00:00,금,안겹침,이상없음,3.0,0.0,CS,평일,0
5,188.4,8580.0,-9900.0,573.7,659.3,0,0.0,0,0,0.0,0,4,31060.0,8330,0,0.0,0,0,0.0,0,0,0.0,0,4,31060.0,8330,0,0.0,0,4,31060.0,8330,0,0.0,0,55320.0,0,누락없음,1,2019-08-19,주간,2019-08-17 23:04:00,토,,이상없음,,,S,주말,0
6,1386.9,26460.0,7980.0,663.1,1229.0,0,0.0,0,0,0.0,0,4,31060.0,8330,0,0.0,0,0,0.0,0,0,0.0,0,4,31060.0,8330,0,0.0,0,4,31060.0,8330,0,0.0,0,99240.0,0,누락없음,1,2019-08-19,주간,2019-08-18 11:16:00,일,,이상없음,,,S,주말,0
7,86.1,1200.0,1140.0,810.7,1273.1,0,0.0,0,4,31590.0,8450,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,31590.0,8450,0,0.0,0,0,0.0,0,4,31590.0,8450,540.0,0,누락없음,1,2019-08-19,야간,2019-08-19 23:21:00,월,안겹침,이상없음,5.0,0.0,C,평일,0
8,361.4,4440.0,4260.0,784.9,1266.5,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,10000.0,5000,0,0.0,0,2,10000.0,5000,0,0.0,0,780.0,0,강종누락,1,2019-08-20,주간,2019-08-20 07:07:00,화,안겹침,이상없음,4.0,0.0,,평일,0
9,697.7,19560.0,19440.0,1163.2,1263.5,0,0.0,0,2,16140.0,8650,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,16140.0,8650,0,0.0,0,0,0.0,0,2,16140.0,8650,480.0,0,누락없음,1,2019-08-21,주간,2019-08-20 14:04:00,화,안겹침,이상없음,2.0,0.0,C,평일,0
10,21.4,300.0,240.0,958.0,1095.0,0,0.0,0,0,0.0,0,2,18860.0,9430,0,0.0,0,0,0.0,0,0,0.0,0,2,18860.0,9430,0,0.0,0,0,0.0,0,2,18860.0,9430,540.0,0,누락없음,1,2019-08-23,주간,2019-08-22 18:16:00,목,안겹침,이상없음,3.0,0.0,S,평일,0
11,36.5,1020.0,960.0,1160.7,1203.2,0,0.0,0,0,0.0,0,1,23100.0,23100,0,0.0,0,0,0.0,0,0,0.0,0,1,23100.0,23100,0,0.0,0,0,0.0,0,1,23100.0,23100,540.0,0,누락없음,1,2019-08-26,야간,2019-08-26 10:37:00,월,안겹침,이상없음,2.0,0.0,S,평일,0
12,471.9,5820.0,5760.0,807.0,1256.6,0,0.0,0,5,29100.0,5820,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,29100.0,5820,0,0.0,0,0,0.0,0,5,29100.0,5820,1680.0,0,누락없음,1,2019-08-29,야간,2019-08-29 07:00:00,목,안겹침,이상없음,7.0,0.0,C,평일,0
13,661.1,8100.0,8040.0,705.2,1238.9,0,0.0,0,3,18000.0,6000,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,32450.0,8000,0,0.0,0,2,14450.0,8000,3,18000.0,6000,1020.0,0,강종누락,1,2019-08-30,야간,2019-08-30 06:39:00,금,안겹침,이상없음,5.0,0.0,C,평일,0
14,1829.7,33420.0,26160.0,661.8,1262.5,0,0.0,0,6,41940.0,6990,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,51540.0,9600,0,0.0,0,1,9600.0,9600,6,41940.0,6990,323580.0,0,강종누락,1,2019-09-04,야간,2019-09-03 23:31:00,화,,이상없음,,,C,평일,0
15,914.8,17760.0,10500.0,99.2,657.3,0,0.0,0,6,41940.0,6990,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,51540.0,9600,0,0.0,0,1,9600.0,9600,6,41940.0,6990,270120.0,0,강종누락,1,2019-09-04,야간,2019-09-03 08:40:00,화,,이상없음,,,C,평일,0
