,가열로번호,에너지,시작시간,종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,cycle,평균온도,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,1,216.6,2020-06-28 05:14:00,2020-06-28 07:45:00,9060.0,711.6,707.0,4,28320.0,8520,ALLOY,1,0,0,56.0,,4,28320.0,8520,0,0.0,0,이상없음,0
1,3,440.6,2020-06-07 06:30:00,2020-06-07 09:15:00,9900.0,691.7,694.3,5,64320.0,15760,ALLOY,1,0,0,65.0,,2,17040.0,8520,3,47280.0,15760,이상없음,0
2,17,903.5,2020-06-20 23:41:00,2020-06-21 05:29:00,20880.0,662.1,671.3,8,173780.0,56280,ALLOY,1,0,0,81.0,,8,173780.0,56280,0,0.0,0,이상없음,0
3,18,680.3,2020-05-24 05:42:00,2020-05-24 11:28:00,20760.0,601.5,594.0,8,106040.0,15550,CARBON,0,1,0,50.0,,2,20600.0,10300,6,85440.0,15550,이상없음,0
4,18,659.9,2020-06-14 04:04:00,2020-06-14 09:51:00,20820.0,650.3,647.0,4,84270.0,26000,SUS,0,0,1,69.0,,3,66300.0,26000,1,17970.0,17970,이상없음,0
5,18,551.8,2020-07-12 04:16:00,2020-07-12 08:02:00,13560.0,648.5,647.5,4,146270.0,58500,CARBON,0,1,0,91.0,,3,87770.0,56280,1,58500.0,58500,이상없음,0
6,19,632.1,2020-05-17 10:30:00,2020-05-17 12:40:00,7800.0,812.7,795.7,7,91880.0,17000,SUS,0,0,1,56.0,,5,71600.0,17000,2,20280.0,10140,이상없음,0
7,19,759.8,2020-05-31 09:30:00,2020-05-31 12:46:00,11760.0,644.5,644.4,5,93100.0,50000,CARBON,0,1,0,63.0,,1,50000.0,50000,4,43100.0,15200,이상없음,0
8,19,1149.1,2020-06-24 03:10:00,2020-06-24 06:02:00,10320.0,945.9,949.4,4,146150.0,42100,CARBON,0,1,0,81.0,,3,104050.0,37600,1,42100.0,42100,이상없음,0
9,1,40.700000000186265,2020-03-09 08:30:00,2020-03-09 08:43:00,780.0,1245.0,1264.2,7,57050.0,8250,CARBON,0,1,0,4.0,1250.5857142857142,2,15800.0,7900,5,41250.0,8250,이상없음,0
10,1,373.5,2020-03-09 08:55:00,2020-03-09 11:27:00,9120.0,1259.2,1264.0,7,57050.0,8250,CARBON,0,1,0,4.0,1252.9588235294118,2,15800.0,7900,5,41250.0,8250,이상없음,0
