,가열로번호,에너지,시작시간,종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,cycle,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,1,1841.0,2020-03-04 07:32:00,2020-03-04 20:11:00,45540.0,1258.9,1265.0,4,32960.0,8240,CARBON,0,1,0,1.0,0,0.0,0,4,32960.0,8240,이상없음,0
1,1,874.7000000001863,2020-03-04 20:25:00,2020-03-05 04:35:00,29400.0,1264.7,1284.8,4,32960.0,8240,CARBON,0,1,0,1.0,0,0.0,0,4,32960.0,8240,이상없음,0
2,1,116.8999999994412,2020-03-06 04:53:00,2020-03-06 06:15:00,4920.0,1283.0,1281.1,7,56330.0,8240,CARBON,0,1,0,2.0,0,0.0,0,7,56330.0,8240,이상없음,0
3,1,373.5,2020-03-09 08:55:00,2020-03-09 11:27:00,9120.0,1259.2,1264.0,7,57050.0,8250,CARBON,0,1,0,4.0,2,15800.0,7900,5,41250.0,8250,이상없음,0
4,1,627.3000000007453,2020-03-09 12:02:00,2020-03-09 17:53:00,21060.0,1247.1,1262.4,7,57050.0,8250,CARBON,0,1,0,4.0,2,15800.0,7900,5,41250.0,8250,이상없음,0
5,1,370.8999999994412,2020-03-09 18:08:00,2020-03-09 22:05:00,14220.0,1248.8,1261.7,7,57050.0,8250,CARBON,0,1,0,4.0,2,15800.0,7900,5,41250.0,8250,이상없음,0
6,1,505.9000000003725,2020-03-09 22:35:00,2020-03-10 04:11:00,20160.0,1264.1,1265.4,7,57050.0,8250,CARBON,0,1,0,4.0,2,15800.0,7900,5,41250.0,8250,이상없음,0
7,1,2020.7000000001865,2020-03-10 09:08:00,2020-03-11 02:53:00,63900.0,1253.6,1262.5,6,39795.0,8611,CARBON,0,1,0,5.0,1,7820.0,7820,5,31975.0,8611,이상없음,0
8,1,702.6000000005588,2020-03-16 10:39:00,2020-03-16 17:53:00,26040.0,1257.9,1259.4,9,50130.0,5570,CARBON,0,1,0,6.0,0,0.0,0,9,50130.0,5570,이상없음,0
9,1,656.7000000001863,2020-03-16 18:11:00,2020-03-17 01:45:00,27240.0,1262.0,1283.0,9,50130.0,5570,CARBON,0,1,0,6.0,0,0.0,0,9,50130.0,5570,이상없음,0
10,1,290.0,2020-03-17 03:32:00,2020-03-17 06:13:00,9660.0,1270.6,1283.8,9,50130.0,5570,CARBON,0,1,0,6.0,0,0.0,0,9,50130.0,5570,이상없음,0
11,1,166.80000000074506,2020-03-17 14:37:00,2020-03-17 16:06:00,5340.0,1263.4,1284.4,3,23630.0,13930,CARBON,0,1,0,7.0,0,0.0,0,3,23630.0,13930,이상없음,0
12,1,253.0,2020-03-17 16:39:00,2020-03-17 19:30:00,10260.0,1267.7,1284.2,3,23630.0,13930,CARBON,0,1,0,7.0,0,0.0,0,3,23630.0,13930,이상없음,0
13,1,422.2000000001863,2020-03-17 20:48:00,2020-03-18 01:46:00,17880.0,1281.7,1279.5,3,23630.0,13930,CARBON,0,1,0,7.0,0,0.0,0,3,23630.0,13930,이상없음,0
14,1,552.7999999998137,2020-03-19 21:53:00,2020-03-20 03:47:00,21240.0,1265.6,1259.5,8,59690.0,9760,SUS,0,0,1,8.0,4,35450.0,9760,4,24240.0,6090,이상없음,0
15,1,102.19999999925491,2020-03-20 05:31:00,2020-03-20 06:27:00,3360.0,1282.7,1285.3,8,59690.0,9760,SUS,0,0,1,8.0,4,35450.0,9760,4,24240.0,6090,이상없음,0
16,1,963.5,2020-03-20 11:34:00,2020-03-20 20:21:00,31620.0,1245.3,1260.6,3,29060.0,10530,ALLOY,1,0,0,9.0,1,8000.0,8000,2,21060.0,10530,이상없음,0
17,1,303.0,2020-03-20 20:38:00,2020-03-20 23:49:00,11460.0,1246.5,1287.5,3,29060.0,10530,ALLOY,1,0,0,9.0,1,8000.0,8000,2,21060.0,10530,이상없음,0
18,1,833.1999999992549,2020-03-23 12:09:00,2020-03-23 15:26:00,11820.0,1259.7,1286.2,4,43730.0,13930,CARBON,0,1,0,10.0,1,9200.0,9200,3,34530.0,13930,이상없음,0
19,1,276.59999999962747,2020-03-23 15:42:00,2020-03-23 18:06:00,8640.0,1286.5,1286.1,4,43730.0,13930,CARBON,0,1,0,10.0,1,9200.0,9200,3,34530.0,13930,이상없음,0
20,1,148.20000000018626,2020-03-23 18:56:00,2020-03-23 20:20:00,5040.0,1285.9,1285.3,4,43730.0,13930,CARBON,0,1,0,10.0,1,9200.0,9200,3,34530.0,13930,이상없음,0
21,1,218.10000000055882,2020-03-24 07:32:00,2020-03-24 08:30:00,3480.0,1253.5,1264.7,8,62880.0,8030,ALLOY,1,0,0,11.0,2,15120.0,7560,6,47760.0,8030,이상없음,0
22,1,959.2999999998137,2020-03-24 10:57:00,2020-03-24 20:10:00,33180.0,1247.8,1284.8,8,62880.0,8030,ALLOY,1,0,0,11.0,2,15120.0,7560,6,47760.0,8030,이상없음,0
23,1,466.4000000003725,2020-03-24 21:11:00,2020-03-25 01:20:00,14940.0,1271.7,1286.5,8,62880.0,8030,ALLOY,1,0,0,11.0,2,15120.0,7560,6,47760.0,8030,이상없음,0
24,1,128.69999999925494,2020-03-25 02:54:00,2020-03-25 04:06:00,4320.0,1287.2,1286.5,8,62880.0,8030,ALLOY,1,0,0,11.0,2,15120.0,7560,6,47760.0,8030,이상없음,0
25,1,141.5,2020-03-25 09:49:00,2020-03-25 10:31:00,2520.0,1256.3,1267.4,4,31150.0,9310,CARBON,0,1,0,12.0,0,0.0,0,4,31150.0,9310,이상없음,0
26,1,442.29999999981385,2020-03-25 11:18:00,2020-03-25 14:37:00,11940.0,1244.4,1266.9,4,31150.0,9310,CARBON,0,1,0,12.0,0,0.0,0,4,31150.0,9310,이상없음,0
27,1,114.8999999994412,2020-03-25 14:59:00,2020-03-25 15:51:00,3120.0,1259.5,1284.0,4,31150.0,9310,CARBON,0,1,0,12.0,0,0.0,0,4,31150.0,9310,이상없음,0
28,1,395.6000000005588,2020-03-25 16:25:00,2020-03-25 20:17:00,13920.0,1268.2,1289.0,4,31150.0,9310,CARBON,0,1,0,12.0,0,0.0,0,4,31150.0,9310,이상없음,0
29,1,181.0,2020-03-25 20:56:00,2020-03-25 22:45:00,6540.0,1269.9,1285.9,4,31150.0,9310,CARBON,0,1,0,12.0,0,0.0,0,4,31150.0,9310,이상없음,0
30,1,825.5999999996277,2020-03-26 08:03:00,2020-03-26 15:23:00,26400.0,1262.1,1263.7,4,26700.0,8500,CARBON,0,1,0,13.0,0,0.0,0,4,26700.0,8500,이상없음,0
31,1,399.0,2020-03-26 16:23:00,2020-03-26 20:47:00,15840.0,1284.9,1284.2,4,26700.0,8500,CARBON,0,1,0,13.0,0,0.0,0,4,26700.0,8500,이상없음,0
32,1,1078.7999999998137,2020-03-31 14:27:00,2020-04-01 01:09:00,38520.0,1263.9,1278.0,5,58640.0,14100,ALLOY,1,0,0,16.0,5,58640.0,14100,0,0.0,0,이상없음,0
33,1,131.20000000018626,2020-04-01 01:25:00,2020-04-01 02:45:00,4800.0,1282.5,1278.1,5,58640.0,14100,ALLOY,1,0,0,16.0,5,58640.0,14100,0,0.0,0,이상없음,0
34,1,175.0999999996274,2020-04-01 04:24:00,2020-04-01 06:25:00,7260.0,1270.7,1284.3,5,58640.0,14100,ALLOY,1,0,0,16.0,5,58640.0,14100,0,0.0,0,이상없음,0
35,1,308.90000000037253,2020-04-15 03:01:00,2020-04-15 06:11:00,11400.0,1281.7,1284.2,5,43130.0,12410,ALLOY,1,0,0,19.0,3,31830.0,12410,2,11300.0,6050,이상없음,0
36,1,123.5,2020-04-15 23:24:00,2020-04-16 00:51:00,5220.0,1280.4,1283.8,6,58630.0,12410,CARBON,0,1,0,20.0,2,24820.0,12410,4,33810.0,8630,이상없음,0
37,1,818.5,2020-04-17 16:51:00,2020-04-17 23:01:00,22200.0,1281.5,1275.6,10,76350.0,7950,CARBON,0,1,0,22.0,0,0.0,0,10,76350.0,7950,이상없음,0
38,1,307.2999999998138,2020-04-17 23:42:00,2020-04-18 03:03:00,12060.0,1272.4,1279.3,10,76350.0,7950,CARBON,0,1,0,22.0,0,0.0,0,10,76350.0,7950,이상없음,0
39,1,130.29999999981374,2020-04-18 03:37:00,2020-04-18 05:07:00,5400.0,1283.4,1283.4,10,76350.0,7950,CARBON,0,1,0,22.0,0,0.0,0,10,76350.0,7950,이상없음,0
40,1,501.79999999981385,2020-04-21 17:19:00,2020-04-21 20:36:00,11820.0,1254.3,1286.5,3,24590.0,8590,ALLOY,1,0,0,24.0,2,16000.0,8000,1,8590.0,8590,이상없음,0
41,1,180.30000000074506,2020-04-23 23:04:00,2020-04-24 01:08:00,7440.0,1285.2,1282.9,8,48580.0,8000,CARBON,0,1,0,25.0,2,16000.0,8000,6,32580.0,5430,이상없음,0
42,1,312.90000000037253,2020-04-24 01:20:00,2020-04-24 04:48:00,12480.0,1283.2,1285.4,8,48580.0,8000,CARBON,0,1,0,25.0,2,16000.0,8000,6,32580.0,5430,이상없음,0
43,1,112.7000000001863,2020-04-26 03:45:00,2020-04-26 05:02:00,4620.0,1266.9,1282.4,8,51600.0,6450,CARBON,0,1,0,27.0,0,0.0,0,8,51600.0,6450,이상없음,0
44,1,161.89999999944118,2020-04-28 11:38:00,2020-04-28 12:59:00,4860.0,1267.8,1286.9,9,66260.0,8600,CARBON,0,1,0,29.0,0,0.0,0,9,66260.0,8600,이상없음,0
45,1,320.7000000001862,2020-04-30 02:50:00,2020-04-30 06:06:00,11760.0,1286.1,1286.5,9,55650.0,8960,CARBON,0,1,0,30.0,2,17920.0,8960,7,37730.0,5390,이상없음,0
46,1,143.20000000018626,2020-04-30 21:37:00,2020-04-30 22:52:00,4500.0,1268.2,1286.1,7,50610.0,7230,CARBON,0,1,0,31.0,0,0.0,0,7,50610.0,7230,이상없음,0
47,1,294.5,2020-04-30 23:55:00,2020-05-01 03:10:00,11700.0,1262.1,1286.3,7,50610.0,7230,CARBON,0,1,0,31.0,0,0.0,0,7,50610.0,7230,이상없음,0
48,1,155.60000000055882,2020-05-01 05:40:00,2020-05-01 07:18:00,5880.0,1285.8,1287.0,7,50610.0,7230,CARBON,0,1,0,31.0,0,0.0,0,7,50610.0,7230,이상없음,0
49,1,241.39999999944118,2020-05-06 23:27:00,2020-05-07 01:46:00,8340.0,1254.8,1267.8,8,48400.0,6050,SUS,0,0,1,32.0,0,0.0,0,8,48400.0,6050,이상없음,0
50,1,950.9000000003723,2020-05-07 21:51:00,2020-05-08 05:18:00,26820.0,1261.5,1287.8,6,65880.0,10980,CARBON,0,1,0,33.0,6,65880.0,10980,0,0.0,0,이상없음,0
51,1,1490.8999999994412,2020-05-09 09:47:00,2020-05-09 21:52:00,43500.0,1258.9,1287.2,8,38130.0,6640,CARBON,0,1,0,34.0,6,25440.0,4240,2,12690.0,6640,이상없음,0
52,1,285.6000000005588,2020-05-13 01:49:00,2020-05-13 03:46:00,7020.0,1280.9,1288.3,4,46160.0,11920,CARBON,0,1,0,36.0,0,0.0,0,4,46160.0,11920,이상없음,0
53,1,223.60000000055882,2020-05-13 04:46:00,2020-05-13 06:20:00,5640.0,1278.8,1288.3,4,46160.0,11920,CARBON,0,1,0,36.0,0,0.0,0,4,46160.0,11920,이상없음,0
54,1,811.5999999996277,2020-05-13 07:00:00,2020-05-13 14:09:00,25740.0,1289.9,1287.1,4,46160.0,11920,CARBON,0,1,0,36.0,0,0.0,0,4,46160.0,11920,이상없음,0
55,1,303.2000000001862,2020-05-13 15:06:00,2020-05-13 17:59:00,10380.0,1279.6,1288.0,4,46160.0,11920,CARBON,0,1,0,36.0,0,0.0,0,4,46160.0,11920,이상없음,0
56,1,134.79999999981374,2020-05-25 23:44:00,2020-05-26 00:51:00,4020.0,1273.3,1288.2,8,49840.0,6230,CARBON,0,1,0,37.0,0,0.0,0,8,49840.0,6230,이상없음,0
57,1,142.70000000018626,2020-05-26 22:11:00,2020-05-26 23:28:00,4620.0,1268.4,1287.6,8,55040.0,6880,CARBON,0,1,0,38.0,0,0.0,0,8,55040.0,6880,이상없음,0
58,1,114.5,2020-05-27 00:00:00,2020-05-27 01:04:00,3840.0,1283.9,1287.7,8,55040.0,6880,CARBON,0,1,0,38.0,0,0.0,0,8,55040.0,6880,이상없음,0
59,1,153.20000000018626,2020-05-27 01:22:00,2020-05-27 02:46:00,5040.0,1289.8,1287.7,8,55040.0,6880,CARBON,0,1,0,38.0,0,0.0,0,8,55040.0,6880,이상없음,0
60,1,209.6999999992549,2020-05-27 14:52:00,2020-05-27 16:48:00,6960.0,1269.8,1267.1,7,52210.0,15760,CARBON,0,1,0,39.0,0,0.0,0,7,52210.0,15760,이상없음,0
61,1,104.7000000001863,2020-05-27 17:06:00,2020-05-27 18:10:00,3840.0,1268.4,1288.6,7,52210.0,15760,CARBON,0,1,0,39.0,0,0.0,0,7,52210.0,15760,이상없음,0
62,1,198.29999999981374,2020-05-27 18:28:00,2020-05-27 20:22:00,6840.0,1285.6,1286.1,7,52210.0,15760,CARBON,0,1,0,39.0,0,0.0,0,7,52210.0,15760,이상없음,0
63,1,282.40000000037253,2020-05-27 23:07:00,2020-05-28 02:14:00,11220.0,1272.4,1286.9,7,52210.0,15760,CARBON,0,1,0,39.0,0,0.0,0,7,52210.0,15760,이상없음,0
64,1,120.7000000001863,2020-05-28 04:42:00,2020-05-28 06:14:00,5520.0,1286.4,1281.3,7,52210.0,15760,CARBON,0,1,0,39.0,0,0.0,0,7,52210.0,15760,이상없음,0
65,1,194.60000000055882,2020-05-29 23:38:00,2020-05-30 01:26:00,6480.0,1284.3,1287.5,5,45230.0,10300,CARBON,0,1,0,41.0,0,0.0,0,5,45230.0,10300,이상없음,0
66,1,454.0,2020-05-30 02:16:00,2020-05-30 06:54:00,16680.0,1289.0,1287.5,5,45230.0,10300,CARBON,0,1,0,41.0,0,0.0,0,5,45230.0,10300,이상없음,0
67,1,341.1000000005588,2020-06-01 09:32:00,2020-06-01 13:00:00,12480.0,1285.5,1281.4,5,69060.0,15660,CARBON,0,1,0,42.0,0,0.0,0,5,69060.0,15660,이상없음,0
68,1,752.8999999994412,2020-06-04 09:50:00,2020-06-04 16:55:00,25500.0,1287.5,1287.5,5,37780.0,12000,CARBON,0,1,0,43.0,2,21130.0,12000,3,16650.0,5550,이상없음,0
69,1,211.60000000055882,2020-06-04 17:12:00,2020-06-04 19:19:00,7620.0,1274.6,1287.4,5,37780.0,12000,CARBON,0,1,0,43.0,2,21130.0,12000,3,16650.0,5550,이상없음,0
