,에너지,가열시작시간,가열종료시간,시간(총),시간(0제외),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,2555.9,2020-03-03 19:13:00,2020-03-04 01:29:00,22560,21900,567.5,1257.2,8,102600,13480,ALLOY,1,0,0,7,94360,13480,1,8240,8240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,102600,13480,4200,0,누락없음,5,3/4/2020,주간,화,안겹침,이상없음,3,0,AC,평일,0
1,1022.8,2020-03-03 15:35:00,2020-03-03 17:13:00,5880,5820,738.6,1254.9,9,113820,14850,ALLOY,1,0,0,6,89100,14850,3,24720,8240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,113820,14850,1680,0,누락없음,4,3/4/2020,주간,화,안겹침,이상없음,8,0,AC,평일,0
2,2568.9,2020-03-04 19:02:00,2020-03-05 01:07:00,21900,21360,548.4,1256.1,6,80880,13480,ALLOY,1,0,0,6,80880,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80880,13480,7740,0,누락없음,5,3/5/2020,주간,수,안겹침,이상없음,8,0,A,평일,0
3,792.3,2020-03-06 02:10:00,2020-03-06 03:22:00,4320,4200,621.9,1250.5,6,76240,12810,CARBON,0,1,0,0,0,0,4,51240,12810,2,25000,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,76240,12810,840,0,누락없음,6,3/6/2020,야간,금,안겹침,이상없음,6,0,CS,평일,0
4,548.5,2020-03-05 16:31:00,2020-03-05 17:19:00,2880,2040,1182.8,1253.4,8,84240,10530,ALLOY,1,0,0,8,84240,10530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,84240,10530,9060,0,누락없음,4,3/6/2020,주간,목,안겹침,이상없음,5,0,A,평일,0
5,1443.3,2020-03-09 07:57:00,2020-03-09 10:25:00,8880,-2220,654.9,1257.2,6,57324,9554,ALLOY,1,0,0,6,57324,9554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,57324,9554,6180,0,누락없음,4,3/9/2020,야간,월,겹침,이상없음,6,6,A,평일,0
6,2058.3,2020-03-12 07:16:00,2020-03-12 12:22:00,18360,17640,687.2,1255.8,7,100480,19600,ALLOY,1,0,0,6,80880,13480,1,19600,19600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,100480,19600,1020,0,누락없음,5,3/12/2020,야간,목,안겹침,이상없음,7,0,AC,평일,0
7,2110.9,2020-03-13 06:22:00,2020-03-13 11:34:00,18720,18420,756.8,1257.0,8,76432,9554,ALLOY,1,0,0,8,76432,9554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,76432,9554,960,0,누락없음,5,3/13/2020,야간,금,안겹침,이상없음,7,0,A,평일,0
8,129.1,2020-03-16 12:58:00,2020-03-16 13:16:00,1080,1020,1005.3,1260.9,7,103950,14850,ALLOY,1,0,0,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,8160,0,누락없음,4,3/17/2020,주간,월,안겹침,이상없음,6,0,A,평일,0
9,1801.6,2020-03-17 18:54:00,2020-03-17 22:37:00,13380,13260,712.9,1256.5,7,94360,13480,ALLOY,1,0,0,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,1800,0,누락없음,5,3/18/2020,주간,화,안겹침,이상없음,5,0,A,평일,0
10,2613.7,2020-03-17 22:04:00,2020-03-18 04:07:00,21780,21420,693.4,1232.9,6,74830,16950,CARBON,0,1,0,0,0,0,4,56430,16950,2,18400,9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,74830,16950,2160,0,누락없음,6,3/18/2020,야간,화,안겹침,이상없음,4,0,CS,평일,0
11,2347.3,2020-03-18 21:31:00,2020-03-19 02:14:00,16980,16800,621.4,1256.4,8,115580,17350,ALLOY,1,0,0,6,80880,13480,2,34700,17350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,115580,17350,2280,0,누락없음,5,3/19/2020,주간,수,안겹침,이상없음,7,0,AC,평일,0
12,2015.5,2020-03-20 06:17:00,2020-03-20 09:20:00,10980,10680,595.5,1178.5,6,90270,16085,CARBON,0,1,0,0,0,0,6,90270,16085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,90270,16085,780,0,누락없음,6,3/20/2020,야간,금,안겹침,이상없음,5,0,C,평일,0
