,에너지,가열시작시간,가열종료시간,시간(총),시간(0제외),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,2194.8,3/8/2020 17:46,3/9/2020 6:10,44640,41880,516.2,1252.4,7,57050,8250,CARBON,0,1,0,0,0,0,5,41250,8250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15800,7900,5,41250,8250,129600,0,강종누락,1,3/9/2020,야간,일,안겹침,이상없음,1,0,C,주말,0
1,211.3,3/17/2020 6:51,3/17/2020 7:43,3120,3000,845.2,1252.7,3,23630,13930,CARBON,0,1,0,0,0,0,3,23630,13930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23630,13930,720,0,누락없음,1,3/17/2020,야간,화,안겹침,이상없음,9,0,C,평일,0
2,816.9,3/24/2020 2:37,3/24/2020 5:41,11040,10800,592.2,1142.5,8,62880,8030,ALLOY,1,0,0,2,15120,7560,6,47760,8030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15120,7560,6,47760,8030,14460,0,누락없음,1,3/24/2020,야간,화,안겹침,이상없음,4,0,AC,평일,0
3,872.0,4/14/2020 6:32,4/14/2020 9:53,12060,12000,592.6,1263.9,5,43130,12410,ALLOY,1,0,0,3,31830,12410,0,0,0,2,11300,6050,0,0,0,0,0,0,0,0,0,0,0,0,3,31830,12410,2,11300,6050,602040,0,누락없음,1,4/14/2020,야간,화,안겹침,이상없음,2,0,AS,평일,0
4,983.8,4/15/2020 6:49,4/15/2020 10:43,14040,13740,504.6,1256.4,6,58630,12410,CARBON,0,1,0,4,41430,12410,2,17200,8600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24820,12410,4,33810,8630,1680,0,누락없음,1,4/15/2020,야간,수,겹침,이상없음,5,2,AC,평일,0
5,804.3,4/16/2020 2:45,4/16/2020 5:50,11100,10860,616.5,1225.3,8,47160,7220,SUS,0,0,1,0,0,0,0,0,0,8,47160,7220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,47160,7220,3960,0,누락없음,1,4/16/2020,야간,목,안겹침,이상없음,6,0,S,평일,0
6,1883.5,4/17/2020 7:00,4/17/2020 14:23,26580,25680,423.7,1251.0,10,76350,7950,CARBON,0,1,0,0,0,0,10,76350,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,76350,7950,18420,0,누락없음,1,4/17/2020,야간,금,안겹침,이상없음,8,0,C,평일,0
7,1115.6,4/23/2020 1:35,4/23/2020 5:45,15000,14400,420.2,1161.4,8,48580,8000,CARBON,0,1,0,0,0,0,6,32580,5430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16000,8000,6,32580,5430,93780,0,강종누락,1,4/23/2020,야간,목,겹침,이상없음,3,2,C,평일,0
8,447.2,4/24/2020 6:59,4/24/2020 8:44,6300,6180,660.2,1238.4,5,28290,7250,CARBON,0,1,0,0,0,0,5,28290,7250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12000,7250,3,16290,5430,900,0,누락없음,1,4/24/2020,야간,금,안겹침,이상없음,8,0,C,평일,0
9,1044.5,4/25/2020 5:21,4/25/2020 9:28,14820,14580,603.0,1259.8,8,51600,6450,CARBON,0,1,0,0,0,0,8,51600,6450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,51600,6450,21960,0,누락없음,1,4/25/2020,야간,토,안겹침,이상없음,5,0,C,주말,0
10,17.7,4/26/2020 7:55,4/26/2020 8:08,780,-7920,584.1,659.9,9,50580,5620,CARBON,0,1,0,0,0,0,9,50580,5620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,50580,5620,7140,0,누락없음,1,4/27/2020,주간,일,안겹침,이상없음,4,0,C,주말,0
11,1456.3,4/26/2020 9:47,4/26/2020 19:26,34740,26040,659.9,1263.7,9,50580,5620,CARBON,0,1,0,0,0,0,9,50580,5620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,50580,5620,5940,0,누락없음,1,4/27/2020,주간,일,겹침,이상없음,9,9,C,주말,0
12,1153.0,4/27/2020 19:31,4/28/2020 0:01,16200,16020,601.3,1254.4,9,66260,8600,CARBON,0,1,0,0,0,0,8,60460,8600,1,5800,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,66260,8600,38820,0,누락없음,1,4/28/2020,주간,월,안겹침,이상없음,8,0,CS,평일,0
13,2329.6,4/29/2020 6:45,4/29/2020 20:03,47880,47820,507.7,1265.5,9,55650,8960,CARBON,0,1,0,2,17920,8960,7,37730,5390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17920,8960,7,37730,5390,59160,0,누락없음,1,4/29/2020,야간,수,안겹침,이상없음,9,0,AC,평일,0
14,425.5,5/7/2020 18:05,5/7/2020 19:49,6240,6000,536.5,1245.1,6,65880,10980,CARBON,0,1,0,0,0,0,6,65880,10980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,65880,10980,0,0,0,56820,0,누락없음,1,5/8/2020,주간,목,안겹침,이상없음,7,0,C,평일,0
15,370.6,5/9/2020 2:51,5/9/2020 4:18,5220,5160,617.1,1253.6,8,38130,6640,CARBON,0,1,0,6,25440,4240,2,12690,6640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25440,4240,2,12690,6640,55560,0,누락없음,1,5/9/2020,야간,토,안겹침,이상없음,6,0,AC,주말,0
16,799.6,5/12/2020 19:15,5/12/2020 22:29,11640,11340,354.6,1279.6,4,46160,11920,CARBON,0,1,0,0,0,0,4,46160,11920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46160,11920,47880,0,누락없음,1,5/13/2020,주간,화,안겹침,이상없음,8,0,C,평일,0
17,2426.8,5/24/2020 22:23,5/25/2020 13:28,54300,-39360,362.1,1236.0,8,49840,6230,CARBON,0,1,0,0,0,0,8,49840,6230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49840,6230,138540,0,누락없음,1,5/25/2020,야간,일,겹침,이상없음,8,8,C,주말,0
18,1327.9,5/26/2020 4:18,5/26/2020 9:21,18180,17760,665.5,1247.4,8,55040,6880,CARBON,0,1,0,0,0,0,8,55040,6880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,55040,6880,1860,0,누락없음,1,5/26/2020,야간,화,안겹침,이상없음,4,0,C,평일,0
19,675.1,5/27/2020 7:13,5/27/2020 10:05,10320,9960,488.8,1256.4,7,52210,15760,CARBON,0,1,0,0,0,0,2,24710,15760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,52210,15760,3780,0,강종누락,1,5/27/2020,야간,수,안겹침,이상없음,8,0,C,평일,0
20,1089.4,5/28/2020 7:26,5/28/2020 11:44,15480,14880,503.2,1258.9,6,60720,10120,CARBON,0,1,0,0,0,0,6,60720,10120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,60720,10120,1320,0,누락없음,1,5/28/2020,야간,목,안겹침,이상없음,7,0,C,평일,0
21,924.7,5/29/2020 7:20,5/29/2020 11:02,13320,13200,621.0,1257.8,5,45230,10300,CARBON,0,1,0,0,0,0,5,45230,10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45230,10300,960,0,누락없음,1,5/29/2020,야간,금,안겹침,이상없음,6,0,C,평일,0
22,845.9,6/4/2020 19:58,6/4/2020 23:34,12960,12840,660.2,1267.1,7,48770,8030,CARBON,0,1,0,0,0,0,7,48770,8030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48770,8030,1140,0,누락없음,1,6/5/2020,주간,목,겹침,이상없음,5,3,C,평일,0
