,에너지,가열시작시간,가열종료시간,시간(총),시간(0제외),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,1289.9,3/3/2020 4:44,3/3/2020 6:53,7740,7620,384.8,1255.3,7,103950,14850,ALLOY,1,0,0,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,22140,0,누락없음,2,3/3/2020,야간,화,안겹침,이상없음,4,0,A,평일,0
1,684.9,3/6/2020 4:01,3/6/2020 5:06,3900,3780,653.4,1261.7,8,88800,11100,ALLOY,1,0,0,8,88800,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88800,11100,2100,0,누락없음,2,3/6/2020,야간,금,안겹침,이상없음,8,0,A,평일,0
2,122.9,3/9/2020 18:01,3/9/2020 18:19,1080,1020,1011.9,1264.1,4,36300,11000,ALLOY,1,0,0,4,36300,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3300,3300,3,33000,11000,3480,0,누락없음,2,3/10/2020,주간,월,안겹침,이상없음,11,0,A,평일,0
3,486.8,3/10/2020 19:05,3/10/2020 19:55,3000,2820,822.4,1258.3,7,94360,13480,ALLOY,1,0,0,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,1980,0,누락없음,2,3/11/2020,주간,화,안겹침,이상없음,4,0,A,평일,0
4,838.0,3/12/2020 19:18,3/12/2020 20:37,4740,4200,769.6,1261.6,8,59400,8250,CARBON,0,1,0,0,0,0,5,41250,8250,3,18150,6050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,59400,8250,2280,0,누락없음,2,3/13/2020,주간,목,안겹침,이상없음,7,0,CS,평일,0
5,338.8,3/19/2020 2:48,3/19/2020 3:38,3000,2880,610.5,1256.8,7,102980,22100,ALLOY,1,0,0,6,80880,13480,1,22100,22100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,102980,22100,960,0,누락없음,2,3/19/2020,야간,목,안겹침,이상없음,7,0,AC,평일,0
6,751.6,3/25/2020 16:11,3/25/2020 17:28,4620,4380,501.4,1255.6,8,88800,11100,ALLOY,1,0,0,8,88800,11100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88800,11100,5400,0,누락없음,2,3/26/2020,주간,수,안겹침,이상없음,6,0,A,평일,0
7,254.1,4/6/2020 23:47,4/7/2020 0:25,2280,2100,640.9,1262.8,7,103950,14850,ALLOY,1,0,0,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103950,14850,2220,0,누락없음,2,4/7/2020,야간,월,안겹침,이상없음,8,0,A,주말,0
8,600.5,4/9/2020 2:10,4/9/2020 3:14,3840,3720,738.6,1240.5,4,33200,8600,CARBON,0,1,0,0,0,0,2,17200,8600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16000,8000,2,17200,8600,1140,0,강종누락,2,4/9/2020,야간,목,안겹침,이상없음,5,0,C,평일,0
9,291.8,4/15/2020 2:34,4/15/2020 3:08,2040,1980,802.6,1257.1,7,94360,13480,ALLOY,1,0,0,7,94360,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,94360,13480,4440,0,누락없음,2,4/15/2020,야간,수,겹침,이상없음,8,7,A,평일,0
10,710.4,4/16/2020 6:18,4/16/2020 7:26,4080,3960,666.1,1264.3,7,60180,10300,SUS,0,0,1,1,9200,9200,4,39680,10300,2,11300,6050,0,0,0,0,0,0,0,0,0,0,0,0,1,9200,9200,6,50980,10300,1860,0,누락없음,2,4/16/2020,야간,목,안겹침,이상없음,7,0,ACS,평일,0
11,2274.7,4/17/2020 9:28,4/17/2020 13:17,13740,13560,575.9,1251.1,12,106160,14550,CARBON,0,1,0,0,0,0,11,101160,14550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,5000,11,101160,14550,12060,0,강종누락,2,4/17/2020,야간,금,안겹침,이상없음,7,0,C,평일,0
12,934.3,4/21/2020 6:38,4/21/2020 8:13,5700,5640,522.3,1263.5,10,62920,7800,SUS,0,0,1,0,0,0,9,55120,6260,1,7800,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,62920,7800,2100,0,누락없음,2,4/21/2020,야간,화,안겹침,이상없음,12,0,CS,평일,0
13,751.3,4/22/2020 5:18,4/22/2020 6:29,4260,4200,822.0,1255.9,11,59450,5430,CARBON,0,1,0,0,0,0,11,59450,5430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,59450,5430,1860,0,누락없음,2,4/22/2020,야간,수,안겹침,이상없음,10,0,C,평일,0
14,543.3,4/24/2020 16:18,4/24/2020 17:25,4020,3960,409.1,1172.4,2,32700,16350,SUS,0,0,1,0,0,0,0,0,0,2,32700,16350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32700,16350,121560,0,누락없음,2,4/24/2020,야간,금,안겹침,이상없음,11,0,S,평일,0
15,2436.5,5/5/2020 7:50,5/5/2020 12:44,17640,16740,104.4,1264.1,7,64150,9850,CARBON,0,1,0,0,0,0,7,64150,9850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,64150,9850,411600,0,누락없음,2,5/6/2020,주간,화,안겹침,이상없음,8,0,C,평일,0
16,661.3,5/6/2020 18:30,5/6/2020 20:20,6600,4020,664.7,1260.7,4,34400,8600,CARBON,0,1,0,0,0,0,4,34400,8600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34400,8600,15960,0,누락없음,2,5/7/2020,주간,수,안겹침,이상없음,7,0,C,평일,0
17,1338.3,5/13/2020 3:34,5/13/2020 5:43,7740,7680,654.7,1261.7,7,80790,15660,CARBON,0,1,0,0,0,0,4,62640,15660,3,18150,6050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,80790,15660,1440,0,누락없음,2,5/13/2020,야간,수,안겹침,이상없음,9,0,CS,평일,0
18,248.3,5/14/2020 6:38,5/14/2020 7:06,1680,1620,870.0,1270.4,7,86770,15760,CARBON,0,1,0,0,0,0,7,86770,15760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,86770,15760,1860,0,누락없음,2,5/14/2020,야간,목,안겹침,이상없음,7,0,C,평일,0
19,215.5,5/15/2020 6:56,5/15/2020 7:19,1380,1320,605.1,1157.0,8,33920,4240,ALLOY,1,0,0,8,33920,4240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,33920,4240,0,0,0,1740,0,누락없음,2,5/15/2020,야간,금,안겹침,이상없음,7,0,A,평일,0
20,647.3,5/26/2020 7:10,5/26/2020 8:13,3780,3600,782.9,1266.4,7,46890,12830,CARBON,0,1,0,3,19760,7380,4,27130,12830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30540,7380,2,16350,12830,2460,0,누락없음,2,5/26/2020,야간,화,안겹침,이상없음,6,0,AC,평일,0
21,997.2,6/2/2020 19:22,6/2/2020 20:56,5640,3600,1018.6,1249.9,4,88000,22000,CARBON,0,1,0,0,0,0,4,88000,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,88000,22000,0,0,0,32760,0,누락없음,2,6/3/2020,주간,화,안겹침,이상없음,7,0,C,평일,0
22,1077.1,6/5/2020 6:27,6/5/2020 8:44,8220,7980,808.2555556,1285.4,7,65210,15660,SUS,0,0,1,0,0,0,4,51140,15660,3,14070,4690,0,0,0,0,0,0,0,0,0,0,0,0,3,14070,4690,4,51140,15660,960,0,누락없음,2,6/5/2020,야간,금,안겹침,이상없음,4,0,CS,평일,0
23,394.3,6/17/2020 12:58,6/17/2020 13:40,2520,2460,634.9,1265.1,6,87600,18100,ALLOY,1,0,0,6,87600,18100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,87600,18100,78960,0,누락없음,2,6/18/2020,주간,수,안겹침,이상없음,8,0,A,평일,0
24,1345.7,6/18/2020 15:29,6/18/2020 18:10,9660,9600,692.2,1253.4,10,94000,19350,CARBON,0,1,0,2,38700,19350,8,55300,8030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,94000,19350,1800,0,누락없음,2,6/19/2020,주간,목,안겹침,이상없음,6,0,AC,평일,0
25,865.2,6/26/2020 6:24,6/26/2020 7:46,4920,4860,768.1,1252.7,9,73250,10770,CARBON,0,1,0,0,0,0,9,73250,10770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,73250,10770,130440,0,누락없음,2,6/26/2020,야간,금,안겹침,이상없음,10,0,C,평일,0
26,628.4,6/30/2020 23:56,7/1/2020 1:09,4380,4320,424.0,1262.0,7,81200,14600,ALLOY,1,0,0,7,81200,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,81200,14600,88080,0,누락없음,2,7/1/2020,야간,화,안겹침,이상없음,6,0,A,평일,0
27,384.9,7/2/2020 7:31,7/2/2020 8:16,2700,2640,678.6,1238.4,8,89904,19100,CARBON,0,1,0,7,70804,13480,1,19100,19100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,89904,19100,1740,0,누락없음,2,7/2/2020,야간,목,겹침,이상없음,7,7,AC,평일,0
28,745.1,7/7/2020 20:00,7/7/2020 21:16,4560,4500,680.9,1268.7,7,96149,15269,ALLOY,1,0,0,7,96149,15269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,96149,15269,6420,0,누락없음,2,7/8/2020,주간,화,안겹침,이상없음,8,0,A,평일,0
29,687.5,7/9/2020 20:06,7/9/2020 21:14,4080,4020,784.6,1260.4,7,53360,8510,CARBON,0,1,0,0,0,0,7,53360,8510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,53360,8510,5640,0,누락없음,2,7/10/2020,주간,목,안겹침,이상없음,11,0,C,평일,0
30,345.7,7/14/2020 5:39,7/14/2020 6:35,3360,3240,847.4,1250.3,2,16710,10750,CARBON,0,1,0,1,5960,5960,1,10750,10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16710,10750,0,0,0,180,0,누락없음,2,7/14/2020,야간,화,안겹침,이상없음,7,0,AC,평일,0
