,시간(총)_MLP_5_5_에너지,시간(총)_MLP_3_3_에너지,시간(총)_KNN_에너지
0,34.152191162109375,30.906267166137695,37.187194139620935
1,34.793365478515625,32.44308090209961,38.66255726412609
2,33.60857391357422,35.457275390625,33.757405594032555
3,27.40911865234375,28.975292205810547,33.25412781001331
4,27.69369125366211,28.211673736572266,36.610429675032265
5,29.218204498291016,29.37394905090332,40.54415726053545
6,30.250835418701172,27.41656494140625,30.09998447469569
7,30.43898582458496,31.273204803466797,31.121828832602734
8,31.713903427124023,31.12347984313965,37.28807122903655
9,28.0427303314209,28.79227066040039,39.485222050430515
average,30.732159996032713,30.39730587005615,35.801097833012605
