,시작온도_시간(총)_MLP_5_5_에너지,시작온도_시간(총)_MLP_3_3_에너지,시작온도_시간(총)_KNN_에너지
0,20.013771057128906,20.646587371826172,21.321174132201616
1,17.37786102294922,19.94815444946289,18.717067812844178
2,18.32452964782715,18.86850357055664,25.638987572430533
3,15.18835163116455,14.516500473022461,21.21919175531363
4,26.022478103637695,23.388595581054688,24.91776501613704
5,17.17580795288086,18.407678604125977,21.397237387496645
6,17.017494201660156,18.12662696838379,22.679537529923145
7,17.989971160888672,19.11867904663086,20.059150461616216
8,35.50343704223633,25.9005184173584,44.351175481937716
9,15.89598274230957,18.941184997558594,39.229106648373374
average,20.05096845626831,19.786302947998045,25.953039379827413
