,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,39.03693389892578,39.55663941441388,36.44881057739258,41.115472047673876
1,35.536399841308594,20.4490950642058,19.49433708190918,22.892633427000288
2,20.557270050048828,42.52401474780953,27.279869079589844,42.38327036867886
3,31.896961212158203,47.496310576301255,42.12336730957031,45.94416582653154
4,23.7225399017334,17.467305956558423,34.21792221069336,15.448744099816173
5,15.326828956604004,14.312120765374143,11.993937492370605,12.56775319781276
6,27.699817657470703,28.63412454047981,27.927967071533203,32.00649464195067
7,18.91776466369629,43.14869036273506,50.95885467529297,57.01909459836701
8,27.984115600585938,28.5708890593724,18.506866455078125,29.20205687621082
9,41.75864791870117,43.615167545457304,39.693748474121094,44.06990522246914
average,28.24372797012329,32.57743580327076,30.864568042755128,34.264959030651106
