,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,32.260902404785156,89.46392117823939,29.435728073120117,69.99205426046214
1,31.403654098510742,60.8484802179979,23.74244499206543,61.52489249723231
2,22.94988441467285,50.246321452029065,24.363691329956055,51.31832765251087
3,19.45547103881836,90.954499217704,34.960575103759766,91.83830468858325
4,28.482234954833984,96.66582718005913,22.858783721923828,94.570838252545
5,23.167741775512695,62.42111513831635,34.049888610839844,63.60908490736234
6,19.05862808227539,44.81823089466861,22.973346710205078,46.90003131328787
7,31.663406372070312,80.06062560251618,26.447778701782227,79.29568356171326
8,26.007978439331055,80.51060571879101,27.262571334838867,82.00296445291309
9,25.405378341674805,90.34181118218831,32.30308151245117,75.53551486667708
average,25.985527992248535,74.63314377825098,27.83978900909424,71.6587696453287
