,시간(총)_MLP_5_5_에너지,시간(총)_MLP_7_7_에너지,시간(총)_KNN_에너지
0,10.54800796508789,10.604025840759277,16.852145025473334
1,4.198081970214844,4.902350425720215,11.12512716134284
2,5.969084739685059,6.603262424468994,6.432586965667795
3,8.638165473937988,8.467979431152344,10.471779153301023
4,4.166097164154053,4.090517044067383,4.750737466900556
5,8.083623886108398,7.705470561981201,6.845516345509224
6,7.823246002197266,7.962632656097412,9.570902540071643
7,8.42642593383789,8.2359037399292,11.764362371733657
8,5.455808162689209,5.324889183044434,6.817798860861527
9,6.580767631530762,6.470118999481201,11.151512924290662
average,6.988930892944336,7.036715030670166,9.578246881515225
