,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,45.197776794433594,35.96810526958492,47.96572494506836,34.50757991802445
1,46.0814323425293,30.307858532149755,43.550148010253906,30.051072802750095
2,29.178882598876953,26.59741508244587,34.0418586730957,25.946026825498432
3,22.19765853881836,27.94168231136637,28.20585060119629,28.843746218043158
4,37.732582092285156,31.677634784531648,50.646568298339844,31.913766660840075
5,51.50611877441406,29.835091198202985,25.90681266784668,29.62321020591276
6,32.44839859008789,29.568222802155187,52.46861267089844,29.567972486275128
7,49.02580261230469,43.175795852374854,56.050697326660156,43.335029970181886
8,37.96311569213867,29.569243968043875,36.52223205566406,29.910372494415245
9,52.66554260253906,37.23651853795113,50.11283493041992,37.64292637002167
average,40.39973106384277,32.187756833880655,42.54713401794434,32.134170395196286
