,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,58.32960510253906,42.4878701689811,54.800350189208984,42.4878701689811
1,547.4490356445312,69.28742720109626,73.69122314453125,69.28742720109626
2,38.305809020996094,29.92922143579374,22.305400848388672,29.92922143579373
3,1427.6248779296875,77.92443064182196,26.031829833984375,58.28157349896481
4,27.452800750732422,24.131998748827023,38.30590057373047,24.131998748827023
5,511.3448181152344,69.28742720109626,64.17056274414062,69.28742720109626
6,609.363037109375,42.331118493909194,186.35110473632812,42.331118493909194
7,49.926971435546875,42.4878701689811,53.30472183227539,42.4878701689811
8,1793.8499755859375,77.92443064182196,32.72269058227539,58.28157349896481
9,564.3004760742188,42.331118493909194,193.05921936035156,42.331118493909194
average,562.7947406768799,51.81229131962378,74.47430038452148,47.883719891052344
