,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,89.66425323486328,51.51147820075427,54.310333251953125,49.90503961307143
1,64.98841094970703,53.243691054133954,56.69224166870117,51.21840366772729
2,60.18556594848633,57.57440976780999,41.548500061035156,58.385399560552145
3,50.8265380859375,35.49795673085862,32.92589569091797,36.91379737705877
4,51.376258850097656,54.60783172612786,33.55109405517578,55.76477908545468
5,101.03560638427734,61.74874463176025,51.73527145385742,57.778733247334614
6,54.75836181640625,36.629531117944744,73.64183807373047,36.725906617963055
7,41.17918014526367,47.43216171844461,45.941585540771484,50.03353424541002
8,67.78004455566406,72.72793091645711,48.20050048828125,60.53233376991183
9,76.9495849609375,56.09083685609089,40.8171272277832,55.33034506668236
average,65.87438049316407,52.70645727203822,47.936438751220706,51.258827225116626
