,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,20.09362030029297,23.22916956138077,14.867178916931152,25.633966785759604
1,19.466615676879883,13.203607197396886,13.69304084777832,24.7835342223499
2,46.11572265625,5.998663663203533,65.04615783691406,5.798416865761851
3,31.535524368286133,16.884406494425996,16.81907844543457,17.61915363384666
4,20.573848724365234,23.062026244713373,17.726442337036133,20.58682730817678
5,15.45454216003418,18.673808889720096,20.79384422302246,18.473966138303176
6,29.04994773864746,21.411886143078284,25.448322296142578,28.593977133214405
7,20.45130729675293,21.113005584424823,24.355979919433594,21.87660297599118
8,21.319076538085938,11.582053812742037,19.824995040893555,10.555967657288408
9,29.60992431640625,16.884406494426,25.683902740478516,17.61915363384666
average,25.367012977600098,17.204303408551176,24.425894260406494,19.154156635453862
