,쉰시간포함_MLP_5_5_에너지,쉰시간포함_MLP_5_5_시간(총),쉰시간포함_MLP_5_5_시간(0제외),쉰시간제외_MLP_5_5_에너지,쉰시간제외_MLP_5_5_시간(총),쉰시간제외_MLP_5_5_시간(0제외)
0,111316.90625,170390.6875,84837.8515625,221.96047973632812,2156.714111328125,4312.2216796875
1,35367.56640625,377469.96875,1170.4625244140625,295.6595458984375,330.11016845703125,731.1408081054688
2,58317.94921875,97261.3671875,15135.158203125,2604.071044921875,470.5249328613281,95.49097442626953
3,2576648.75,68429.0625,14606.5615234375,5803.037109375,1504.6033935546875,2144.0078125
4,132916.765625,27535.51171875,61347.73828125,164.4593963623047,1866.2384033203125,1587.3421630859375
5,46112.54296875,142040.609375,52870.53515625,146.94412231445312,4587.7041015625,163.78746032714844
6,32736.248046875,189284.203125,9097.7060546875,685.7450561523438,2319.33544921875,4756.26318359375
7,69321.9140625,286035.3125,3544.8232421875,2.5266969203948975,1627.16064453125,253.855712890625
8,845836.1875,6316.89306640625,113177.5859375,11547.83203125,607.3443603515625,210.78309631347656
9,14318.2490234375,149183.421875,26025.751953125,695.9464721679688,343.62799072265625,2883.996337890625
average,392289.30791015626,151394.70375976563,38181.417443847655,2216.8181955099108,1581.3363555908204,1713.8889228820801
