,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,167.54396057128906,118.96943195108219,53.74906921386719,101.57975508403705
1,30.82266616821289,47.47622211551292,13.313045501708984,38.78471110086157
2,30.22917938232422,89.14711946929144,28.540172576904297,92.37535027172551
3,51.28374481201172,114.82893419494206,39.120361328125,117.91498051404969
4,109.98928833007812,68.26693474286132,47.05413055419922,64.04485830221269
5,83.31838989257812,65.7328309498297,12.56957721710205,78.07514318417907
6,104.18888092041016,156.5254981673314,49.90220642089844,151.1170500498795
7,85.22067260742188,74.79529302656042,22.33777618408203,75.93173852636642
8,4.766979694366455,36.37896175505335,6.640549659729004,36.06786714444652
9,10.076812744140625,60.109305536288936,7.738157749176025,60.44096573578669
average,67.74405751228332,83.22305319087539,28.096504640579223,81.63324199135447
