,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,13.664427757263184,49.76056366117519,13.99826717376709,61.642347071040746
1,21.409271240234375,51.492346296094716,15.695194244384766,56.76085826691142
2,13.315325736999512,48.132383423069726,17.1337947845459,51.08810475844854
3,9.69414234161377,47.84492810795712,12.47159481048584,47.26680482394109
4,9.704362869262695,54.15122298525653,9.316463470458984,59.9796430859447
5,17.746641159057617,53.11352448643573,5.016360282897949,51.38176461682079
6,10.002311706542969,47.970587959880156,6.979761600494385,48.04807126606845
7,9.557042121887207,48.64292642725656,8.643275260925293,44.53191101158118
8,19.67947769165039,68.22996579294825,18.241731643676758,83.01861456572601
9,6.193207740783691,58.79231543659762,5.80509614944458,61.79183885479526
average,13.096621036529541,52.81307645766716,11.330153942108154,56.55099583212782
