,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,77.82968139648438,124.88936442261387,67.17658996582031,141.61043264028464
1,38.838985443115234,53.964818569669085,60.12012481689453,56.6253737847149
2,122.48070526123047,103.72074027041842,98.15721893310547,142.32758430719497
3,55.7943115234375,69.36598275394957,64.6717529296875,72.44413059388613
4,52.43411636352539,48.15663161387767,21.978302001953125,50.485771823171554
5,80.72325134277344,81.34310227529575,92.9275131225586,84.53254515935856
6,37.81334686279297,77.46937571512753,30.699951171875,90.13080855706309
7,92.73136901855469,108.9546716935104,80.79492950439453,147.0631652544998
8,49.69347381591797,82.74779827060838,30.367490768432617,107.45407756918188
9,67.82986450195312,47.867725997616255,73.71035766601562,54.70077198627787
average,67.61691055297851,79.84802115826871,62.06042308807373,94.73746616756334
