,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,113.38883209228516,118.96943195108219,23.852500915527344,101.57975508403705
1,25.02131462097168,47.47622211551292,35.44793701171875,38.78471110086157
2,36.742210388183594,89.14711946929144,33.02206802368164,92.37535027172551
3,47.52138137817383,114.82893419494206,46.74541473388672,117.91498051404969
4,52.1215934753418,68.26693474286132,97.45597076416016,64.04485830221269
5,106.76619720458984,65.7328309498297,30.901870727539062,78.07514318417907
6,93.08551788330078,156.5254981673314,47.98838424682617,151.1170500498795
7,20.656949996948242,74.79529302656042,28.862743377685547,75.93173852636642
8,5.984678745269775,36.37896175505335,10.251114845275879,36.06786714444652
9,10.35627555847168,60.109305536288936,13.062479019165039,60.44096573578669
average,51.164495134353636,83.22305319087539,36.75904836654663,81.63324199135447
