,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,34.71148567199707,64.657357851328,35.61420700073242,64.19673694557487
1,40.2610368347168,76.48510960013328,38.12685966491699,75.30479260293674
2,40.291251487731934,60.79286449511947,36.85616607666016,58.34282897721038
3,54.577864990234374,140.63183687030804,50.8715788269043,142.15393653311384
4,23.448497161865234,48.11324849162966,25.492723999023436,47.74954324635737
5,25.91929214477539,59.18863461239924,25.750038146972656,59.528967293919855
6,22.850891342163084,39.85178048059314,21.761367797851562,39.59689236597607
7,35.74800888061523,47.426173761223566,32.998227462768554,49.506493360027555
8,31.24637390136719,81.84147236075825,38.55696617126465,82.08835437915839
9,31.269129104614258,80.37044985882248,33.45569213867188,90.39079929590282
average,34.03238315200805,69.93589283823151,33.94838272857667,70.8859345000178
