,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,26.514280319213867,151.22604990757338,29.704570770263672,148.47240498536522
1,30.182353973388672,82.63881023735888,40.32410430908203,75.77862031106703
2,25.17820930480957,104.74821685408855,12.486898422241211,80.21360965476516
3,29.004507064819336,130.4088596050957,27.464263916015625,124.16545465561117
4,26.508806228637695,115.19673124709475,25.001192092895508,112.85169699292778
5,10.008008003234863,95.48340263971326,11.46116828918457,85.74347140160494
6,21.51839828491211,94.36587465715346,18.012645721435547,93.84515864340021
7,17.809484481811523,45.25048970883377,15.778664588928223,49.848580586498606
8,28.748517990112305,47.99489348758528,12.221247673034668,57.044295703246185
9,7.080459117889404,102.13881239899865,11.759981155395508,98.16781081550518
average,22.255302476882935,96.94521407434956,20.421473693847656,92.61311037499915
