,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,20.124845504760742,23.589417627949764,20.751840591430664,15.645800142824037
1,2.1335275173187256,12.201759253866754,2.270545482635498,11.534453828763676
2,1.7953174114227295,10.507971755169107,1.3663430213928223,10.77547278652331
3,3.0699973106384277,10.76174116130719,2.262559413909912,11.403089272471991
4,2.1532506942749023,10.913616874261049,2.466791868209839,10.41277259509273
5,10.510835647583008,16.00993799616238,7.326210975646973,16.073316081309684
6,2.213041305541992,6.970030948674284,1.6351712942123413,6.68949794137927
7,7.580317497253418,15.018364567820534,2.7161083221435547,12.210250916606737
8,2.1668949127197266,11.755382702238073,1.9425303936004639,12.091049939394455
9,7.5652594566345215,19.334946224958113,1.991178035736084,18.19353398546793
average,5.9313287258148195,13.706316911240725,4.472927939891815,12.502923748983381
