,쉰시간포함_MLP_5_5_에너지,쉰시간포함_KNN_5_5_에너지,쉰시간제외_MLP_5_5_에너지,쉰시간제외_KNN_5_5_에너지
0,25.28050422668457,54.52173028998249,50.62489700317383,69.52007437190858
1,167.34524536132812,75.03218482751848,207.2794189453125,68.49974485008094
2,76.66792297363281,109.40140274981181,45.72016143798828,80.90622907613884
3,489.6063232421875,338.8995783129356,80.18965148925781,335.40396786682123
4,44.527835845947266,45.619847590422914,44.38310241699219,45.662877642969576
5,275.9439697265625,318.9776937114588,101.13896179199219,287.22421390922244
6,74.92813873291016,77.2050807304151,18.035673141479492,67.80242864543521
7,76.58234405517578,318.9776937114588,67.01254272460938,287.22421390922244
8,23.169301986694336,100.2345655824398,28.200855255126953,60.6741080035726
9,52.079524993896484,39.26272700673526,34.058589935302734,36.423785090540676
average,130.61311111450195,147.8132504513179,67.66438541412353,133.93416433659127
