,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,2501.09716796875,301.61062059755244,2668.622314453125,384.0581983462588
1,1144.8302001953125,505.9389872037673,546.6199340820312,506.335120653212
2,16.845096588134766,47.7789686929421,5.800473213195801,44.197695599332846
3,1735.74951171875,369.0977672104919,2268.103515625,374.024540001743
4,2621.904541015625,388.3955834307622,35.90242004394531,315.758905171827
5,12.42033863067627,50.55794854447677,13.451421737670898,54.90428599033537
6,9.903443336486816,38.71376066995251,13.312204360961914,29.24704965886028
7,1334.4044189453125,493.6099980773348,496.22705078125,494.0000760617939
8,10.51464557647705,81.58869421576298,17.15900421142578,98.96688595156552
9,23.519437789916992,28.037240260328193,8.689250946044922,30.980934772845455
average,941.1188801765442,230.53295689033718,607.388758945465,233.24736922077741
