,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,4.086872577667236,23.82203430690277,3.287306785583496,23.372275703421117
1,9.290658950805664,35.31426306036303,5.087178707122803,30.915284341341
2,4.445383548736572,41.08031249164874,4.590058326721191,37.96418594429316
3,4.159363746643066,21.65626397147741,5.363004207611084,23.063711749397562
4,4.172050476074219,21.798587428467638,3.5545902252197266,23.035733621434755
5,2.8739771842956543,16.81571429832133,2.8435816764831543,15.376712218896396
6,6.17635440826416,28.58506540390987,3.3551249504089355,27.251468807336828
7,2.332321882247925,23.08398900243132,3.149394989013672,23.676960240030706
8,3.740410327911377,22.791271316559957,2.7272491455078125,22.886908470431656
9,3.6728434562683105,23.00591215104823,5.063478469848633,22.182240503624463
average,4.495023655891418,25.79534134311303,3.902096748352051,24.97254816002076
