,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,117.61795043945312,109.04411329669625,113.91625213623047,129.6009336279234
1,63.33595275878906,70.49939822413988,52.58415985107422,67.68080050307354
2,114.60797882080078,60.351315797880446,80.73342895507812,58.61628301918117
3,167.84933471679688,77.91905446547084,101.77826690673828,73.71926147430203
4,103.76025390625,77.38949873204089,64.2388916015625,98.72195884749733
5,155.19818115234375,34.95088255933115,140.5203094482422,39.78339478730141
6,74.10990905761719,111.41372412905457,52.94378662109375,116.52429889077001
7,59.29249572753906,86.47191704809293,103.0707778930664,88.44242411858185
8,71.80842590332031,93.4972646871224,66.3530044555664,92.0536149886494
9,87.59506225585938,76.58856990471938,85.03009033203125,83.19883575308369
average,101.51755447387696,79.81257388445488,86.11689682006836,84.8341806010364
