,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,2.2160637378692627,9.758859889322792,2.0932629108428955,9.555395598458068
1,8.245780944824219,24.44974288738333,5.912730693817139,23.987570609687182
2,1.948805809020996,11.245101910125847,2.93928861618042,10.030224646160637
3,3.2621712684631348,11.380382042582267,5.421489238739014,10.966919923114004
4,4.953949928283691,11.358589499778132,3.832263231277466,10.689389045024075
5,7.984553813934326,15.696546808486584,3.466559886932373,16.086476889272593
6,1.4429028034210205,7.45105240941577,1.3229855298995972,8.052287713697078
7,3.3195688724517822,8.184612726187588,3.074188470840454,8.499628081473972
8,5.131678581237793,15.692618466834737,1.6871224641799927,10.609256761662635
9,3.4997777938842773,13.514185785560862,4.118980884552002,12.994764455786623
average,4.2005253553390505,12.873169242567792,3.3868871927261353,12.147191372433687
