,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,64.99685668945312,43.54861484394682,66.63543701171875,51.02002280558304
1,83.96031188964844,48.5174971249368,63.584800720214844,77.18521131402873
2,97.20187377929688,70.64380444282222,77.96527099609375,79.9801391103712
3,84.41078186035156,73.92060797373638,76.7935791015625,80.26329524321861
4,43.56769561767578,52.001123891871806,39.75303649902344,67.38545023047227
5,49.89242935180664,38.25524973359922,65.06895446777344,53.810165270519704
6,53.726680755615234,29.21083204895089,61.160152435302734,36.6385779789317
7,152.38926696777344,96.51561307317829,164.47813415527344,126.8490118904547
8,57.35261154174805,39.6954797190109,57.767574310302734,78.42072177886304
9,87.42889404296875,59.67448149977492,90.68885803222656,54.681588822155355
average,77.49274024963378,55.19833043518283,76.38957977294922,70.62341844445983
