,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,62.8363151550293,65.20399403717582,56.720279693603516,66.0939637481614
1,87.48640441894531,57.9702490888703,84.2259521484375,56.27723858473733
2,86.21346282958984,47.6985269249844,79.98373413085938,56.5089500436018
3,66.29821014404297,70.81465642077659,63.88518142700195,73.02550196360991
4,56.539573669433594,49.39806114488599,75.84857940673828,49.26108986210945
5,77.44839477539062,56.615015536201426,76.1469955444336,62.58442205616481
6,46.01926040649414,49.35423512435163,51.08524703979492,49.395749950746826
7,65.08058166503906,59.525081360902554,77.32586669921875,64.33273052633172
8,63.38839340209961,50.37748833546504,64.22921752929688,49.47752725105032
9,69.19219207763672,53.90290901713678,64.8697509765625,60.93078623306386
average,68.05027885437012,56.08602169907506,69.43208045959473,58.78879602195774
