,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,54.83280012342665,59.57715418763063,55.15165985955132,130.4531497635863
1,59.70138804117838,65.37710899073359,57.6255972120497,113.39757794537893
2,57.82663006252713,91.81168104520565,45.76422627766927,98.46822078622652
3,41.005975511338974,61.98328118184487,51.14197285970052,117.12042965183976
4,53.81781980726454,54.48032203456423,52.259977128770615,117.34235064742673
5,39.765265146891274,57.248768676000616,48.12566163804796,129.69213821004217
6,68.50791252983942,61.05582418444274,51.553826649983726,111.56524873322323
7,46.638976626925995,52.59275832834454,52.977254443698456,115.8303926077207
8,45.68708207872179,103.55036571926104,54.32772360907661,214.1921774673841
9,82.81610997517903,113.37425067074638,55.82134077284071,145.89347012051653
average,55.05999599032932,72.10515150187743,52.47492404513889,129.39551559333447
