,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,65.73856353759766,64.79694241746265,56.28925323486328,73.76221143526952
1,71.67163848876953,125.07705609651212,50.40803527832031,134.13966919178864
2,61.05277633666992,94.30285235125919,47.530235290527344,97.50197226513477
3,171.03895568847656,121.67077829638566,53.583648681640625,127.08877507484553
4,61.44398880004883,99.93222403502911,59.728965759277344,99.23332008974589
5,86.33094024658203,95.86069860002348,60.76032638549805,97.45820240171588
6,213.83660888671875,242.39223196966017,140.3206024169922,235.90450416311734
7,741.147705078125,335.3365138195068,425.45465087890625,338.31610893731994
8,46.72669219970703,40.42822820997426,53.73143768310547,45.447739748656915
9,169.20022583007812,83.08756284395425,52.52244186401367,87.07072908376887
average,168.81880950927734,130.28850886397677,100.03295974731445,133.5923232391363
