,½®½Ã°£Æ÷ÇÔ_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Æ÷ÇÔ_KNN_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_MLP_5_5_½Ã°£(ÃÑ),½®½Ã°£Á¦¿Ü_KNN_5_5_½Ã°£(ÃÑ)
0,49.971248511112094,64.11442775783122,51.64858176491477,94.39448649610519
1,53.298217628941394,109.34890605862464,65.06656247919256,166.1098384770825
2,53.5085053877397,59.578851426872184,47.34310658772787,73.40651658346911
3,72.95260898994677,102.84528257557103,69.60084481672807,122.80599144560611
4,50.744053927334875,108.48158627122456,47.07741968559496,152.5187325340822
5,102.85950250336619,81.44437568897189,56.66454326745236,103.72836069447473
6,90.12512677366084,67.3390592525156,59.98193272677335,80.45399570537529
7,64.66461990818833,102.58044380301004,57.09917935458097,150.6264093196794
8,104.05893938469164,114.93825874215264,60.235545302882336,143.67569083289663
9,63.568920713482484,45.34083264489273,78.57345107107452,63.90263204294073
average,70.57517437284643,85.60120242216665,59.32911670569217,115.16226541317118
