,가열로 번호,cycle,시작시간,종료시간,가스사용량,Type,소재 list,작업일자,주/야간,평일/주말,in,out,drop_flag,gradient,part_types,temp diff,time diff,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,종료온도,최종 가열시작 온도,평균온도,겹침수량,직전 사이클 소재 수량,겹침여부
0,1,3,2020-03-06 06:46:00,2020-03-06 07:32:00,191.9,heat,['180904-12339-055'],2020-03-06,야간,평일,,,0,561.9130435,increasing 0,430.8,0.766666667,1259.4,2020-03-06 06:57:00,1,1,828.6,2020-03-06 06:45:00,768.6,2020-03-06 06:33:00,1259.4,1147.1,,0,7,안겹침
1,1,5,2020-03-10 06:40:00,2020-03-10 08:05:00,376.8,heat,"['200205-19922-001', '200205-19922-001', '200205-19922-001', '200212-19004-002', '200212-19004-001', '200116-19334-002']",2020-03-10,야간,평일,,,0,404.4,increasing 0,572.9,1.416666667,1165.6,2020-03-10 07:48:00,5,6,592.7,2020-03-10 06:40:00,592.7,2020-03-10 06:25:00,1165.6,1086.8,,0,7,안겹침
2,1,7,2020-03-17 06:51:00,2020-03-17 07:43:00,211.3,heat,"['200214-19235-001', '200214-19235-002', '191125-19581-002']",2020-03-17,야간,평일,,,0,470.1923077,increasing 0,407.5,0.866666667,1252.7,0,0,2,845.2,2020-03-17 06:50:00,717.5,2020-03-17 06:39:00,1252.7,0,,0,9,안겹침
3,1,12,2020-03-25 06:56:00,2020-03-25 08:57:00,506.9,heat,"['200130-12321-001', '200130-12321-002', '200204-19411-046', '200204-19411-046']",2020-03-25,야간,평일,,,0,381.0743802,increasing 0,768.5,2.016666667,1200.3,2020-03-25 08:44:00,2,10,431.8,2020-03-25 06:56:00,431.8,2020-03-25 06:00:00,1200.3,1126.6,,0,8,안겹침
4,1,13,2020-03-26 03:44:00,2020-03-26 06:10:00,558.1,heat,"['200214-19235-001', '200214-19235-002', '200212-15045-001', '200212-15045-001']",2020-03-26,야간,평일,,,0,332.260274,increasing 0,808.5,2.433333333,1191.5,2020-03-26 05:27:00,4,6,383,2020-03-26 03:44:00,383,2020-03-25 23:37:00,1191.5,1065.5,,0,4,안겹침
5,1,26,2020-04-24 06:59:00,2020-04-24 08:44:00,447.2,heat,"['200330-15133-001', '200414-15622-001', '200312-99914-039', '200312-99914-039', '200312-99914-039']",2020-04-24,야간,평일,,,0,330.4,increasing 0,578.2,1.75,1238.4,0,0,2,660.2,2020-04-24 07:00:00,764.7,2020-04-24 06:44:00,1238.4,0,,0,8,안겹침
6,1,28,2020-04-26 07:55:00,2020-04-26 08:08:00,17.7,heat,"['200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012']",2020-04-27,주간,주말,,,0,349.8461538,increasing 0,75.8,0.216666667,659.9,0,0,145,584.1,2020-04-26 07:56:00,610.1,2020-04-26 05:56:00,659.9,0,,0,4,안겹침
7,1,33,2020-05-07 18:05:00,2020-05-07 19:49:00,425.5,heat,"['200212-15045-013', '200212-15045-013', '200212-15045-013', '200212-15045-013', '200212-15045-013', '200212-15045-013']",2020-05-08,주간,평일,,,0,408.8076923,increasing 0,708.6,1.733333333,1245.1,0,0,4,536.5,2020-05-07 06:05:00,885.3,2020-05-07 02:18:00,1245.1,0,,0,7,안겹침
8,1,34,2020-05-09 02:51:00,2020-05-09 04:18:00,370.6,heat,"['200212-15045-011', '200212-15045-011', '200212-15045-011', '200212-15045-011', '200212-15045-011', '200212-15045-011', '200330-15006-019', '200330-15006-018']",2020-05-09,야간,주말,,,0,438.9655172,increasing 0,636.5,1.45,1253.6,0,0,1,617.1,2020-05-09 02:50:00,544.8,2020-05-08 11:25:00,1253.6,0,,0,6,안겹침
9,1,39,2020-05-27 07:13:00,2020-05-27 10:05:00,675.1,heat,"['200527-051', '200527-051', '200527-051', '200527-051', '200527-051', '200417-12321-001', '200407-19001-020']",2020-05-27,야간,평일,,,0,267.7674419,increasing 0,767.6,2.866666667,1256.4,0,0,6,488.8,2020-05-27 07:10:00,547,2020-05-27 06:10:00,1256.4,0,,0,8,안겹침
10,1,47,2020-06-10 06:37:00,2020-06-10 08:09:00,364.2,heat,"['200520-15007-009', '200520-15007-009', '200519-15205-002', '200519-15205-002', '200519-15205-002', '200519-15205-002']",2020-06-10,야간,평일,,,0,153.326087,increasing 0,235.1,1.533333333,1260.7,0,0,1,1025.6,2020-06-10 06:33:00,738.9,2020-06-10 06:13:00,1260.7,0,,0,6,안겹침
11,1,53,2020-06-23 04:33:00,2020-06-23 06:44:00,655,heat,"['200605-19004-001', '200620-19711-009', '200620-19711-008', '200620-19711-007', '200620-19711-006', '200620-19711-005', '200620-19711-004']",2020-06-23,야간,평일,,,0,293.1755725,increasing 0,640.1,2.183333333,1255.5,0,0,5,615.4,2020-06-23 04:33:00,615.4,2020-06-23 03:38:00,1255.5,0,,0,6,안겹침
12,1,57,2020-06-29 19:16:00,2020-06-29 21:35:00,679.2,heat,"['200623-12494-004', '200623-12494-003', '200623-12494-002', '200623-12494-001']",2020-06-30,주간,주말,,,0,273.323741,increasing 0,633.2,2.316666667,1254.2,0,0,3,621,2020-06-29 19:16:00,621,2020-06-29 18:22:00,1254.2,0,,0,1,안겹침
13,1,59,2020-07-01 20:51:00,2020-07-01 22:15:00,411.6,heat,"['200529-30409-021', '200529-30409-022', '200529-30409-023', '200529-30409-024', '200529-30409-025', '200529-30409-026', '200529-30409-027', '200529-30409-028']",2020-07-02,주간,평일,,,0,297.1428571,increasing 0,416,1.4,1254.8,0,0,7,838.8,2020-07-01 20:51:00,838.8,2020-07-01 10:06:00,1254.8,0,,8,8,겹침
14,2,1,2020-03-03 04:44:00,2020-03-03 06:53:00,1289.9,heat,"['200204-19180-573', '200204-19180-572', '200204-19180-571', '200204-19180-570', '200204-19180-569', '200204-19180-567', '200204-19180-568']",2020-03-03,야간,평일,,,0,404.8837209,increasing 0,870.5,2.15,1255.3,2020-03-03 04:44:00,0,2,384.8,2020-03-03 04:45:00,427.1,2020-03-02 22:35:00,1255.3,384.8,,0,4,안겹침
15,2,2,2020-03-04 02:30:00,2020-03-04 05:17:00,1002.3,heat,"['200204-19180-581', '200204-19180-580', '200204-19180-582', '200204-19180-583', '200204-19180-585', '200204-19180-584']",2020-03-04,야간,평일,,,0,55.58083832,increasing 0,154.7,2.783333333,1251.8,2020-03-04 04:06:00,2,60,1097.1,2020-03-04 02:30:00,1097.1,2020-03-04 02:03:00,1251.8,533,,0,7,안겹침
