,가열로 번호,cycle,시작시간,종료시간,가스사용량,Type,소재 list,작업일자,주/야간,평일/주말,in,out,drop_flag,gradient,part_types,temp diff,time diff,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,종료온도,최종 가열시작 온도,평균온도,겹침수량,직전 사이클 소재 수량,겹침여부
0,1,0.0,2020-03-02 06:20:00,2020-03-02 06:28:00,43.0,reheat,[],,,,,,0.0,,,,,,,,0.0,1128.7,,,,,,,0,0.0,안겹침
1,1,0.0,2020-03-02 06:30:00,2020-03-02 07:35:00,362.1000000005588,reheat,[],,,,,,0.0,,,,,,,,0.0,1138.1,,,,,,,2,2.0,겹침
2,1,0.0,2020-03-02 10:52:00,2020-03-02 10:59:00,28.29999999981373,reheat,[],,,,,,0.0,,,,,,,,0.0,969.1,,,,,,,2,2.0,겹침
3,1,0.0,2020-03-03 04:52:00,2020-03-03 05:01:00,25.0,reheat,[],,,,,,0.0,,,,,,,,0.0,1082.9,,,,,,,2,2.0,겹침
4,1,0.0,2020-03-03 06:17:00,2020-03-03 06:24:00,17.900000000372533,reheat,[],,,,,,0.0,,,,,,,,0.0,1099.0,,,,,,,2,2.0,겹침
5,1,0.0,2020-03-03 06:35:00,2020-03-03 06:44:00,17.899999999441203,reheat,[],,,,,,0.0,,,,,,,,2.0,1149.1,,,,,,,2,2.0,겹침
6,1,0.0,2020-03-03 06:54:00,2020-03-03 07:02:00,16.200000000186265,reheat,[],,,,,,0.0,,,,,,,,1.0,1202.3,,,,,,,2,2.0,겹침
7,1,0.0,2020-03-03 07:13:00,2020-03-03 07:16:00,8.899999999441206,reheat,[],,,,,,0.0,,,,,,,,1.0,1112.4,,,,,,,2,2.0,겹침
8,1,0.0,2020-03-03 07:19:00,2020-03-03 07:27:00,23.199999999254945,reheat,[],,,,,,0.0,,,,,,,,1.0,1026.4,,,,,,,2,2.0,겹침
9,1,0.0,2020-03-03 07:40:00,2020-03-03 07:42:00,7.2000000001862645,reheat,[],,,,,,0.0,,,,,,,,0.0,1103.1,,,,,,,2,2.0,겹침
10,1,0.0,2020-03-03 07:44:00,2020-03-03 07:50:00,19.700000000186265,reheat,[],,,,,,0.0,,,,,,,,0.0,1003.2,,,,,,,2,2.0,겹침
11,1,0.0,2020-03-03 07:55:00,2020-03-03 08:10:00,26.800000000745055,reheat,[],,,,,,0.0,,,,,,,,3.0,1214.5,,,,,,,2,2.0,겹침
12,1,0.0,2020-03-03 08:34:00,2020-03-03 08:38:00,10.800000000745056,reheat,[],,,,,,0.0,,,,,,,,1.0,1174.5,,,,,,,2,2.0,겹침
13,1,1.0,2020-03-04 06:45:00,2020-03-04 07:32:00,258.29999999981374,reheat,"['200204-19411-029', '200204-19411-029', '200204-19411-029', '200204-19411-029']",2020-03-04,야간,,,,0.0,,,,,,,,0.0,1131.1,,,,,,,2,2.0,겹침
14,1,1.0,2020-03-04 20:19:00,2020-03-04 20:25:00,12.5,reheat,"['200204-19411-029', '200204-19411-029', '200204-19411-029', '200204-19411-029']",2020-03-04,야간,,,,0.0,,,,,,,,2.0,1146.7,,,,,,,80,80.0,겹침
15,1,1.0,2020-03-05 04:43:00,2020-03-05 04:50:00,16.40000000037253,reheat,"['200204-19411-029', '200204-19411-029', '200204-19411-029', '200204-19411-029']",2020-03-04,야간,,,,0.0,,,,,,,,0.0,1126.1,,,,,,,80,80.0,겹침
16,1,1.0,2020-03-05 05:10:00,2020-03-05 05:17:00,16.399999999441203,reheat,"['200204-19411-029', '200204-19411-029', '200204-19411-029', '200204-19411-029']",2020-03-04,야간,,,,0.0,,,,,,,,1.0,1119.7,,,,,,,80,80.0,겹침
17,1,1.0,2020-03-05 05:36:00,2020-03-05 05:44:00,18.200000000186265,reheat,"['200204-19411-029', '200204-19411-029', '200204-19411-029', '200204-19411-029']",2020-03-04,야간,,,,0.0,,,,,,,,0.0,1115.1,,,,,,,80,80.0,겹침
18,1,2.0,2020-03-06 02:31:00,2020-03-06 02:39:00,21.799999999813732,reheat,"['200204-19411-034', '200204-19411-034', '200204-19411-034', '200204-19411-034', '200212-19042-008', '200212-19042-008', '200212-19042-008']",2020-03-05,야간,,,,0.0,,,,,,,,3.0,1050.7,,,,,,,133,80.0,겹침
19,1,2.0,2020-03-06 03:42:00,2020-03-06 03:47:00,12.700000000186265,reheat,"['200204-19411-034', '200204-19411-034', '200204-19411-034', '200204-19411-034', '200212-19042-008', '200212-19042-008', '200212-19042-008']",2020-03-05,야간,,,,0.0,,,,,,,,1.0,1174.3,,,,,,,140,140.0,겹침
20,1,2.0,2020-03-06 03:56:00,2020-03-06 03:59:00,5.5,reheat,"['200204-19411-034', '200204-19411-034', '200204-19411-034', '200204-19411-034', '200212-19042-008', '200212-19042-008', '200212-19042-008']",2020-03-05,야간,,,,0.0,,,,,,,,1.0,1122.0,,,,,,,140,140.0,겹침
21,1,2.0,2020-03-06 04:08:00,2020-03-06 04:13:00,12.700000000186265,reheat,"['200204-19411-034', '200204-19411-034', '200204-19411-034', '200204-19411-034', '200212-19042-008', '200212-19042-008', '200212-19042-008']",2020-03-05,야간,,,,0.0,,,,,,,,0.0,1131.2,,,,,,,140,140.0,겹침
22,1,2.0,2020-03-06 04:24:00,2020-03-06 04:30:00,14.5,reheat,"['200204-19411-034', '200204-19411-034', '200204-19411-034', '200204-19411-034', '200212-19042-008', '200212-19042-008', '200212-19042-008']",2020-03-05,야간,,,,0.0,,,,,,,,2.0,1160.4,,,,,,,140,140.0,겹침
23,1,2.0,2020-03-06 04:46:00,2020-03-06 04:53:00,16.40000000037253,reheat,"['200204-19411-034', '200204-19411-034', '200204-19411-034', '200204-19411-034', '200212-19042-008', '200212-19042-008', '200212-19042-008']",2020-03-05,야간,,,,0.0,,,,,,,,2.0,1182.3,,,,,,,140,140.0,겹침
24,1,2.0,2020-03-06 06:17:00,2020-03-06 06:24:00,14.599999999627473,reheat,"['200204-19411-034', '200204-19411-034', '200204-19411-034', '200204-19411-034', '200212-19042-008', '200212-19042-008', '200212-19042-008']",2020-03-05,야간,,,,0.0,,,,,,,,1.0,1103.1,,,,,,,140,140.0,겹침
25,1,3.0,2020-03-07 01:53:00,2020-03-07 01:57:00,10.800000000745056,reheat,['180904-12339-055'],2020-03-06,야간,,,,0.0,,,,,,,,0.0,1156.7,,,,,,,18,140.0,겹침
26,1,3.0,2020-03-07 02:05:00,2020-03-07 02:16:00,23.5,reheat,['180904-12339-055'],2020-03-06,야간,,,,0.0,,,,,,,,4.0,1087.3,,,,,,,20,20.0,겹침
