,가열로 번호,cycle,시작시간,종료시간,가스사용량,Type,소재 list,작업일자,주/야간,평일/주말,in,out,drop_flag,gradient,part_types,temp diff,time diff,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,종료온도,최종 가열시작 온도,평균온도,겹침수량,직전 사이클 소재 수량,겹침여부
0,1,15,2020-03-29 13:10:00,2020-03-29 20:54:00,797.5,heat,"['200131-15200-005', '200131-15200-006', '200131-15200-015', '200131-15200-016', '200203-19968-001']",2020-03-30,야간,주말,,,0,0.219827586,holding 0,1.7,7.733333333,852.4,2020-03-29 12:22:00,1,230,854.1,2020-03-28 09:06:00,312.1,0,852.4,766,,5,5,겹침
1,1,18,2020-04-06 12:03:00,2020-04-06 13:37:00,279.1,heat,"['200131-15200-011', '200131-15200-013', '200131-15200-014', '200131-15200-012']",2020-04-06,주간,주말,,,0,17.04255319,holding 0,26.7,1.566666667,1116.2,2020-04-06 13:41:00,19,71,1089.5,2020-04-05 07:20:00,283.9,0,1116.2,1108.1,,4,4,겹침
2,1,28,2020-04-26 08:08:00,2020-04-26 09:47:00,63.3,heat,"['200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012']",2020-04-27,주간,주말,,,0,0,holding 0,0,1.65,659.9,0,0,145,659.9,2020-04-26 07:56:00,610.1,0,659.9,0,,9,9,겹침
3,1,32,2020-05-05 14:02:00,2020-05-05 17:45:00,535.6,heat,"['200205-19922-004', '200205-19922-004', '200205-19922-004', '200205-19922-004', '200205-19922-004', '200205-19922-003', '200205-19922-003', '200205-19922-003']",2020-05-06,야간,평일,,,0,0.457399103,holding 0,1.7,3.716666667,861.4,0,0,129,863.1,2020-05-05 07:30:00,176.3,0,861.4,0,,8,8,겹침
4,1,37,2020-05-23 07:54:00,2020-05-24 22:23:00,1409.9,heat,"['200521-19226-004', '200521-19226-004', '200521-19226-004', '200521-19226-004', '200521-19226-004', '200521-19226-004', '200521-19226-004', '200521-19226-004']",2020-05-25,야간,주말,,,0,0.153313123,holding 0,5.9,38.48333333,362.1,0,0,1561,356.2,2020-05-23 07:30:00,133.7,0,362.1,0,,8,8,겹침
5,1,56,2020-06-28 05:14:00,2020-06-28 07:45:00,216.6,heat,"['200513-13530-005', '가열로다이', '가열로다이', '가열로다이']",2020-06-29,주간,주말,,,0,1.82781457,holding 0,4.6,2.516666667,707,0,0,93,711.6,2020-06-27 06:50:00,390.4,0,707,0,,4,4,겹침
6,2,26,2020-04-11 21:17:00,2020-04-12 18:21:00,830.6,heat,"['200401-19234-008', '200401-19234-008', '200305-15133-005', '200305-15133-005', '200212-15045-001', '200401-19234-009', '200401-19234-009']",2020-04-13,야간,주말,,,0,0.579113924,holding 0,12.2,21.06666667,349.6,0,0,824,337.4,2020-04-11 13:47:00,371.5714437,0,349.6,0,,1,4,겹침
7,2,37,2020-04-26 08:22:00,2020-04-26 10:46:00,149.4,heat,"['200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200323-19998-012', '200311-19133-001', '200311-19133-003']",2020-04-27,주간,주말,,,0,5.25,holding 0,12.6,2.4,686.8,0,0,107,674.2,2020-04-26 07:30:00,516.4,0,686.8,0,,9,9,겹침
8,2,38,2020-04-27 17:04:00,2020-04-28 09:22:00,2168.7,heat,"['200326-19313-001', '200326-19313-001', '200212-15045-001', '200212-15045-001', '200323-19476-002', '200323-19476-002']",2020-04-28,주간,주말,,,0,1.067484663,holding 0,17.4,16.3,1054.1,2020-04-28 09:36:00,6,127,1071.5,2020-04-27 13:43:00,1061.4,0,1054.1,762.9,,6,6,겹침
9,2,44,2020-05-10 14:21:00,2020-05-10 21:56:00,240,heat,"['200407-19001-012', '200407-19001-011', '200407-19001-010', '200415-15008-006', '200205-19922-003', '200205-19922-003', '200205-19922-003']",2020-05-11,야간,주말,,,0,0.487912088,holding 0,3.7,7.583333333,353.3,0,0,322,349.6,2020-05-10 08:16:00,359.6,0,353.3,0,,0,9,안겹침
