,에너지,가열시작시간,가열종료시간,시간(총),시간(0제외),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,212.3,2020-03-02 14:24:00,2020-03-02 14:55:00,1860.0,1800.0,663.8,1251.6,3,140500.0,67500,CARBON,0,1,0,0,0.0,0,3,140500.0,67500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,140500.0,67500,900.0,0,누락없음,17,2020-03-02,야간,월,안겹침,이상없음,1,0,C,주말,0
1,388.5,2020-03-02 18:03:00,2020-03-02 18:35:00,1920.0,1800.0,811.2,1260.5,4,148200.0,61600,CARBON,0,1,0,0,0.0,0,4,148200.0,61600,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,148200.0,61600,0,0.0,0,24660.0,0,누락없음,20,2020-03-03,야간,월,안겹침,이상없음,2,0,C,주말,0
2,384.0,2020-03-03 05:08:00,2020-03-03 05:52:00,2640.0,2580.0,906.3,1251.7,3,38600.0,17100,CARBON,0,1,0,0,0.0,0,2,30850.0,17100,1,7750.0,7750,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,17100.0,17100,2,21500.0,13750,2640.0,0,누락없음,3,2020-03-03,야간,화,안겹침,이상없음,2,0,CS,평일,0
3,1289.9,2020-03-03 04:44:00,2020-03-03 06:53:00,7740.0,7620.0,384.8,1255.3,7,103950.0,14850,ALLOY,1,0,0,7,103950.0,14850,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,103950.0,14850,22140.0,0,누락없음,2,2020-03-03,야간,화,안겹침,이상없음,4,0,A,평일,0
4,444.4,2020-03-02 17:06:00,2020-03-02 17:42:00,2160.0,2100.0,660.1,1244.3,6,125030.0,61600,CARBON,0,1,0,0,0.0,0,6,125030.0,61600,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,61600.0,61600,5,63430.0,20750,720.0,0,누락없음,18,2020-03-03,주간,월,안겹침,이상없음,6,0,C,주말,0
5,105.8,2020-03-03 05:56:00,2020-03-03 06:10:00,840.0,780.0,903.5,1244.2,2,73000.0,36500,CARBON,0,1,0,0,0.0,0,2,73000.0,36500,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,73000.0,36500,300.0,0,누락없음,17,2020-03-03,주간,화,겹침,이상없음,3,2,C,평일,0
6,1022.8,2020-03-03 15:35:00,2020-03-03 17:13:00,5880.0,5820.0,738.6,1254.9,9,113820.0,14850,ALLOY,1,0,0,6,89100.0,14850,3,24720.0,8240,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,9,113820.0,14850,1680.0,0,누락없음,4,2020-03-04,주간,화,안겹침,이상없음,8,0,AC,평일,0
7,1037.7,2020-03-03 18:55:00,2020-03-03 20:56:00,7260.0,7080.0,520.2,1255.3,6,82640.0,15700,CARBON,0,1,0,0,0.0,0,6,82640.0,15700,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,6,82640.0,15700,2100.0,0,누락없음,17,2020-03-04,주간,화,안겹침,이상없음,2,0,C,평일,0
8,490.1,2020-03-04 05:28:00,2020-03-04 06:20:00,3120.0,3060.0,851.6,1252.3,7,94360.0,13480,ALLOY,1,0,0,7,94360.0,13480,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,94360.0,13480,1080.0,0,누락없음,3,2020-03-04,야간,수,안겹침,이상없음,3,0,A,평일,0
9,733.3,2020-03-04 04:48:00,2020-03-04 05:50:00,3720.0,3600.0,554.9,1264.2,4,88100.0,32200,CARBON,0,1,0,0,0.0,0,4,88100.0,32200,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,48000.0,24000,2,40100.0,32200,1260.0,0,누락없음,20,2020-03-04,야간,수,겹침,이상없음,4,1,C,평일,0
10,534.7,2020-03-05 05:45:00,2020-03-05 06:24:00,2340.0,2220.0,723.6,1240.9,4,111500.0,36200,CARBON,0,1,0,0,0.0,0,4,111500.0,36200,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,24000.0,24000,3,87500.0,36200,720.0,0,누락없음,20,2020-03-05,야간,목,안겹침,이상없음,4,0,C,평일,0
11,700.8,2020-03-04 16:07:00,2020-03-04 17:13:00,3960.0,3900.0,388.2,1256.3,5,109720.0,38100,ALLOY,1,0,0,1,38100.0,38100,2,48000.0,24000,2,23620.0,11810,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,48000.0,24000,3,61720.0,38100,8220.0,0,누락없음,17,2020-03-05,주간,수,안겹침,이상없음,6,0,ACS,평일,0
12,75.7,2020-03-04 14:16:00,2020-03-04 14:37:00,1260.0,1200.0,1084.2,1271.8,5,83500.0,20350,CARBON,0,1,0,0,0.0,0,5,83500.0,20350,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,83500.0,20350,360.0,0,누락없음,4,2020-03-05,주간,수,안겹침,이상없음,9,0,C,평일,0
