,가열로번호,에너지,시작시간,종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,cycle,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,17,1230.4000000000233,2020-03-02 21:04:00,2020-03-03 00:54:00,13800.0,1267.8,1264.7,3,140500.0,67500,CARBON,0,1,0,1.0,0,0.0,0,3,140500.0,67500,이상없음,0
1,17,1354.1000000000931,2020-03-03 10:37:00,2020-03-03 17:44:00,25620.0,1244.9,1265.3,2,73000.0,36500,CARBON,0,1,0,2.0,0,0.0,0,2,73000.0,36500,이상없음,0
2,17,2952.3000000000466,2020-03-03 21:57:00,2020-03-04 08:39:00,38520.0,1261.4,1268.7,6,82640.0,15700,CARBON,0,1,0,3.0,0,0.0,0,6,82640.0,15700,이상없음,0
3,17,334.80000000004657,2020-03-04 11:29:00,2020-03-04 13:12:00,6180.0,1245.7,1264.4,6,82640.0,15700,CARBON,0,1,0,3.0,0,0.0,0,6,82640.0,15700,이상없음,0
4,17,1326.6999999999534,2020-03-06 03:44:00,2020-03-06 07:39:00,14100.0,1238.3,1253.2,4,113680.0,36200,ALLOY,1,0,0,5.0,0,0.0,0,4,113680.0,36200,이상없음,0
5,17,509.2000000001863,2020-03-06 08:48:00,2020-03-06 11:06:00,8280.0,1251.3,1263.9,4,113680.0,36200,ALLOY,1,0,0,5.0,0,0.0,0,4,113680.0,36200,이상없음,0
6,17,213.0,2020-03-06 11:56:00,2020-03-06 12:58:00,3720.0,1249.6,1250.1,4,113680.0,36200,ALLOY,1,0,0,5.0,0,0.0,0,4,113680.0,36200,이상없음,0
7,17,462.0999999998603,2020-03-06 21:30:00,2020-03-06 22:57:00,5220.0,1244.5,1247.8,2,66680.0,36200,ALLOY,1,0,0,6.0,0,0.0,0,2,66680.0,36200,이상없음,0
8,17,1731.0,2020-03-07 00:06:00,2020-03-07 05:20:00,18840.0,1245.7,1253.0,2,66680.0,36200,ALLOY,1,0,0,6.0,0,0.0,0,2,66680.0,36200,이상없음,0
9,17,4643.100000000093,2020-03-09 16:17:00,2020-03-10 09:35:00,62280.0,1260.8,1268.7,3,193323.0,173703,CARBON,0,1,0,7.0,0,0.0,0,3,193323.0,173703,이상없음,0
10,17,336.69999999995343,2020-03-16 11:07:00,2020-03-16 12:57:00,6600.0,1245.1,1259.0,9,121375.0,26500,CARBON,0,1,0,11.0,0,0.0,0,9,121375.0,26500,이상없음,0
11,17,669.3000000000466,2020-03-25 10:22:00,2020-03-25 13:43:00,12060.0,1257.1,1260.7,3,98200.0,34200,CARBON,0,1,0,19.0,0,0.0,0,3,98200.0,34200,이상없음,0
12,17,478.5999999998603,2020-04-09 23:02:00,2020-04-10 01:25:00,8580.0,1245.7,1257.1,3,111040.0,57100,CARBON,0,1,0,33.0,0,0.0,0,3,111040.0,57100,이상없음,0
13,17,915.0,2020-04-10 05:47:00,2020-04-10 08:36:00,10140.0,1261.1,1271.7,3,84700.0,57100,CARBON,0,1,0,34.0,0,0.0,0,3,84700.0,57100,이상없음,0
14,17,343.60000000009313,2020-04-10 09:02:00,2020-04-10 11:01:00,7140.0,1254.1,1262.8,3,84700.0,57100,CARBON,0,1,0,34.0,0,0.0,0,3,84700.0,57100,이상없음,0
15,17,1374.3999999999066,2020-04-17 21:20:00,2020-04-18 05:03:00,27780.0,1258.8,1256.0,3,147300.0,49100,CARBON,0,1,0,40.0,0,0.0,0,3,147300.0,49100,이상없음,0
16,17,1490.2999999998135,2020-04-20 07:51:00,2020-04-20 16:31:00,31200.0,1254.5,1257.2,5,98500.0,38100,CARBON,0,1,0,41.0,0,0.0,0,5,98500.0,38100,이상없음,0
17,17,1321.4000000001395,2020-04-20 21:22:00,2020-04-21 04:45:00,26580.0,1255.3,1257.4,2,30200.0,15100,CARBON,0,1,0,42.0,0,0.0,0,2,30200.0,15100,이상없음,0
18,17,1599.1000000000934,2020-04-21 17:27:00,2020-04-22 02:11:00,31440.0,1258.1,1257.7,3,90280.0,30480,CARBON,0,1,0,43.0,0,0.0,0,3,90280.0,30480,이상없음,0
19,17,227.3999999999069,2020-04-22 02:53:00,2020-04-22 03:57:00,3840.0,1257.3,1256.8,3,90280.0,30480,CARBON,0,1,0,43.0,0,0.0,0,3,90280.0,30480,이상없음,0
20,17,209.70000000018624,2020-04-22 04:13:00,2020-04-22 05:18:00,3900.0,1256.1,1258.0,3,90280.0,30480,CARBON,0,1,0,43.0,0,0.0,0,3,90280.0,30480,이상없음,0
21,17,930.9000000001396,2020-04-27 08:48:00,2020-04-27 13:32:00,17040.0,1254.3,1257.2,5,183200.0,37400,CARBON,0,1,0,45.0,0,0.0,0,5,183200.0,37400,이상없음,0
22,17,754.1999999999533,2020-04-27 21:58:00,2020-04-28 01:26:00,12480.0,1257.4,1258.1,4,111600.0,37400,CARBON,0,1,0,46.0,0,0.0,0,4,111600.0,37400,이상없음,0
23,17,368.5,2020-04-28 14:11:00,2020-04-28 16:03:00,6720.0,1260.3,1258.1,2,36800.0,18400,CARBON,0,1,0,47.0,0,0.0,0,2,36800.0,18400,이상없음,0
24,17,2642.3000000000466,2020-04-28 22:49:00,2020-04-29 09:01:00,36720.0,1241.5,1257.9,6,173004.0,110879,CARBON,0,1,0,48.0,0,0.0,0,6,173004.0,110879,이상없음,0
25,17,1329.2000000001865,2020-04-30 03:25:00,2020-04-30 10:44:00,26340.0,1256.0,1257.3,6,171129.0,110879,CARBON,0,1,0,49.0,0,0.0,0,6,171129.0,110879,이상없음,0
26,17,469.19999999995343,2020-04-30 11:04:00,2020-04-30 13:40:00,9360.0,1259.7,1257.3,6,171129.0,110879,CARBON,0,1,0,49.0,0,0.0,0,6,171129.0,110879,이상없음,0
27,17,307.4000000001397,2020-05-09 20:48:00,2020-05-09 22:09:00,4860.0,1257.7,1257.3,7,100700.0,31900,ALLOY,1,0,0,53.0,0,0.0,0,7,100700.0,31900,이상없음,0
28,17,337.4000000001397,2020-05-12 07:16:00,2020-05-12 08:26:00,4200.0,1259.9,1255.9,2,131700.0,88000,CARBON,0,1,0,55.0,0,0.0,0,2,131700.0,88000,이상없음,0
29,17,490.30000000004657,2020-05-12 08:44:00,2020-05-12 10:22:00,5880.0,1258.9,1257.5,2,131700.0,88000,CARBON,0,1,0,55.0,0,0.0,0,2,131700.0,88000,이상없음,0
30,17,1180.1000000000931,2020-05-12 16:56:00,2020-05-12 20:19:00,12180.0,1245.3,1258.6,4,186900.0,55100,CARBON,0,1,0,56.0,0,0.0,0,4,186900.0,55100,이상없음,0
31,17,1545.6000000000934,2020-05-12 22:26:00,2020-05-13 03:17:00,17460.0,1256.9,1256.5,4,186900.0,55100,CARBON,0,1,0,56.0,0,0.0,0,4,186900.0,55100,이상없음,0
32,17,430.10000000009313,2020-05-13 04:09:00,2020-05-13 05:26:00,4620.0,1255.8,1258.4,4,186900.0,55100,CARBON,0,1,0,56.0,0,0.0,0,4,186900.0,55100,이상없음,0
33,17,2038.8000000000463,2020-05-18 10:34:00,2020-05-18 16:03:00,19740.0,1226.7,1254.3,7,136060.0,26000,CARBON,0,1,0,60.0,0,0.0,0,7,136060.0,26000,이상없음,0
34,17,483.19999999995343,2020-05-19 11:23:00,2020-05-19 13:00:00,5820.0,1262.7,1256.5,6,103940.0,19800,CARBON,0,1,0,61.0,0,0.0,0,6,103940.0,19800,이상없음,0
35,17,396.4000000001397,2020-05-21 11:40:00,2020-05-21 12:58:00,4680.0,1259.7,1256.2,5,118970.0,38000,CARBON,0,1,0,62.0,0,0.0,0,5,118970.0,38000,이상없음,0
36,17,321.4000000001397,2020-05-21 13:16:00,2020-05-21 14:21:00,3900.0,1261.7,1257.2,5,118970.0,38000,CARBON,0,1,0,62.0,0,0.0,0,5,118970.0,38000,이상없음,0
37,17,892.3999999999069,2020-05-22 15:11:00,2020-05-22 17:56:00,9900.0,1257.7,1257.6,4,96400.0,24100,CARBON,0,1,0,63.0,0,0.0,0,4,96400.0,24100,이상없음,0
38,17,422.19999999995343,2020-05-25 11:43:00,2020-05-25 12:57:00,4440.0,1256.2,1257.8,8,162100.0,25950,CARBON,0,1,0,64.0,0,0.0,0,8,162100.0,25950,이상없음,0
39,17,1485.1999999999537,2020-05-25 16:53:00,2020-05-25 21:40:00,17220.0,1256.9,1256.8,6,129930.0,25950,CARBON,0,1,0,65.0,0,0.0,0,6,129930.0,25950,이상없음,0
40,17,662.8000000000466,2020-05-25 23:10:00,2020-05-26 01:16:00,7560.0,1254.0,1258.2,6,129930.0,25950,CARBON,0,1,0,65.0,0,0.0,0,6,129930.0,25950,이상없음,0
41,17,1727.8999999999066,2020-05-28 10:09:00,2020-05-28 15:50:00,20460.0,1256.2,1258.0,6,168685.0,86615,CARBON,0,1,0,67.0,0,0.0,0,6,168685.0,86615,이상없음,0
42,17,392.2000000001863,2020-06-03 11:23:00,2020-06-03 12:55:00,5520.0,1272.6,1272.7,7,139410.0,27610,CARBON,0,1,0,69.0,0,0.0,0,7,139410.0,27610,이상없음,0
43,17,738.5,2020-06-03 14:15:00,2020-06-03 18:09:00,14040.0,1262.6,1272.9,7,139410.0,27610,CARBON,0,1,0,69.0,0,0.0,0,7,139410.0,27610,이상없음,0
44,17,335.0,2020-06-08 07:15:00,2020-06-08 08:58:00,6180.0,1266.8,1267.5,5,133320.0,41000,CARBON,0,1,0,71.0,0,0.0,0,5,133320.0,41000,이상없음,0
45,17,606.5,2020-06-08 10:03:00,2020-06-08 13:13:00,11400.0,1261.5,1266.4,5,133320.0,41000,CARBON,0,1,0,71.0,0,0.0,0,5,133320.0,41000,이상없음,0
46,17,409.29999999981385,2020-06-08 13:53:00,2020-06-08 15:58:00,7500.0,1269.0,1269.7,5,133320.0,41000,CARBON,0,1,0,71.0,0,0.0,0,5,133320.0,41000,이상없음,0
47,17,527.4000000001397,2020-06-15 10:13:00,2020-06-15 13:00:00,10020.0,1278.6,1270.6,5,97400.0,24100,CARBON,0,1,0,76.0,0,0.0,0,5,97400.0,24100,이상없음,0
48,17,425.69999999995343,2020-06-15 13:46:00,2020-06-15 16:15:00,8940.0,1265.1,1265.5,5,97400.0,24100,CARBON,0,1,0,76.0,0,0.0,0,5,97400.0,24100,이상없음,0
49,17,228.80000000004657,2020-06-15 16:36:00,2020-06-15 17:52:00,4560.0,1278.6,1270.4,5,97400.0,24100,CARBON,0,1,0,76.0,0,0.0,0,5,97400.0,24100,이상없음,0
50,17,1696.3000000000463,2020-06-16 23:02:00,2020-06-17 03:19:00,15420.0,1262.8,1276.2,7,186810.0,35500,CARBON,0,1,0,78.0,0,0.0,0,7,186810.0,35500,이상없음,0
