,가열로번호,에너지,시작시간,종료시간,시간(총),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,cycle,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,민감비고,에러발생
0,3,668.0,2020-05-05 14:00:00,2020-05-05 17:44:00,13440.0,846.9,842.4,5,43840.0,8880,CARBON,0,1,0,44.0,0,0.0,0,5,43840.0,8880,이상없음,0
1,3,440.6,2020-06-07 06:30:00,2020-06-07 09:15:00,9900.0,691.7,694.3,5,64320.0,15760,ALLOY,1,0,0,65.0,2,17040.0,8520,3,47280.0,15760,이상없음,0
2,3,743.5999999996277,2020-03-03 15:18:00,2020-03-03 20:13:00,17700.0,1248.2,1248.3,3,38600.0,17100,CARBON,0,1,0,1.0,1,17100.0,17100,2,21500.0,13750,이상없음,0
3,3,296.79999999888236,2020-03-10 11:23:00,2020-03-10 13:00:00,5820.0,1272.0,1267.2,7,103950.0,14850,ALLOY,1,0,0,5.0,0,0.0,0,7,103950.0,14850,이상없음,0
4,3,242.6999999992549,2020-03-11 11:42:00,2020-03-11 13:00:00,4680.0,1272.0,1268.6,6,89100.0,14850,ALLOY,1,0,0,6.0,0,0.0,0,6,89100.0,14850,이상없음,0
5,3,2641.2000000011176,2020-03-11 19:49:00,2020-03-12 08:57:00,47280.0,1254.1,1266.2,9,108400.0,19600,CARBON,0,1,0,7.0,0,0.0,0,9,108400.0,19600,이상없음,0
6,3,499.0,2020-03-16 10:33:00,2020-03-16 12:56:00,8580.0,1273.1,1267.7,9,69600.0,12120,CARBON,0,1,0,9.0,2,23100.0,12120,7,46500.0,11550,이상없음,0
7,3,4002.900000000373,2020-03-18 03:59:00,2020-03-18 23:39:00,70800.0,1251.0,1268.6,7,111200.0,22100,ALLOY,1,0,0,11.0,1,22100.0,22100,6,89100.0,14850,이상없음,0
8,3,592.5,2020-03-23 21:11:00,2020-03-23 23:30:00,8340.0,1251.8,1252.7,5,38170.0,13930,SUS,0,0,1,14.0,0,0.0,0,5,38170.0,13930,이상없음,0
9,3,206.5,2020-03-25 15:46:00,2020-03-25 16:48:00,3720.0,1274.9,1272.5,9,110420.0,13480,CARBON,0,1,0,15.0,0,0.0,0,9,110420.0,13480,이상없음,0
10,3,566.7000000011176,2020-03-27 03:02:00,2020-03-27 05:08:00,7560.0,1258.5,1258.3,8,76432.0,9554,ALLOY,1,0,0,17.0,0,0.0,0,8,76432.0,9554,이상없음,0
11,3,574.8000000007453,2020-03-30 08:18:00,2020-03-30 10:55:00,9420.0,1247.1,1251.2,7,0.0,19100,CARBON,0,1,0,18.0,0,0.0,0,7,59840.0,19100,이상없음,0
12,3,4105.699999999255,2020-03-30 16:37:00,2020-03-31 09:03:00,59160.0,1249.2,1272.1,7,103950.0,14850,ALLOY,1,0,0,19.0,0,0.0,0,7,103950.0,14850,이상없음,0
13,3,692.0999999996277,2020-03-31 17:34:00,2020-03-31 19:20:00,6360.0,1248.6,1251.9,7,94360.0,13480,ALLOY,1,0,0,20.0,0,0.0,0,7,94360.0,13480,이상없음,0
