,에너지,가열시작시간,가열종료시간,시간(총),시간(0제외),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,384.0,2020-03-03 05:08:00,2020-03-03 05:52:00,2640,2580,906.3,1251.7,3,38600,17100,CARBON,0,1,0,0,0,0,2,30850,17100,1,7750,7750,0,0,0,0,0,0,0,0,0,0,0,0,1,17100,17100,2,21500,13750,2640,0,누락없음,3,3/3/2020,야간,화,안겹침,이상없음,2,0,CS,평일,0
1,444.4,2020-03-02 17:06:00,2020-03-02 17:42:00,2160,2100,660.1,1244.3,6,125030,61600,CARBON,0,1,0,0,0,0,6,125030,61600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61600,61600,5,63430,20750,720,0,누락없음,18,3/3/2020,주간,월,안겹침,이상없음,6,0,C,주말,0
2,388.5,2020-03-02 18:03:00,2020-03-02 18:35:00,1920,1800,811.2,1260.5,4,148200,61600,CARBON,0,1,0,0,0,0,4,148200,61600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,148200,61600,0,0,0,24660,0,누락없음,20,3/3/2020,야간,월,안겹침,이상없음,2,0,C,주말,0
3,733.3,2020-03-04 04:48:00,2020-03-04 05:50:00,3720,3600,554.9,1264.2,4,88100,32200,CARBON,0,1,0,0,0,0,4,88100,32200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48000,24000,2,40100,32200,1260,0,누락없음,20,3/4/2020,야간,수,겹침,이상없음,4,1,C,평일,0
4,700.8,2020-03-04 16:07:00,2020-03-04 17:13:00,3960,3900,388.2,1256.3,5,109720,38100,ALLOY,1,0,0,1,38100,38100,2,48000,24000,2,23620,11810,0,0,0,0,0,0,0,0,0,0,0,0,2,48000,24000,3,61720,38100,8220,0,누락없음,17,3/5/2020,주간,수,안겹침,이상없음,6,0,ACS,평일,0
5,534.7,2020-03-05 05:45:00,2020-03-05 06:24:00,2340,2220,723.6,1240.9,4,111500,36200,CARBON,0,1,0,0,0,0,4,111500,36200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24000,24000,3,87500,36200,720,0,누락없음,20,3/5/2020,야간,목,안겹침,이상없음,4,0,C,평일,0
6,4770.9,2020-03-08 06:15:00,2020-03-08 16:51:00,38160,37560,353.4,1249.0,6,91400,24000,CARBON,0,1,0,0,0,0,6,91400,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,72000,24000,3,19400,7050,85980,0,누락없음,6,3/9/2020,주간,일,안겹침,이상없음,6,0,C,주말,0
7,129.9,2020-03-09 22:57:00,2020-03-09 23:16:00,1140,960,1035.0,1256.1,8,111850,14850,ALLOY,1,0,0,7,103950,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7900,7900,7,103950,14850,5040,0,강종누락,4,3/10/2020,야간,월,안겹침,이상없음,8,0,A,주말,0
8,122.9,2020-03-09 18:01:00,2020-03-09 18:19:00,1080,1020,1011.9,1264.1,4,36300,11000,ALLOY,1,0,0,4,36300,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3300,3300,3,33000,11000,3480,0,누락없음,2,3/10/2020,주간,월,안겹침,이상없음,11,0,A,평일,0
9,102.1,2020-03-11 15:40:00,2020-03-11 15:56:00,960,900,854.0,1236.4,5,166400,38600,CARBON,0,1,0,1,17000,17000,4,149400,38600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,166400,38600,0,0,0,300,0,누락없음,18,3/11/2020,야간,수,겹침,이상없음,6,5,AC,평일,0
