,에너지,가열시작시간,가열종료시간,시간(총),시간(0제외),시작온도,종료온도,장입소재개수,장입중량총합,장입최대중량,강종,강종_ALLOY,강종_CARBON,강종_SUS,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,요일,겹침여부,민감비고,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,444.4,3/2/2020 17:06,3/2/2020 17:42,2160,2100,660.1,1244.3,6,125030,61600,CARBON,0,1,0,0,0,0,6,125030,61600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61600,61600,5,63430,20750,720,0,누락없음,18,3/3/2020,주간,월,안겹침,이상없음,6,0,C,주말,0
1,2815.1,3/4/2020 19:50,3/4/2020 23:35,13500,13320,271.0,1249.4,8,127750,32200,CARBON,0,1,0,0,0,0,7,116355,32200,1,11395,11395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,127750,32200,16140,0,누락없음,18,3/5/2020,주간,수,안겹침,이상없음,6,0,CS,평일,0
2,2816.6,3/9/2020 11:07,3/9/2020 15:09,14520,14340,30.9,1249.6,3,50600,32200,SUS,0,0,1,0,0,0,1,32200,32200,2,18400,9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50600,32200,217560,0,누락없음,18,3/9/2020,야간,월,안겹침,이상없음,3,0,CS,주말,0
3,102.1,3/11/2020 15:40,3/11/2020 15:56,960,900,854.0,1236.4,5,166400,38600,CARBON,0,1,0,1,17000,17000,4,149400,38600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,166400,38600,0,0,0,300,0,누락없음,18,3/11/2020,야간,수,겹침,이상없음,6,5,AC,평일,0
4,257.0,3/10/2020 18:19,3/10/2020 18:42,1380,1320,751.7,1241.0,6,189400,38600,ALLOY,1,0,0,2,40000,23000,4,149400,38600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,189400,38600,0,0,0,1740,0,누락없음,18,3/11/2020,주간,화,안겹침,이상없음,3,0,AC,평일,0
5,471.1,3/12/2020 17:34,3/12/2020 18:11,2220,2160,520.8,1252.2,7,168980,43600,ALLOY,1,0,0,3,104200,43600,4,64780,35500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,104200,43600,4,64780,35500,2400,0,누락없음,18,3/13/2020,주간,목,겹침,이상없음,4,1,AC,평일,0
6,133.0,3/16/2020 16:37,3/16/2020 16:52,900,840,937.3,1247.9,3,167564,76964,CARBON,0,1,0,1,76964,76964,2,90600,62600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,139564,76964,1,28000,28000,600,0,누락없음,18,3/17/2020,주간,월,겹침,이상없음,2,1,AC,평일,0
7,188.7,3/19/2020 18:33,3/19/2020 18:52,1140,1080,652.8,1247.2,3,93700,39500,CARBON,0,1,0,0,0,0,3,93700,39500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,93700,39500,960,0,누락없음,18,3/19/2020,야간,목,겹침,이상없음,5,3,C,평일,0
8,1718.6,3/18/2020 18:28,3/18/2020 20:59,9060,8880,179.5,1249.7,5,151150,39500,ALLOY,1,0,0,1,31600,31600,4,119550,39500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31600,31600,4,119550,39500,103140,0,누락없음,18,3/19/2020,주간,수,안겹침,이상없음,3,0,AC,평일,0
9,675.4,3/23/2020 18:50,3/23/2020 19:42,3120,3000,719.7,1249.9,6,142070,60500,CARBON,0,1,0,0,0,0,5,116220,60500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,142070,60500,1740,0,강종누락,18,3/24/2020,주간,월,안겹침,이상없음,3,0,C,주말,0
10,98.1,3/25/2020 13:21,3/25/2020 13:35,840,780,962.9,1252.8,4,174200,55100,CARBON,0,1,0,0,0,0,4,174200,55100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,174200,55100,360,0,누락없음,18,3/25/2020,야간,수,안겹침,이상없음,6,0,C,평일,0
11,176.9,3/26/2020 4:38,3/26/2020 4:56,1080,1020,689.1,1241.7,4,146200,41100,CARBON,0,1,0,0,0,0,4,146200,41100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,82200,41100,2,64000,32000,1080,0,누락없음,18,3/26/2020,주간,목,겹침,이상없음,4,2,C,평일,0
12,175.0,4/17/2020 1:35,4/17/2020 1:51,960,900,1087.1,1247.2,5,134250,26850,CARBON,0,1,0,0,0,0,5,134250,26850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,134250,26850,540,0,누락없음,18,4/17/2020,주간,금,겹침,이상없음,5,5,C,평일,0
13,3280.5,4/19/2020 10:11,4/19/2020 19:08,32220,30480,364.1,1250.7,7,96810,17330,CARBON,0,1,0,0,0,0,7,96810,17330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,96810,17330,155220,0,누락없음,18,4/20/2020,주간,일,안겹침,이상없음,5,0,C,주말,0
14,214.3,4/28/2020 1:27,4/28/2020 1:46,1140,1080,758.4,1228.7,4,98030,61600,CARBON,0,1,0,2,26400,13200,2,71630,61600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61600,61600,3,36430,13200,1020,0,누락없음,18,4/28/2020,야간,화,안겹침,이상없음,4,0,AC,평일,0
15,359.9,4/29/2020 2:07,4/29/2020 2:36,1740,1680,645.2,1249.5,5,111200,61600,CARBON,0,1,0,0,0,0,5,111200,61600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61600,61600,4,49600,12400,1080,0,누락없음,18,4/29/2020,야간,수,겹침,이상없음,4,1,C,평일,0
16,730.0,4/30/2020 6:07,4/30/2020 7:05,3480,3360,719.7,1250.6,6,76720,16300,SUS,0,0,1,0,0,0,5,60420,15250,1,16300,16300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,76720,16300,1020,0,누락없음,18,4/30/2020,야간,목,겹침,이상없음,5,2,CS,평일,0
17,2168.4,5/7/2020 2:39,5/7/2020 5:42,10980,10860,495.5,1250.2,8,107355,18000,CARBON,0,1,0,0,0,0,6,84555,18000,2,22800,11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,107355,18000,2880,0,누락없음,18,5/7/2020,야간,목,겹침,이상없음,6,3,CS,평일,0
18,87.7,5/7/2020 22:05,5/7/2020 22:12,420,360,908.9,1251.8,5,66555,18000,CARBON,0,1,0,0,0,0,5,66555,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,66555,18000,420,0,누락없음,18,5/8/2020,주간,목,겹침,이상없음,8,5,C,평일,0
19,2576.4,5/11/2020 18:31,5/11/2020 21:54,12180,12000,620.6,1252.2,9,122010,18000,CARBON,0,1,0,0,0,0,9,122010,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,122010,18000,1860,0,누락없음,18,5/12/2020,주간,월,안겹침,이상없음,6,0,C,평일,0
20,275.4,5/12/2020 20:34,5/12/2020 21:00,1560,1500,666.1,1251.0,3,125300,55100,CARBON,0,1,0,0,0,0,3,125300,55100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,70200,35100,1,55100,55100,7740,0,누락없음,18,5/13/2020,야간,화,안겹침,이상없음,9,0,C,평일,0
21,1712.3,5/14/2020 3:38,5/14/2020 5:51,7980,7860,593.7,1253.4,7,146645,24100,CARBON,0,1,0,0,0,0,7,146645,24100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,146645,24100,1920,0,누락없음,18,5/14/2020,야간,목,안겹침,이상없음,3,0,C,평일,0
