,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부,에러발생
0,2666.1,19680,19560,284.2,7,68859,9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,68859,9837,0,0,0,7,68859,9837,0,0,0,1688100,0,누락없음,5,2019-08-07,야간,2019-08-06 23:46,화,안겹침,0,6,0,A,평일,0
1,1622.5,12480,12300,727.4,0,0,0,8,48890,6730,0,0,0,0,0,0,0,0,0,0,0,0,8,48890,6730,0,0,0,0,0,0,8,48890,6730,1560,0,누락없음,5,2019-08-08,야간,2019-08-08 7:03,목,안겹침,0,7,0,C,평일,0
2,3891.6,31500,27480,259.0,0,0,0,2,14980,8690,0,0,0,0,0,0,2,29700,14850,0,0,0,4,44680,14850,2,29700,14850,3,35990,14850,1,8690,8690,291840,2,누락없음,5,2019-08-13,주간,2019-08-12 15:14,월,안겹침,0,8,0,C,주말,0
3,2442.1,21240,20100,637.0,0,0,0,0,0,0,0,0,0,0,0,0,2,26200,13100,0,0,0,3,45800,19600,2,26200,13100,1,19600,19600,2,26200,13100,1980,4,강종누락,5,2019-08-14,주간,2019-08-13 16:13,화,안겹침,0,4,0,C,평일,0
4,1947.0,15360,14940,603.5,1,9200,9200,4,24920,6320,0,0,0,0,0,0,0,0,0,0,0,0,5,34120,9200,0,0,0,1,9200,9200,4,24920,6320,5040,0,누락없음,5,2019-08-15,주간,2019-08-14 14:49,수,안겹침,0,3,0,AC,평일,0
5,1428.9,11700,11520,577.5,0,0,0,0,0,0,0,0,0,0,0,0,3,50550,17350,0,0,0,3,50550,17350,3,50550,17350,3,50550,17350,0,0,0,3240,0,누락없음,5,2019-08-16,주간,2019-08-15 15:50,목,안겹침,0,5,0,C,평일,0
6,4813.6,43740,43200,145.2,0,0,0,3,45570,15190,0,0,0,0,0,0,0,0,0,0,0,0,3,45570,15190,0,0,0,0,0,0,3,45570,15190,146760,0,누락없음,5,2019-08-23,야간,2019-08-22 21:09,목,안겹침,0,1,0,C,평일,0
7,3966.1,127320,67020,319.0,0,0,0,2,30700,22100,0,0,0,0,0,0,0,0,0,0,0,0,2,30700,22100,0,0,0,1,22100,22100,1,8600,8600,42540,0,누락없음,5,2019-08-26,주간,2019-08-24 8:33,토,안겹침,0,3,0,C,주말,0
8,486.2,4860,4800,745.8,6,96600,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,96600,16100,0,0,0,6,96600,16100,0,0,0,9660,0,누락없음,5,2019-08-27,주간,2019-08-26 13:26,월,안겹침,0,2,0,A,평일,0
9,1961.6,23760,23520,562.2,0,0,0,6,42780,7530,0,0,0,0,0,0,0,0,0,0,0,0,6,42780,7530,0,0,0,0,0,0,6,42780,7530,107100,1,누락없음,5,2019-08-30,주간,2019-08-29 19:17,목,안겹침,0,6,0,C,평일,0
10,4690.7,41760,41220,158.2,4,24710,6940,3,16970,5790,0,0,0,0,0,0,0,0,0,0,0,0,7,41680,6940,0,0,0,4,24710,6940,3,16970,5790,310260,0,누락없음,5,2019-09-04,주간,2019-09-03 8:34,화,안겹침,0,6,0,AC,평일,0
11,2599.9,24600,24360,501.9,0,0,0,0,0,0,0,0,0,0,0,0,2,37700,18850,0,0,0,3,57300,19600,2,37700,18850,3,57300,19600,0,0,0,9840,0,강종누락,5,2019-09-05,주간,2019-09-04 16:59,수,안겹침,0,7,0,C,평일,0
12,2204.5,23220,20820,707.7,6,89100,14850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,89100,14850,0,0,0,6,89100,14850,0,0,0,1980,1,누락없음,5,2019-09-06,주간,2019-09-05 15:34,목,안겹침,0,3,0,A,평일,0
13,2966.6,28620,28440,668.6,1,14270,14270,6,62407,12750,0,0,0,0,0,0,0,0,0,0,0,0,7,76677,14270,0,0,0,3,32637,14270,4,44040,11010,1740,0,누락없음,5,2019-09-07,주간,2019-09-06 15:39,금,안겹침,0,6,0,AC,평일,0
14,698.2,6540,6420,830.6,0,0,0,4,34640,12750,0,0,0,0,0,0,0,0,0,0,0,0,4,34640,12750,0,0,0,1,12750,12750,3,21890,8420,720,0,누락없음,5,2019-09-08,주간,2019-09-07 18:41,토,겹침,0,7,1,C,주말,0
15,284.4,2880,2760,823.0,0,0,0,8,58840,7750,0,0,0,0,0,0,0,0,0,0,0,0,8,58840,7750,0,0,0,0,0,0,8,58840,7750,480,0,누락없음,5,2019-09-09,주간,2019-09-09 9:18,월,안겹침,0,1,0,C,평일,0
16,1100.5,10920,10860,779.4,0,0,0,4,30720,10530,0,0,0,0,0,0,0,0,0,0,0,0,4,30720,10530,0,0,0,1,10530,10530,3,20190,6730,660,0,누락없음,5,2019-09-10,주간,2019-09-09 18:51,월,안겹침,0,8,0,C,주말,0
17,464.1,4800,4560,745.1,1,10300,10300,4,24360,6090,0,0,0,0,0,0,0,0,0,0,0,0,6,54760,20100,0,0,0,2,30400,20100,4,24360,6090,2220,0,강종누락,5,2019-09-11,주간,2019-09-10 14:05,화,안겹침,0,4,0,AC,평일,0
18,4792.8,59640,59280,190.9,0,0,0,8,62370,11090,0,0,0,0,0,0,0,0,0,0,0,0,8,62370,11090,0,0,0,0,0,0,8,62370,11090,323160,1,누락없음,5,2019-09-16,야간,2019-09-15 7:27,일,안겹침,0,6,0,C,주말,0
19,3915.4,35880,35580,517.2,2,22320,11160,6,57450,11970,0,0,0,0,0,0,0,0,0,0,0,0,8,79770,11970,0,0,0,2,22320,11160,6,57450,11970,14880,0,누락없음,5,2019-09-17,야간,2019-09-17 2:41,화,안겹침,0,8,0,AC,평일,0
20,3017.3,30840,28620,560.5,8,118920,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,118920,16100,0,0,0,8,118920,16100,0,0,0,16620,2,누락없음,5,2019-09-18,야간,2019-09-18 3:26,수,겹침,0,8,2,A,평일,0
21,2421.6,22200,22020,478.5,6,81144,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81144,13524,0,0,0,6,81144,13524,0,0,0,12360,0,누락없음,5,2019-09-19,야간,2019-09-19 6:00,목,겹침,0,8,6,A,평일,0
22,2136.7,19920,19740,679.9,6,81144,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81144,13524,0,0,0,6,81144,13524,0,0,0,3900,0,누락없음,5,2019-09-20,야간,2019-09-20 5:53,금,안겹침,0,6,0,A,평일,0
23,4854.5,90960,73560,467.3,8,78696,9837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,78696,9837,0,0,0,8,78696,9837,0,0,0,88200,0,누락없음,5,2019-09-23,주간,2019-09-21 22:29,토,안겹침,0,6,0,A,주말,0
24,2695.1,26340,24900,576.0,6,96600,16100,1,4430,4430,0,0,0,0,0,0,0,0,0,0,0,0,7,101030,16100,0,0,0,7,101030,16100,0,0,0,5160,2,누락없음,5,2019-09-24,주간,2019-09-23 14:27,월,안겹침,0,8,0,AC,평일,0
